Orthogroup	Prbb	Prba
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400	Prba.g_01174
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785	Prba.g_00243
OG0000000	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prba.g_00269
OG0000000	Prbb.g_00103	Prba.g_00003, Prba.g_00270
OG0000001	Prbb.g_01611	Prba.g_00211
OG0000001	Prbb.g_01157	Prba.g_01081, Prba.g_01080
OG0000002	Prbb.g_00844	Prba.g_00203
OG0000002	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Prba.g_01639
OG0000004	Prbb.g_01450	Prba.g_01622
OG0000004	Prbb.g_00288	Prba.g_00451
OG0000005	Prbb.g_01393	Prba.g_00607
OG0000005	Prbb.g_01766	Prba.g_00312
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prba.g_00460
OG0000007	Prbb.g_00501	Prba.g_00964
OG0000007	Prbb.g_01823	Prba.g_00226
OG0000008	Prbb.g_01884	Prba.g_01131
OG0000010	Prbb.g_00477	Prba.g_00987
OG0000010	Prbb.g_01072	Prba.g_01256
OG0000011	Prbb.g_01229	Prba.g_01165
OG0000011	Prbb.g_01199	Prba.g_01132
OG0000012	Prbb.g_01111	Prba.g_01694
OG0000013	Prbb.g_00378	Prba.g_00543
OG0000014	Prbb.g_00357	Prba.g_00522
OG0000015	Prbb.g_01158	Prba.g_01538
OG0000016	Prbb.g_00014	Prba.g_01806
OG0000017	Prbb.g_00598, Prbb.g_00605	Prba.g_01719
OG0000018	Prbb.g_00812	Prba.g_01472
OG0000018	Prbb.g_01539	Prba.g_00083
OG0000019	Prbb.g_00761	Prba.g_01519
OG0000021	Prbb.g_01914, Prbb.g_00099	Prba.g_00245, Prba.g_00858
OG0000022	Prbb.g_01258	Prba.g_00101
OG0000022	Prbb.g_01231	Prba.g_01543
OG0000023	Prbb.g_01411, Prbb.g_01373	Prba.g_00854
OG0000024	Prbb.g_01175	Prba.g_01558
OG0000024	Prbb.g_00680	Prba.g_01642
OG0000025	Prbb.g_00052, Prbb.g_00818	Prba.g_00547
OG0000026	Prbb.g_00032	Prba.g_01824, Prba.g_01249
OG0000027	Prbb.g_01375	Prba.g_00991, Prba.g_01175
OG0000028	Prbb.g_01635	Prba.g_01126
OG0000029	Prbb.g_01800	Prba.g_01551
OG0000030	Prbb.g_02073	Prba.g_00778
OG0000031	Prbb.g_00387	Prba.g_00173
OG0000033	Prbb.g_00226	Prba.g_00625
OG0000034	Prbb.g_01596	Prba.g_01202
OG0000035	Prbb.g_01686	Prba.g_00713
OG0000037	Prbb.g_00164	Prba.g_01897
OG0000038	Prbb.g_02129	Prba.g_00819
OG0000039	Prbb.g_00692	Prba.g_01631
OG0000040	Prbb.g_01790	Prba.g_00251
OG0000042	Prbb.g_02069	Prba.g_00775
OG0000043	Prbb.g_01198	Prba.g_01138
OG0000044	Prbb.g_00079	Prba.g_00002
OG0000047	Prbb.g_00386	Prba.g_00546
OG0000047	Prbb.g_00421	Prba.g_00913
OG0000048	Prbb.g_00325	Prba.g_00868
OG0000050	Prbb.g_01452	Prba.g_00899
OG0000050	Prbb.g_00116	Prba.g_01229
OG0000053	Prbb.g_01705	Prba.g_00693
OG0000054	Prbb.g_00607	Prba.g_01711
OG0000055	Prbb.g_00747, Prbb.g_01897	Prba.g_01518
OG0000056	Prbb.g_00078	Prba.g_01120
OG0000057	Prbb.g_01359, Prbb.g_00706	Prba.g_01619
OG0000058	Prbb.g_00851	Prba.g_00153
OG0000059	Prbb.g_01946	Prba.g_00381
OG0000061	Prbb.g_01517	Prba.g_00064
OG0000062	Prbb.g_01768	Prba.g_00310
OG0000063	Prbb.g_01921	Prba.g_01826
OG0000065	Prbb.g_00162	Prba.g_01895
OG0000066	Prbb.g_00542	Prba.g_00922
OG0000067	Prbb.g_00783	Prba.g_01499
OG0000068	Prbb.g_01639	Prba.g_00196
OG0000069	Prbb.g_01324, Prbb.g_01729	Prba.g_00275
OG0000070	Prbb.g_00455	Prba.g_01011
OG0000071	Prbb.g_01586	Prba.g_01192
OG0000072	Prbb.g_00228	Prba.g_00627
OG0000073	Prbb.g_00503	Prba.g_00962
OG0000074	Prbb.g_00687, Prbb.g_00915, Prbb.g_01104	Prba.g_01635
OG0000075	Prbb.g_02036	Prba.g_01071
OG0000076	Prbb.g_02061	Prba.g_00768
OG0000077	Prbb.g_00133	Prba.g_01866
OG0000078	Prbb.g_00297	Prba.g_00458
OG0000079	Prbb.g_00308	Prba.g_00471
OG0000081	Prbb.g_00534	Prba.g_00930
OG0000082	Prbb.g_01882	Prba.g_01731
OG0000083	Prbb.g_00425	Prba.g_01563, Prba.g_01171, Prba.g_01570
OG0000084	Prbb.g_01683	Prba.g_00717
OG0000085	Prbb.g_01816	Prba.g_00233
OG0000086	Prbb.g_00143	Prba.g_01876
OG0000087	Prbb.g_00196	Prba.g_01927
OG0000088	Prbb.g_00223	Prba.g_00622
OG0000089	Prbb.g_00416	Prba.g_00850
OG0000090	Prbb.g_00536	Prba.g_00928
OG0000091	Prbb.g_00643	Prba.g_01675
OG0000092	Prbb.g_00937	Prba.g_01057
OG0000093	Prbb.g_00768	Prba.g_01369
OG0000094	Prbb.g_00892	Prba.g_01283
OG0000095	Prbb.g_01070	Prba.g_01264
OG0000096	Prbb.g_01294	Prba.g_00734, Prba.g_01157
OG0000097	Prbb.g_01470	Prba.g_00022
OG0000098	Prbb.g_01608	Prba.g_00214
OG0000099	Prbb.g_00388	Prba.g_00155
OG0000100	Prbb.g_01763	Prba.g_00314
OG0000101	Prbb.g_02001	Prba.g_00429
OG0000102	Prbb.g_02066	Prba.g_00773
OG0000103	Prbb.g_02174	Prba.g_01781
OG0000104	Prbb.g_02185	Prba.g_01789
OG0000105	Prbb.g_00327	Prba.g_00491
OG0000106	Prbb.g_01197, Prbb.g_01329	Prba.g_00864
OG0000107	Prbb.g_01923	Prba.g_00880
OG0000108	Prbb.g_00484, Prbb.g_00485	Prba.g_00981
OG0000109	Prbb.g_00498	Prba.g_00967
OG0000110	Prbb.g_00578	Prba.g_01741
OG0000111	Prbb.g_00707	Prba.g_01618
OG0000112	Prbb.g_00983	Prba.g_01534
OG0000113	Prbb.g_00807, Prbb.g_01218	Prba.g_01477
OG0000114	Prbb.g_00932	Prba.g_01395
OG0000115	Prbb.g_01780	Prba.g_00743
OG0000116	Prbb.g_01528	Prba.g_00074
OG0000117	Prbb.g_01399	Prba.g_01135
OG0000118	Prbb.g_01598	Prba.g_01204
OG0000119	Prbb.g_01632	Prba.g_00200
OG0000120	Prbb.g_00678	Prba.g_00175
OG0000121	Prbb.g_01688	Prba.g_00711
OG0000122	Prbb.g_01727	Prba.g_00348
OG0000123	Prbb.g_02008	Prba.g_00436
OG0000124	Prbb.g_02079	Prba.g_00784
OG0000125	Prbb.g_02131	Prba.g_01089, Prba.g_00821
OG0000126	Prbb.g_02183	Prba.g_01788
OG0000127	Prbb.g_01346	Prba.g_01118
OG0000128	Prbb.g_00012	Prba.g_01804
OG0000129	Prbb.g_00059	Prba.g_01838
OG0000130	Prbb.g_00124	Prba.g_01857
OG0000131	Prbb.g_00202	Prba.g_01933
OG0000132	Prbb.g_00221	Prba.g_01952
OG0000133	Prbb.g_00373	Prba.g_00538
OG0000134	Prbb.g_00418	Prba.g_00851
OG0000135	Prbb.g_01326	Prba.g_00877
OG0000136	Prbb.g_00446	Prba.g_01020
OG0000137	Prbb.g_00478	Prba.g_00986
OG0000138	Prbb.g_00499	Prba.g_00966
OG0000139	Prbb.g_00540	Prba.g_00924
OG0000140	Prbb.g_00541	Prba.g_00923
OG0000141	Prbb.g_00608	Prba.g_01710
OG0000142	Prbb.g_00636	Prba.g_01682
OG0000143	Prbb.g_00640	Prba.g_01678
OG0000144	Prbb.g_00653	Prba.g_01665
OG0000145	Prbb.g_01099	Prba.g_01541
OG0000146	Prbb.g_00982	Prba.g_01533
OG0000147	Prbb.g_00981	Prba.g_01532
OG0000148	Prbb.g_00801	Prba.g_01483
OG0000149	Prbb.g_00832	Prba.g_01452
OG0000150	Prbb.g_00840	Prba.g_01444
OG0000151	Prbb.g_00943	Prba.g_01385
OG0000152	Prbb.g_00991	Prba.g_01337
OG0000153	Prbb.g_01009	Prba.g_01318
OG0000154	Prbb.g_01040	Prba.g_01290
OG0000155	Prbb.g_01495	Prba.g_00043
OG0000156	Prbb.g_01575	Prba.g_01181
OG0000157	Prbb.g_01576	Prba.g_01182
OG0000158	Prbb.g_02044	Prba.g_00154
OG0000159	Prbb.g_02093, Prbb.g_02083	Prba.g_00152
OG0000160	Prbb.g_01687	Prba.g_00712
OG0000161	Prbb.g_01693	Prba.g_00706
OG0000162	Prbb.g_01699	Prba.g_00700
OG0000163	Prbb.g_01735	Prba.g_00341
OG0000164	Prbb.g_01845	Prba.g_00596
OG0000165	Prbb.g_01853	Prba.g_00589
OG0000166	Prbb.g_01964	Prba.g_00393
OG0000167	Prbb.g_02034	Prba.g_01069
OG0000168	Prbb.g_02045	Prba.g_01079
OG0000169	Prbb.g_02055	Prba.g_00761
OG0000170	Prbb.g_02057	Prba.g_00763
OG0000171	Prbb.g_02078	Prba.g_00783
OG0000172	Prbb.g_02101	Prba.g_00792
OG0000173	Prbb.g_02116	Prba.g_00807
OG0000174	Prbb.g_02147	Prba.g_00835
OG0000175	Prbb.g_02165	Prba.g_00845
OG0000176	Prbb.g_00004	Prba.g_01797
OG0000177	Prbb.g_00005	Prba.g_01798
OG0000178	Prbb.g_00007, Prbb.g_00006	Prba.g_01799
OG0000179	Prbb.g_00017	Prba.g_01809
OG0000180	Prbb.g_00018	Prba.g_01810
OG0000181	Prbb.g_00019	Prba.g_01811
OG0000182	Prbb.g_00020	Prba.g_01812
OG0000183	Prbb.g_00024	Prba.g_01816
OG0000184	Prbb.g_00061	Prba.g_01840
OG0000185	Prbb.g_00064	Prba.g_01843
OG0000186	Prbb.g_00119	Prba.g_01852
