Orthogroup	Prbb	Syat
OG0000001	Prbb.g_01611	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prbb.g_01393	Syat.g_03065
OG0000005	Prbb.g_01766	Syat.g_03105
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prbb.g_00501	Syat.g_03191
OG0000007	Prbb.g_01823	Syat.g_03124
OG0000008	Prbb.g_01884	Syat.g_02626
OG0000008	Prbb.g_01885	Syat.g_02627
OG0000010	Prbb.g_01072	Syat.g_01372
OG0000012	Prbb.g_01111	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Prbb.g_00378	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prbb.g_00357	Syat.g_02104
OG0000015	Prbb.g_01158	Syat.g_00775, Syat.g_01677
OG0000016	Prbb.g_00014	Syat.g_02329
OG0000016	Prbb.g_01919	Syat.g_00909, Syat.g_00222, Syat.g_00832
OG0000017	Prbb.g_00605	Syat.g_00015
OG0000018	Prbb.g_01539	Syat.g_01334
OG0000019	Prbb.g_00761	Syat.g_01876
OG0000021	Prbb.g_01914, Prbb.g_00099	Syat.g_00964
OG0000022	Prbb.g_01258	Syat.g_00210
OG0000024	Prbb.g_01175, Prbb.g_00680	Syat.g_03394
OG0000025	Prbb.g_00052, Prbb.g_00818	Syat.g_00719
OG0000026	Prbb.g_00032	Syat.g_02306
OG0000027	Prbb.g_01375	Syat.g_00850
OG0000028	Prbb.g_01635	Syat.g_02126
OG0000030	Prbb.g_02073	Syat.g_00307, Syat.g_00308
OG0000031	Prbb.g_00387	Syat.g_02131, Syat.g_03199, Syat.g_02243
OG0000032	Prbb.g_01723	Syat.g_01354
OG0000033	Prbb.g_00226	Syat.g_02858
OG0000034	Prbb.g_01596	Syat.g_01165, Syat.g_02902
OG0000035	Prbb.g_01686	Syat.g_01227, Syat.g_01226
