Orthogroup	Prbb	Syae
OG0000001	Prbb.g_01611	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Prbb.g_01450	Syae.g_00779
OG0000004	Prbb.g_00288	Syae.g_00042, Syae.g_02231
OG0000005	Prbb.g_01393	Syae.g_01179
OG0000005	Prbb.g_01766	Syae.g_01143
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Prbb.g_00501	Syae.g_02328
OG0000007	Prbb.g_01823	Syae.g_01163
OG0000008	Prbb.g_01884	Syae.g_00753
OG0000008	Prbb.g_01885	Syae.g_00752
OG0000010	Prbb.g_01072	Syae.g_02529
OG0000011	Prbb.g_01229	Syae.g_00268
OG0000011	Prbb.g_01199, Prbb.g_01137, Prbb.g_01138	Syae.g_00750
OG0000013	Prbb.g_00378	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Prbb.g_00357	Syae.g_01930
OG0000015	Prbb.g_01158	Syae.g_01693, Syae.g_00590
OG0000016	Prbb.g_00014	Syae.g_01726
OG0000016	Prbb.g_01919	Syae.g_00681, Syae.g_00233
OG0000018	Prbb.g_01539	Syae.g_02625
OG0000019	Prbb.g_00761	Syae.g_02015
OG0000021	Prbb.g_01914, Prbb.g_00099	Syae.g_00481
OG0000022	Prbb.g_01258	Syae.g_00144
OG0000023	Prbb.g_01411, Prbb.g_01373	Syae.g_00439, Syae.g_00930
OG0000025	Prbb.g_00052, Prbb.g_00818	Syae.g_00833
OG0000026	Prbb.g_00032	Syae.g_01748
OG0000027	Prbb.g_01375	Syae.g_00103, Syae.g_00814
OG0000028	Prbb.g_01635	Syae.g_01916
OG0000029	Prbb.g_01800	Syae.g_00136
OG0000030	Prbb.g_02073	Syae.g_01817, Syae.g_01816
OG0000031	Prbb.g_00387	Syae.g_01911
OG0000032	Prbb.g_01723	Syae.g_02607
OG0000033	Prbb.g_00226	Syae.g_01453
OG0000034	Prbb.g_01596	Syae.g_00975, Syae.g_01424
OG0000035	Prbb.g_01686	Syae.g_02653
OG0000037	Prbb.g_00164	Syae.g_01367
OG0000038	Prbb.g_02129	Syae.g_01571
OG0000039	Prbb.g_00692	Syae.g_00822, Syae.g_02495
OG0000041	Prbb.g_01868	Syae.g_01042, Syae.g_00802
OG0000042	Prbb.g_02069	Syae.g_01821
OG0000043	Prbb.g_00909	Syae.g_00117
OG0000044	Prbb.g_00079	Syae.g_00098, Syae.g_01067
OG0000045	Prbb.g_01347	Syae.g_00732
OG0000046	Prbb.g_00379	Syae.g_02161, Syae.g_02168, Syae.g_02154
OG0000047	Prbb.g_00386, Prbb.g_00421	Syae.g_02184
OG0000048	Prbb.g_00325	Syae.g_01982
OG0000050	Prbb.g_01452	Syae.g_00122
OG0000050	Prbb.g_00116	Syae.g_01023
OG0000052	Prbb.g_00112	Syae.g_01886
OG0000053	Prbb.g_01705	Syae.g_02629
OG0000054	Prbb.g_00607	Syae.g_00014, Syae.g_00221
OG0000057	Prbb.g_01359, Prbb.g_00706	Syae.g_00782
OG0000058	Prbb.g_00851	Syae.g_01905, Syae.g_01227
OG0000059	Prbb.g_01946	Syae.g_02074
OG0000060	Prbb.g_01153	Syae.g_02514, Syae.g_02306, Syae.g_00649
OG0000061	Prbb.g_01517	Syae.g_00921
OG0000062	Prbb.g_01768	Syae.g_01145
OG0000063	Prbb.g_01921	Syae.g_01752
OG0000065	Prbb.g_00162	Syae.g_01363, Syae.g_00722
OG0000066	Prbb.g_00542	Syae.g_02386
OG0000067	Prbb.g_00783	Syae.g_00521
OG0000068	Prbb.g_01639	Syae.g_02299
OG0000069	Prbb.g_01324, Prbb.g_01729	Syae.g_00458
OG0000070	Prbb.g_00455	Syae.g_00979
OG0000071	Prbb.g_01586	Syae.g_00961
OG0000072	Prbb.g_00228	Syae.g_01455
OG0000073	Prbb.g_00503	Syae.g_02330
OG0000074	Prbb.g_01104	Syae.g_00719
OG0000075	Prbb.g_02036	Syae.g_01871
OG0000076	Prbb.g_02061	Syae.g_01829
OG0000078	Prbb.g_00297	Syae.g_02243
OG0000079	Prbb.g_00308	Syae.g_02011
OG0000081	Prbb.g_00534	Syae.g_02261
OG0000082	Prbb.g_01882	Syae.g_02447
OG0000084	Prbb.g_01683	Syae.g_00857, Syae.g_02656
