Orthogroup	Prbb	Syai
OG0000001	Prbb.g_01611	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Syai.g_01728
OG0000004	Prbb.g_01450	Syai.g_01994
OG0000004	Prbb.g_00288	Syai.g_01062, Syai.g_00530
OG0000005	Prbb.g_01393	Syai.g_02393
OG0000005	Prbb.g_01766	Syai.g_02356
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prbb.g_00501	Syai.g_00657
OG0000007	Prbb.g_01823	Syai.g_02378
OG0000008	Prbb.g_01884	Syai.g_01956
OG0000008	Prbb.g_01885	Syai.g_01955
OG0000010	Prbb.g_01072	Syai.g_00864
OG0000011	Prbb.g_01229	Syai.g_01894, Syai.g_00582
OG0000011	Prbb.g_01199, Prbb.g_01137, Prbb.g_01138	Syai.g_01952
OG0000013	Prbb.g_00378	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prbb.g_00357	Syai.g_00220
OG0000015	Prbb.g_01158	Syai.g_01246, Syai.g_01245
OG0000016	Prbb.g_00014	Syai.g_00014
OG0000016	Prbb.g_01919	Syai.g_01785, Syai.g_01632
OG0000018	Prbb.g_01539	Syai.g_00915
OG0000019	Prbb.g_00761	Syai.g_00304
OG0000020	Prbb.g_01180	Syai.g_00476
OG0000021	Prbb.g_01914, Prbb.g_00099	Syai.g_00556
OG0000022	Prbb.g_01258	Syai.g_01159
OG0000023	Prbb.g_01411, Prbb.g_01373	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbb.g_01175, Prbb.g_00680	Syai.g_01951
OG0000025	Prbb.g_00052, Prbb.g_00818	Syai.g_02044
OG0000026	Prbb.g_00032	Syai.g_00038
OG0000027	Prbb.g_01375	Syai.g_01128, Syai.g_01654
OG0000028	Prbb.g_01635	Syai.g_00205
OG0000029	Prbb.g_01800	Syai.g_01035, Syai.g_01584
OG0000030	Prbb.g_02073	Syai.g_00096, Syai.g_00095
OG0000031	Prbb.g_00387	Syai.g_00197
OG0000032	Prbb.g_01723	Syai.g_00895
OG0000033	Prbb.g_00226	Syai.g_02634
OG0000034	Prbb.g_01596	Syai.g_02192, Syai.g_02604
OG0000035	Prbb.g_01686	Syai.g_00955
OG0000037	Prbb.g_00164	Syai.g_02544, Syai.g_02815
OG0000038	Prbb.g_02129	Syai.g_02780
OG0000039	Prbb.g_00692	Syai.g_02034
OG0000041	Prbb.g_01868	Syai.g_02265, Syai.g_02016
OG0000042	Prbb.g_02069	Syai.g_00099
OG0000043	Prbb.g_00909	Syai.g_01599
OG0000044	Prbb.g_00079	Syai.g_00833
OG0000046	Prbb.g_00379	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Prbb.g_00386, Prbb.g_00421	Syai.g_00462
OG0000048	Prbb.g_00325	Syai.g_00272
OG0000050	Prbb.g_01452	Syai.g_01893
OG0000050	Prbb.g_00116	Syai.g_01332
OG0000052	Prbb.g_00112	Syai.g_00176
OG0000053	Prbb.g_01705	Syai.g_00930
OG0000054	Prbb.g_00607	Syai.g_01040
OG0000057	Prbb.g_01359, Prbb.g_00706	Syai.g_01997
OG0000058	Prbb.g_00851	Syai.g_00195
OG0000059	Prbb.g_01946	Syai.g_00351
OG0000060	Prbb.g_01153	Syai.g_00635, Syai.g_01758
OG0000061	Prbb.g_01517	Syai.g_02144
OG0000062	Prbb.g_01768	Syai.g_02358
OG0000063	Prbb.g_01921	Syai.g_00042
OG0000066	Prbb.g_00542	Syai.g_01709, Syai.g_00719
OG0000067	Prbb.g_00783	Syai.g_01321
OG0000068	Prbb.g_01639	Syai.g_00628
