Orthogroup	Prbb	Pran
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400	Pran.g_00582
OG0000000	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prbb.g_00103	Pran.g_00579, Pran.g_00001, Pran.g_00602
OG0000000	Prbb.g_01313	Pran.g_00593
OG0000001	Prbb.g_01157	Pran.g_01395
OG0000002	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Pran.g_01500
OG0000004	Prbb.g_01450	Pran.g_01483
OG0000004	Prbb.g_00288	Pran.g_00200
OG0000005	Prbb.g_01393	Pran.g_00983
OG0000005	Prbb.g_01766	Pran.g_00657
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Pran.g_01951
OG0000007	Prbb.g_00501	Pran.g_01681
OG0000007	Prbb.g_01823	Pran.g_00970
OG0000010	Prbb.g_00477	Pran.g_01704
OG0000010	Prbb.g_01072	Pran.g_00175
OG0000011	Prbb.g_01229	Pran.g_00925
OG0000011	Prbb.g_01199	Pran.g_01384
OG0000012	Prbb.g_01111	Pran.g_01555
OG0000013	Prbb.g_00378	Pran.g_01867
OG0000014	Prbb.g_00357	Pran.g_01888
OG0000015	Prbb.g_01158	Pran.g_01394
OG0000016	Prbb.g_01919	Pran.g_00620
OG0000017	Prbb.g_00598, Prbb.g_00605	Pran.g_01580
OG0000018	Prbb.g_00812	Pran.g_01316
OG0000018	Prbb.g_01539	Pran.g_00078
OG0000019	Prbb.g_00761	Pran.g_01363
OG0000020	Prbb.g_01180	Pran.g_01804
OG0000021	Prbb.g_01914, Prbb.g_00099	Pran.g_01829
OG0000022	Prbb.g_01258	Pran.g_00097
OG0000022	Prbb.g_01231	Pran.g_01401
OG0000023	Prbb.g_01411, Prbb.g_01373	Pran.g_01834
OG0000024	Prbb.g_01175	Pran.g_01420
OG0000024	Prbb.g_00680	Pran.g_01503
OG0000025	Prbb.g_00052, Prbb.g_00818	Pran.g_01863
OG0000026	Prbb.g_00032	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Prbb.g_01375	Pran.g_00583
OG0000029	Prbb.g_01800	Pran.g_01410
OG0000030	Prbb.g_02073	Pran.g_01170
OG0000031	Prbb.g_00387	Pran.g_00753
OG0000033	Prbb.g_00226	Pran.g_00800, Pran.g_00263
OG0000034	Prbb.g_01596	Pran.g_00866
OG0000035	Prbb.g_01686	Pran.g_00733
OG0000037	Prbb.g_00164	Pran.g_00324
OG0000038	Prbb.g_02129	Pran.g_01210
OG0000039	Prbb.g_00692	Pran.g_01492
OG0000040	Prbb.g_01790	Pran.g_00923
OG0000041	Prbb.g_01868	Pran.g_01016
OG0000042	Prbb.g_02069	Pran.g_01167
OG0000044	Prbb.g_00079	Pran.g_00949
OG0000047	Prbb.g_00386	Pran.g_01864
OG0000048	Prbb.g_00325	Pran.g_01772, Pran.g_01820
OG0000050	Prbb.g_01452	Pran.g_01789, Pran.g_00936, Pran.g_00946
OG0000050	Prbb.g_00116	Pran.g_00149
OG0000051	Prbb.g_01391	Pran.g_00944
OG0000053	Prbb.g_01705	Pran.g_00713
OG0000054	Prbb.g_00607	Pran.g_01572
OG0000055	Prbb.g_00747, Prbb.g_01897	Pran.g_01362
OG0000057	Prbb.g_01359, Prbb.g_00706	Pran.g_01480
OG0000059	Prbb.g_01946	Pran.g_01056
OG0000060	Prbb.g_01153	Pran.g_01399
OG0000061	Prbb.g_01517	Pran.g_00060
OG0000062	Prbb.g_01768	Pran.g_00655
OG0000063	Prbb.g_01921	Pran.g_00391
OG0000065	Prbb.g_00162	Pran.g_00326
OG0000066	Prbb.g_00542	Pran.g_01639
OG0000067	Prbb.g_00783	Pran.g_01343
OG0000068	Prbb.g_01639	Pran.g_00841
OG0000069	Prbb.g_01324, Prbb.g_01729	Pran.g_00614
OG0000070	Prbb.g_00455	Pran.g_01727
OG0000071	Prbb.g_01586	Pran.g_00938, Pran.g_00876
OG0000072	Prbb.g_00228	Pran.g_00261
OG0000073	Prbb.g_00503	Pran.g_01679
OG0000074	Prbb.g_00687, Prbb.g_00915, Prbb.g_01104	Pran.g_01496
OG0000075	Prbb.g_02036	Pran.g_01137
OG0000076	Prbb.g_02061	Pran.g_01160
OG0000077	Prbb.g_00133	Pran.g_00354
OG0000078	Prbb.g_00297	Pran.g_00194
OG0000079	Prbb.g_00308	Pran.g_01940
OG0000081	Prbb.g_00534	Pran.g_01647
OG0000082	Prbb.g_01882	Pran.g_01593
OG0000083	Prbb.g_00425	Pran.g_01436, Pran.g_00895, Pran.g_00576
OG0000084	Prbb.g_01683	Pran.g_00737
OG0000085	Prbb.g_01816	Pran.g_00963
OG0000086	Prbb.g_00143	Pran.g_00344
OG0000087	Prbb.g_00196	Pran.g_00295
OG0000088	Prbb.g_00223	Pran.g_00266
OG0000089	Prbb.g_00416	Pran.g_01839
OG0000090	Prbb.g_00536	Pran.g_01645
OG0000091	Prbb.g_00643	Pran.g_01536
OG0000093	Prbb.g_00768	Pran.g_00455
OG0000094	Prbb.g_00892	Pran.g_00549
OG0000095	Prbb.g_01070	Pran.g_00903
OG0000096	Prbb.g_01294	Pran.g_00603, Pran.g_00114
OG0000097	Prbb.g_01470	Pran.g_00019
OG0000098	Prbb.g_01608	Pran.g_00855
OG0000099	Prbb.g_00388	Pran.g_00806
OG0000100	Prbb.g_01763	Pran.g_00659
OG0000101	Prbb.g_02001	Pran.g_01105
OG0000102	Prbb.g_02066	Pran.g_01165
OG0000103	Prbb.g_02174	Pran.g_01244
OG0000104	Prbb.g_02185	Pran.g_01253
OG0000105	Prbb.g_00327	Pran.g_01920
OG0000106	Prbb.g_01197, Prbb.g_01329	Pran.g_01824
OG0000107	Prbb.g_01923	Pran.g_01808
OG0000108	Prbb.g_00484, Prbb.g_00485	Pran.g_01698
OG0000109	Prbb.g_00498	Pran.g_01684
OG0000110	Prbb.g_00578	Pran.g_01603
OG0000111	Prbb.g_00707	Pran.g_01479
OG0000112	Prbb.g_00983	Pran.g_01378
OG0000113	Prbb.g_00807, Prbb.g_01218	Pran.g_01321
OG0000114	Prbb.g_00932	Pran.g_00429
OG0000115	Prbb.g_01780	Pran.g_00123
OG0000116	Prbb.g_01528	Pran.g_00070
OG0000117	Prbb.g_01399	Pran.g_01466
OG0000118	Prbb.g_01598	Pran.g_00864
OG0000119	Prbb.g_01632	Pran.g_00845
OG0000120	Prbb.g_00678	Pran.g_00752
OG0000121	Prbb.g_01688	Pran.g_00731
OG0000122	Prbb.g_01727	Pran.g_00693
OG0000123	Prbb.g_02008	Pran.g_01112
OG0000124	Prbb.g_02079	Pran.g_01176
OG0000125	Prbb.g_02131	Pran.g_01212
OG0000126	Prbb.g_02183	Pran.g_01252
OG0000128	Prbb.g_00012	Pran.g_01268
OG0000129	Prbb.g_00059	Pran.g_00381
OG0000130	Prbb.g_00124	Pran.g_00363
OG0000131	Prbb.g_00202	Pran.g_00288
OG0000132	Prbb.g_00221	Pran.g_00268
OG0000133	Prbb.g_00373	Pran.g_01872
OG0000134	Prbb.g_00418	Pran.g_01838
OG0000135	Prbb.g_01326	Pran.g_01812
OG0000136	Prbb.g_00446	Pran.g_01739
OG0000137	Prbb.g_00478	Pran.g_01703
OG0000138	Prbb.g_00499	Pran.g_01683
OG0000139	Prbb.g_00540	Pran.g_01641
OG0000140	Prbb.g_00541	Pran.g_01640
OG0000141	Prbb.g_00608	Pran.g_01571
OG0000142	Prbb.g_00636	Pran.g_01543
OG0000143	Prbb.g_00640	Pran.g_01539
OG0000144	Prbb.g_00653	Pran.g_01526
OG0000145	Prbb.g_01099	Pran.g_01400
OG0000146	Prbb.g_00982	Pran.g_01377
OG0000147	Prbb.g_00981	Pran.g_01376
OG0000148	Prbb.g_00801	Pran.g_01327
OG0000149	Prbb.g_00832	Pran.g_01297
OG0000150	Prbb.g_00840	Pran.g_01289
OG0000151	Prbb.g_00943	Pran.g_00439
OG0000152	Prbb.g_00991	Pran.g_00487
OG0000153	Prbb.g_01009	Pran.g_00506
OG0000154	Prbb.g_01040	Pran.g_00542
OG0000155	Prbb.g_01495	Pran.g_00040
OG0000156	Prbb.g_01575	Pran.g_00887
OG0000157	Prbb.g_01576	Pran.g_00886
OG0000158	Prbb.g_02044	Pran.g_00822
OG0000159	Prbb.g_02093, Prbb.g_02083	Pran.g_00808
OG0000160	Prbb.g_01687	Pran.g_00732
OG0000161	Prbb.g_01693	Pran.g_00726
OG0000162	Prbb.g_01699	Pran.g_00720
OG0000163	Prbb.g_01735	Pran.g_00686
OG0000164	Prbb.g_01845	Pran.g_00994
OG0000165	Prbb.g_01853	Pran.g_01001
OG0000166	Prbb.g_01964	Pran.g_01069, Pran.g_01068
OG0000167	Prbb.g_02034	Pran.g_01135
OG0000168	Prbb.g_02045	Pran.g_01144
OG0000169	Prbb.g_02055	Pran.g_01154
OG0000170	Prbb.g_02057	Pran.g_01156
OG0000171	Prbb.g_02078	Pran.g_01175
OG0000172	Prbb.g_02101	Pran.g_01184
