Orthogroup	Prbb	Prai
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400	Prai.g_00905, Prai.g_01772
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785	Prai.g_01612
OG0000000	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prai.g_01592
OG0000000	Prbb.g_00103	Prai.g_00908, Prai.g_01234, Prai.g_01591, Prai.g_01775
OG0000001	Prbb.g_01611	Prai.g_01235, Prai.g_01356
OG0000001	Prbb.g_01157	Prai.g_01236
OG0000002	Prbb.g_00844	Prai.g_01363
OG0000002	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Prai.g_00707
OG0000004	Prbb.g_01450	Prai.g_00724
OG0000004	Prbb.g_00288	Prai.g_00243
OG0000005	Prbb.g_01393	Prai.g_01651
OG0000005	Prbb.g_01766	Prai.g_01538
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prai.g_00252, Prai.g_00254
OG0000007	Prbb.g_00501	Prai.g_00527
OG0000007	Prbb.g_01823	Prai.g_01638
OG0000008	Prbb.g_01884, Prbb.g_01885	Prai.g_00701
OG0000010	Prbb.g_00477	Prai.g_00504
OG0000010	Prbb.g_01072	Prai.g_01292, Prai.g_01067
OG0000011	Prbb.g_01368	Prai.g_01599
OG0000012	Prbb.g_01111	Prai.g_00652
OG0000013	Prbb.g_00378	Prai.g_00340
OG0000014	Prbb.g_00357	Prai.g_00319
OG0000015	Prbb.g_01158	Prai.g_01243
OG0000016	Prbb.g_00014	Prai.g_00013
OG0000016	Prbb.g_01919	Prai.g_01573
OG0000017	Prbb.g_00598, Prbb.g_00605	Prai.g_00626
OG0000018	Prbb.g_00812	Prai.g_00820
OG0000018	Prbb.g_01539	Prai.g_01153
OG0000019	Prbb.g_00761	Prai.g_00867
OG0000020	Prbb.g_01180	Prai.g_00400
OG0000021	Prbb.g_01914, Prbb.g_00099	Prai.g_00378
OG0000022	Prbb.g_01258	Prai.g_01139
OG0000022	Prbb.g_01231	Prai.g_00885
OG0000023	Prbb.g_01411, Prbb.g_01373	Prai.g_00373
OG0000024	Prbb.g_01175	Prai.g_00899
OG0000024	Prbb.g_00680	Prai.g_00704
OG0000025	Prbb.g_00052, Prbb.g_00818	Prai.g_00344
OG0000026	Prbb.g_00032	Prai.g_00031, Prai.g_01074
OG0000027	Prbb.g_01375	Prai.g_00904
OG0000028	Prbb.g_01635	Prai.g_01297
OG0000029	Prbb.g_01800	Prai.g_00890
OG0000030	Prbb.g_02073	Prai.g_01848
OG0000031	Prbb.g_00387	Prai.g_01444
OG0000033	Prbb.g_00226	Prai.g_00180
OG0000034	Prbb.g_01596	Prai.g_01345
OG0000035	Prbb.g_01686	Prai.g_01463
OG0000037	Prbb.g_00164	Prai.g_00109
OG0000038	Prbb.g_02129	Prai.g_01890
OG0000039	Prbb.g_00692	Prai.g_00715
OG0000041	Prbb.g_01868	Prai.g_01684
OG0000042	Prbb.g_02069	Prai.g_01845
OG0000043	Prbb.g_01198	Prai.g_00910
OG0000045	Prbb.g_01347	Prai.g_01274
OG0000047	Prbb.g_00386	Prai.g_00343
OG0000047	Prbb.g_00421	Prai.g_00424
OG0000048	Prbb.g_00325	Prai.g_00387
OG0000050	Prbb.g_01452	Prai.g_01233
OG0000050	Prbb.g_00116	Prai.g_01093
OG0000051	Prbb.g_01391	Prai.g_01263
OG0000053	Prbb.g_01705	Prai.g_01483
OG0000054	Prbb.g_00607	Prai.g_00634
OG0000055	Prbb.g_00747, Prbb.g_01897	Prai.g_00866
OG0000057	Prbb.g_01359, Prbb.g_00706	Prai.g_00727
OG0000058	Prbb.g_00851	Prai.g_01859
OG0000059	Prbb.g_01946	Prai.g_01725
OG0000061	Prbb.g_01517	Prai.g_01171
OG0000062	Prbb.g_01768	Prai.g_01540
OG0000063	Prbb.g_01921	Prai.g_00033, Prai.g_01261
OG0000065	Prbb.g_00162	Prai.g_00107
OG0000066	Prbb.g_00542	Prai.g_00567
OG0000067	Prbb.g_00783	Prai.g_00848
OG0000068	Prbb.g_01639	Prai.g_01370
OG0000069	Prbb.g_01324, Prbb.g_01729	Prai.g_01579
OG0000070	Prbb.g_00455	Prai.g_00481
OG0000071	Prbb.g_01586	Prai.g_01335
OG0000072	Prbb.g_00228	Prai.g_00182
OG0000073	Prbb.g_00503	Prai.g_00529
OG0000074	Prbb.g_00687, Prbb.g_00915, Prbb.g_01104	Prai.g_00711
OG0000075	Prbb.g_02036	Prai.g_01814
OG0000076	Prbb.g_02061	Prai.g_01838
OG0000077	Prbb.g_00133	Prai.g_00078
OG0000078	Prbb.g_00297	Prai.g_00250
OG0000079	Prbb.g_00308	Prai.g_00265
OG0000081	Prbb.g_00534	Prai.g_00559
OG0000082	Prbb.g_01882	Prai.g_00613
OG0000083	Prbb.g_00425	Prai.g_01313, Prai.g_00441
OG0000084	Prbb.g_01683	Prai.g_01459
OG0000085	Prbb.g_01816	Prai.g_01631
OG0000086	Prbb.g_00143	Prai.g_00088
OG0000087	Prbb.g_00196	Prai.g_00139
OG0000088	Prbb.g_00223	Prai.g_00177
OG0000089	Prbb.g_00416	Prai.g_00368
OG0000090	Prbb.g_00536	Prai.g_00561
OG0000091	Prbb.g_00643	Prai.g_00671
OG0000093	Prbb.g_00768	Prai.g_01021
OG0000094	Prbb.g_00892	Prai.g_00937
OG0000095	Prbb.g_01070	Prai.g_00918
OG0000096	Prbb.g_01294	Prai.g_01588
OG0000097	Prbb.g_01470	Prai.g_01214
OG0000098	Prbb.g_01608	Prai.g_01353
OG0000099	Prbb.g_00388	Prai.g_01393
OG0000100	Prbb.g_01763	Prai.g_01536
OG0000101	Prbb.g_02001	Prai.g_01782
OG0000102	Prbb.g_02066	Prai.g_01843
OG0000103	Prbb.g_02174	Prai.g_01923
OG0000104	Prbb.g_02185	Prai.g_01932
OG0000105	Prbb.g_00327	Prai.g_00286, Prai.g_00287
OG0000106	Prbb.g_01197, Prbb.g_01329	Prai.g_00383
OG0000107	Prbb.g_01923	Prai.g_00397
OG0000108	Prbb.g_00484, Prbb.g_00485	Prai.g_00510
OG0000109	Prbb.g_00498	Prai.g_00524
OG0000110	Prbb.g_00578	Prai.g_00603
OG0000111	Prbb.g_00707	Prai.g_00728
OG0000112	Prbb.g_00983	Prai.g_00882
OG0000113	Prbb.g_00807, Prbb.g_01218	Prai.g_00825
OG0000114	Prbb.g_00932	Prai.g_01046
OG0000115	Prbb.g_01780	Prai.g_01119
OG0000116	Prbb.g_01528	Prai.g_01162
OG0000117	Prbb.g_01399	Prai.g_01273
OG0000118	Prbb.g_01598	Prai.g_01347
OG0000119	Prbb.g_01632	Prai.g_01366
OG0000120	Prbb.g_00678	Prai.g_01443
OG0000121	Prbb.g_01688	Prai.g_01465
OG0000123	Prbb.g_02008	Prai.g_01789
OG0000124	Prbb.g_02079	Prai.g_01854
OG0000125	Prbb.g_02131	Prai.g_01892
OG0000126	Prbb.g_02183	Prai.g_01931
OG0000128	Prbb.g_00012	Prai.g_00011
OG0000129	Prbb.g_00059	Prai.g_00051
OG0000130	Prbb.g_00124	Prai.g_00069
OG0000131	Prbb.g_00202	Prai.g_00156
OG0000132	Prbb.g_00221	Prai.g_00175
OG0000133	Prbb.g_00373	Prai.g_00335
OG0000134	Prbb.g_00418	Prai.g_00369
OG0000135	Prbb.g_01326	Prai.g_00393
OG0000136	Prbb.g_00446	Prai.g_00472
OG0000137	Prbb.g_00478	Prai.g_00505
OG0000138	Prbb.g_00499	Prai.g_00525
OG0000139	Prbb.g_00540	Prai.g_00565
OG0000140	Prbb.g_00541	Prai.g_00566
OG0000141	Prbb.g_00608	Prai.g_00635
OG0000142	Prbb.g_00636	Prai.g_00664
OG0000143	Prbb.g_00640	Prai.g_00668
OG0000144	Prbb.g_00653	Prai.g_00681
OG0000145	Prbb.g_01099	Prai.g_00883
OG0000146	Prbb.g_00982	Prai.g_00881
OG0000147	Prbb.g_00981	Prai.g_00880
OG0000148	Prbb.g_00801	Prai.g_00831
OG0000149	Prbb.g_00832	Prai.g_00800
OG0000150	Prbb.g_00840	Prai.g_00792
OG0000151	Prbb.g_00943	Prai.g_01036
OG0000152	Prbb.g_00991	Prai.g_00989
OG0000153	Prbb.g_01009	Prai.g_00970
OG0000154	Prbb.g_01040	Prai.g_00943
OG0000155	Prbb.g_01495	Prai.g_01191
OG0000156	Prbb.g_01575	Prai.g_01323
OG0000157	Prbb.g_01576	Prai.g_01324
OG0000158	Prbb.g_02044	Prai.g_01392
OG0000159	Prbb.g_02093	Prai.g_01321
OG0000160	Prbb.g_01687	Prai.g_01464
OG0000161	Prbb.g_01693	Prai.g_01470
OG0000162	Prbb.g_01699	Prai.g_01476
OG0000163	Prbb.g_01735	Prai.g_01509
OG0000164	Prbb.g_01845	Prai.g_01662
OG0000165	Prbb.g_01853	Prai.g_01669
OG0000166	Prbb.g_01964	Prai.g_01740
OG0000167	Prbb.g_02034	Prai.g_01812
OG0000168	Prbb.g_02045	Prai.g_01822
OG0000169	Prbb.g_02055	Prai.g_01832
OG0000170	Prbb.g_02057	Prai.g_01834
OG0000171	Prbb.g_02078	Prai.g_01853
OG0000172	Prbb.g_02101	Prai.g_01863
OG0000173	Prbb.g_02116	Prai.g_01878
OG0000174	Prbb.g_02147	Prai.g_01905
OG0000175	Prbb.g_02165	Prai.g_01915
OG0000176	Prbb.g_00004	Prai.g_00004
OG0000177	Prbb.g_00005	Prai.g_00005
OG0000178	Prbb.g_00007, Prbb.g_00006	Prai.g_00006
OG0000179	Prbb.g_00017	Prai.g_00016
OG0000180	Prbb.g_00018	Prai.g_00017
OG0000181	Prbb.g_00019	Prai.g_00018
OG0000182	Prbb.g_00020	Prai.g_00019
OG0000183	Prbb.g_00024	Prai.g_00023
OG0000184	Prbb.g_00061	Prai.g_00053
OG0000185	Prbb.g_00064	Prai.g_00056
OG0000186	Prbb.g_00119	Prai.g_00064
OG0000187	Prbb.g_00120	Prai.g_00065
OG0000188	Prbb.g_00137	Prai.g_00082
OG0000189	Prbb.g_00151	Prai.g_00096
OG0000190	Prbb.g_00152	Prai.g_00097
OG0000191	Prbb.g_00175	Prai.g_00117
OG0000192	Prbb.g_00179	Prai.g_00121
OG0000193	Prbb.g_00203	Prai.g_00157
OG0000194	Prbb.g_00206	Prai.g_00160
OG0000195	Prbb.g_00208	Prai.g_00162
OG0000196	Prbb.g_00218	Prai.g_00172
OG0000197	Prbb.g_00219	Prai.g_00173
OG0000198	Prbb.g_00220	Prai.g_00174
OG0000199	Prbb.g_00227	Prai.g_00181
OG0000200	Prbb.g_00240	Prai.g_00195
OG0000201	Prbb.g_00249	Prai.g_00203
OG0000202	Prbb.g_00250	Prai.g_00204
OG0000203	Prbb.g_00251	Prai.g_00205
OG0000204	Prbb.g_00252	Prai.g_00206
OG0000205	Prbb.g_00259	Prai.g_00213
OG0000206	Prbb.g_00263	Prai.g_00218
OG0000207	Prbb.g_00265	Prai.g_00220
OG0000208	Prbb.g_00266	Prai.g_00221
OG0000209	Prbb.g_00275	Prai.g_00230
OG0000210	Prbb.g_00276	Prai.g_00231
OG0000211	Prbb.g_00290	Prai.g_00244
OG0000212	Prbb.g_00298	Prai.g_00251
OG0000213	Prbb.g_00313	Prai.g_00270
OG0000214	Prbb.g_00321	Prai.g_00280
OG0000215	Prbb.g_00344	Prai.g_00305
OG0000216	Prbb.g_00345	Prai.g_00307
OG0000217	Prbb.g_00348	Prai.g_00310
OG0000218	Prbb.g_00350	Prai.g_00312
OG0000219	Prbb.g_00351	Prai.g_00313
OG0000220	Prbb.g_00352	Prai.g_00314
OG0000221	Prbb.g_00353	Prai.g_00315
OG0000222	Prbb.g_00361	Prai.g_00323
OG0000223	Prbb.g_00374	Prai.g_00336
OG0000224	Prbb.g_00376	Prai.g_00338
OG0000225	Prbb.g_00405	Prai.g_00358
OG0000226	Prbb.g_00409	Prai.g_00362
OG0000227	Prbb.g_00411	Prai.g_00364
OG0000228	Prbb.g_00415	Prai.g_00367
OG0000229	Prbb.g_00441	Prai.g_00467
OG0000230	Prbb.g_00443	Prai.g_00469
OG0000231	Prbb.g_00454	Prai.g_00480
OG0000232	Prbb.g_00462	Prai.g_00489
OG0000233	Prbb.g_00470	Prai.g_00494
OG0000234	Prbb.g_00479	Prai.g_00506
OG0000235	Prbb.g_00483	Prai.g_00509
OG0000236	Prbb.g_00497	Prai.g_00523
OG0000237	Prbb.g_00510	Prai.g_00536
OG0000238	Prbb.g_00516	Prai.g_00542
OG0000239	Prbb.g_00528	Prai.g_00553
OG0000240	Prbb.g_00529	Prai.g_00554
OG0000241	Prbb.g_00533	Prai.g_00558
OG0000242	Prbb.g_00535	Prai.g_00560
OG0000243	Prbb.g_00546	Prai.g_00571
OG0000244	Prbb.g_00550	Prai.g_00574
OG0000245	Prbb.g_00552	Prai.g_00576
OG0000246	Prbb.g_00556	Prai.g_00580
OG0000247	Prbb.g_00566	Prai.g_00590
OG0000248	Prbb.g_00568	Prai.g_00593
OG0000249	Prbb.g_00570	Prai.g_00595
OG0000250	Prbb.g_00575	Prai.g_00600
OG0000251	Prbb.g_00591	Prai.g_00619
OG0000252	Prbb.g_00593	Prai.g_00622
OG0000253	Prbb.g_00595	Prai.g_00623
OG0000254	Prbb.g_00612	Prai.g_00639
OG0000255	Prbb.g_00618	Prai.g_00645
OG0000256	Prbb.g_00628	Prai.g_00656
OG0000257	Prbb.g_00631	Prai.g_00659
OG0000258	Prbb.g_00644	Prai.g_00672
OG0000259	Prbb.g_00661	Prai.g_00689
OG0000260	Prbb.g_00665	Prai.g_00692
OG0000261	Prbb.g_00668	Prai.g_00694
OG0000262	Prbb.g_00673	Prai.g_00698
OG0000263	Prbb.g_00686	Prai.g_00710
OG0000264	Prbb.g_00697, Prbb.g_00698	Prai.g_00720
OG0000265	Prbb.g_00713	Prai.g_00748
OG0000266	Prbb.g_00723	Prai.g_00758
OG0000267	Prbb.g_00736	Prai.g_00769
OG0000268	Prbb.g_00737	Prai.g_00770
OG0000269	Prbb.g_00778	Prai.g_00853
OG0000270	Prbb.g_00781	Prai.g_00850
OG0000271	Prbb.g_00789	Prai.g_00842
OG0000272	Prbb.g_00790	Prai.g_00840, Prai.g_00841
OG0000273	Prbb.g_00814	Prai.g_00817
OG0000274	Prbb.g_00815	Prai.g_00816
OG0000275	Prbb.g_00817	Prai.g_00741, Prai.g_00813
OG0000276	Prbb.g_00823	Prai.g_00808
OG0000277	Prbb.g_00824	Prai.g_00807
OG0000278	Prbb.g_00828	Prai.g_00804
OG0000279	Prbb.g_00835	Prai.g_00797
OG0000280	Prbb.g_01370	Prai.g_00796
OG0000281	Prbb.g_00841	Prai.g_00791
OG0000282	Prbb.g_00934	Prai.g_01044
OG0000283	Prbb.g_00965	Prai.g_01012
OG0000284	Prbb.g_00970	Prai.g_01007
OG0000285	Prbb.g_00975	Prai.g_01002
OG0000286	Prbb.g_00990	Prai.g_00990
OG0000287	Prbb.g_00101	Prai.g_00973
OG0000288	Prbb.g_01039	Prai.g_00944
OG0000289	Prbb.g_01051	Prai.g_00934
OG0000290	Prbb.g_01067	Prai.g_00921
OG0000291	Prbb.g_01069	Prai.g_00919
OG0000292	Prbb.g_01238	Prai.g_01107
OG0000293	Prbb.g_01527	Prai.g_01163
OG0000294	Prbb.g_01526	Prai.g_01164
OG0000295	Prbb.g_01502	Prai.g_01183
OG0000296	Prbb.g_01500	Prai.g_01185
OG0000297	Prbb.g_01491	Prai.g_01193
OG0000298	Prbb.g_01490	Prai.g_01194
OG0000299	Prbb.g_01471	Prai.g_01213
OG0000300	Prbb.g_01468	Prai.g_01216
OG0000301	Prbb.g_01467	Prai.g_01217
OG0000302	Prbb.g_01464	Prai.g_01219
OG0000303	Prbb.g_01459	Prai.g_01226
OG0000304	Prbb.g_01456	Prai.g_01230
OG0000305	Prbb.g_01789	Prai.g_01362
OG0000306	Prbb.g_00845	Prai.g_01365
OG0000307	Prbb.g_01648	Prai.g_01379
OG0000308	Prbb.g_01649	Prai.g_01380
OG0000309	Prbb.g_01653	Prai.g_01384
OG0000310	Prbb.g_01671	Prai.g_01448
OG0000311	Prbb.g_01673	Prai.g_01450
OG0000312	Prbb.g_01676	Prai.g_01453
OG0000313	Prbb.g_01690	Prai.g_01467
OG0000314	Prbb.g_01711	Prai.g_01489
OG0000315	Prbb.g_01721	Prai.g_01499
OG0000316	Prbb.g_01746	Prai.g_01519
OG0000317	Prbb.g_01821	Prai.g_01636
OG0000318	Prbb.g_01824	Prai.g_01639
OG0000319	Prbb.g_01835	Prai.g_01652
OG0000320	Prbb.g_01837	Prai.g_01654
OG0000321	Prbb.g_01838	Prai.g_01655
OG0000322	Prbb.g_01839	Prai.g_01656
OG0000323	Prbb.g_01848	Prai.g_01665
OG0000324	Prbb.g_01875	Prai.g_01691
OG0000325	Prbb.g_01924	Prai.g_01702
OG0000326	Prbb.g_01930	Prai.g_01708
OG0000327	Prbb.g_01959	Prai.g_01735
OG0000328	Prbb.g_01960	Prai.g_01736
OG0000329	Prbb.g_01977	Prai.g_01754
OG0000330	Prbb.g_01978	Prai.g_01755
OG0000331	Prbb.g_01979	Prai.g_01756
OG0000332	Prbb.g_01993	Prai.g_01770
OG0000333	Prbb.g_01995	Prai.g_01777
OG0000334	Prbb.g_02004	Prai.g_01785
OG0000335	Prbb.g_02009	Prai.g_01790
OG0000336	Prbb.g_02013	Prai.g_01794
OG0000337	Prbb.g_02031	Prai.g_01810
OG0000338	Prbb.g_02032	Prai.g_01811
OG0000339	Prbb.g_02037	Prai.g_01815
OG0000340	Prbb.g_02046	Prai.g_01823
OG0000341	Prbb.g_02048	Prai.g_01825
OG0000342	Prbb.g_02049	Prai.g_01826
OG0000343	Prbb.g_02050	Prai.g_01827
OG0000344	Prbb.g_02053	Prai.g_01830
OG0000345	Prbb.g_02058	Prai.g_01835
OG0000346	Prbb.g_02062	Prai.g_01839
OG0000347	Prbb.g_02082	Prai.g_01855
OG0000348	Prbb.g_02104	Prai.g_01866
OG0000349	Prbb.g_02122	Prai.g_01883
OG0000350	Prbb.g_02143	Prai.g_01901
OG0000351	Prbb.g_02168	Prai.g_01918
OG0000352	Prbb.g_02169	Prai.g_01919
OG0000353	Prbb.g_02188	Prai.g_01935
OG0000355	Prbb.g_00001	Prai.g_00001
OG0000356	Prbb.g_00002	Prai.g_00002
OG0000357	Prbb.g_00003	Prai.g_00003
OG0000358	Prbb.g_00008	Prai.g_00007
OG0000359	Prbb.g_00009	Prai.g_00008
OG0000360	Prbb.g_00010	Prai.g_00009
OG0000361	Prbb.g_00011	Prai.g_00010
OG0000362	Prbb.g_00013	Prai.g_00012
OG0000363	Prbb.g_00015	Prai.g_00014
OG0000364	Prbb.g_00016	Prai.g_00015
OG0000365	Prbb.g_00021	Prai.g_00020
OG0000366	Prbb.g_00022	Prai.g_00021
OG0000367	Prbb.g_00023	Prai.g_00022
OG0000368	Prbb.g_00025	Prai.g_00024
OG0000369	Prbb.g_00026	Prai.g_00025
OG0000370	Prbb.g_00027	Prai.g_00026
OG0000371	Prbb.g_00033	Prai.g_00032
OG0000372	Prbb.g_00035	Prai.g_00035
OG0000373	Prbb.g_00036	Prai.g_00036
OG0000374	Prbb.g_00037	Prai.g_00037
OG0000375	Prbb.g_00055	Prai.g_00047
OG0000376	Prbb.g_00057	Prai.g_00049
OG0000377	Prbb.g_00060	Prai.g_00052
OG0000378	Prbb.g_00062	Prai.g_00054
OG0000379	Prbb.g_00065	Prai.g_00057
OG0000380	Prbb.g_00121	Prai.g_00066
OG0000381	Prbb.g_00125	Prai.g_00070
OG0000382	Prbb.g_00136	Prai.g_00081
OG0000383	Prbb.g_00138	Prai.g_00083
OG0000384	Prbb.g_00139	Prai.g_00084
OG0000385	Prbb.g_00140	Prai.g_00085
OG0000386	Prbb.g_00141	Prai.g_00086
OG0000387	Prbb.g_00154	Prai.g_00099
OG0000388	Prbb.g_00158	Prai.g_00102
OG0000389	Prbb.g_00161	Prai.g_00106
OG0000390	Prbb.g_00170	Prai.g_00113
OG0000391	Prbb.g_00174	Prai.g_00116
OG0000392	Prbb.g_00177	Prai.g_00120
OG0000393	Prbb.g_00180	Prai.g_00122
OG0000394	Prbb.g_00181	Prai.g_00123
OG0000395	Prbb.g_00182	Prai.g_00124
OG0000396	Prbb.g_00185	Prai.g_00127
OG0000397	Prbb.g_00187	Prai.g_00129
OG0000398	Prbb.g_00190	Prai.g_00131
OG0000399	Prbb.g_00191	Prai.g_00132
OG0000400	Prbb.g_00192	Prai.g_00133
OG0000401	Prbb.g_00193	Prai.g_00134
OG0000402	Prbb.g_01101	Prai.g_00136
OG0000403	Prbb.g_00194	Prai.g_00137
OG0000404	Prbb.g_00195	Prai.g_00138
OG0000405	Prbb.g_00200	Prai.g_00142
OG0000406	Prbb.g_00204	Prai.g_00158
OG0000407	Prbb.g_00205	Prai.g_00159
OG0000408	Prbb.g_00207	Prai.g_00161
OG0000409	Prbb.g_00209	Prai.g_00163
OG0000410	Prbb.g_00210	Prai.g_00164
OG0000411	Prbb.g_00211	Prai.g_00165
OG0000412	Prbb.g_00212	Prai.g_00166
OG0000413	Prbb.g_00213	Prai.g_00167
OG0000414	Prbb.g_00214	Prai.g_01288, Prai.g_00168
OG0000415	Prbb.g_00215	Prai.g_00169
OG0000416	Prbb.g_00216	Prai.g_00170
OG0000417	Prbb.g_00217	Prai.g_00171
OG0000418	Prbb.g_00222	Prai.g_00176
OG0000419	Prbb.g_00224	Prai.g_00178
OG0000420	Prbb.g_00225	Prai.g_00179
OG0000421	Prbb.g_00229	Prai.g_00184
OG0000422	Prbb.g_00230	Prai.g_00185
OG0000423	Prbb.g_00231	Prai.g_00186
OG0000424	Prbb.g_00232	Prai.g_00187
OG0000425	Prbb.g_00233	Prai.g_00188
OG0000426	Prbb.g_00234	Prai.g_00189
OG0000427	Prbb.g_00235	Prai.g_00190
OG0000428	Prbb.g_00237	Prai.g_00192
OG0000429	Prbb.g_00238	Prai.g_00193
OG0000430	Prbb.g_00239	Prai.g_00194
OG0000431	Prbb.g_00241	Prai.g_00196
OG0000432	Prbb.g_00245	Prai.g_00199
OG0000433	Prbb.g_00246	Prai.g_00200
OG0000434	Prbb.g_00247	Prai.g_00201
OG0000435	Prbb.g_00248	Prai.g_00202
OG0000436	Prbb.g_00253	Prai.g_00207
OG0000437	Prbb.g_00254	Prai.g_00208
OG0000438	Prbb.g_00255	Prai.g_00209
OG0000439	Prbb.g_00257	Prai.g_00211
OG0000440	Prbb.g_00258	Prai.g_00212
OG0000441	Prbb.g_00260	Prai.g_00215
OG0000442	Prbb.g_00261	Prai.g_00216
OG0000443	Prbb.g_00262	Prai.g_00217
OG0000444	Prbb.g_00267	Prai.g_00222
OG0000445	Prbb.g_00268	Prai.g_00223
OG0000446	Prbb.g_00269	Prai.g_00224
OG0000447	Prbb.g_00270	Prai.g_00225
OG0000448	Prbb.g_00271	Prai.g_00226
OG0000449	Prbb.g_00272	Prai.g_00227
OG0000450	Prbb.g_00273	Prai.g_00228
OG0000451	Prbb.g_00274	Prai.g_00229
OG0000452	Prbb.g_00277	Prai.g_00232
OG0000453	Prbb.g_00278	Prai.g_00233
OG0000454	Prbb.g_00279	Prai.g_00234
OG0000455	Prbb.g_00280	Prai.g_00235
OG0000456	Prbb.g_00281	Prai.g_00236
OG0000457	Prbb.g_00282	Prai.g_00237
OG0000458	Prbb.g_00283	Prai.g_00238
OG0000459	Prbb.g_00284	Prai.g_00239
OG0000460	Prbb.g_00292	Prai.g_00246
OG0000461	Prbb.g_00300	Prai.g_00255
OG0000462	Prbb.g_00302	Prai.g_00257
OG0000463	Prbb.g_00303	Prai.g_00258
OG0000464	Prbb.g_00304	Prai.g_00259
OG0000465	Prbb.g_00305	Prai.g_00260
OG0000466	Prbb.g_00306	Prai.g_00263
OG0000467	Prbb.g_00307	Prai.g_00264
OG0000468	Prbb.g_00309	Prai.g_00266
OG0000469	Prbb.g_00316	Prai.g_00275
OG0000470	Prbb.g_00318	Prai.g_00277
OG0000471	Prbb.g_00319	Prai.g_00278
OG0000472	Prbb.g_00320	Prai.g_00279
OG0000473	Prbb.g_00322	Prai.g_00281
OG0000474	Prbb.g_00323	Prai.g_00282
OG0000475	Prbb.g_00324	Prai.g_00283
OG0000476	Prbb.g_00326	Prai.g_00284
OG0000477	Prbb.g_00328	Prai.g_00288
OG0000478	Prbb.g_00329	Prai.g_00289
OG0000479	Prbb.g_00330	Prai.g_00290
OG0000480	Prbb.g_00334	Prai.g_00295
OG0000481	Prbb.g_00336	Prai.g_00297
OG0000482	Prbb.g_00337	Prai.g_00298
OG0000483	Prbb.g_00340	Prai.g_00301
