Orthogroup	Prbb	Prax
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400	Prax.g_01917
OG0000000	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prax.g_01608, Prax.g_00496
OG0000000	Prbb.g_00103	Prax.g_00259, Prax.g_01609
OG0000000	Prbb.g_01313	Prax.g_01920
OG0000001	Prbb.g_01611	Prax.g_01878
OG0000001	Prbb.g_01157	Prax.g_00522
OG0000002	Prbb.g_00844	Prax.g_01870
OG0000002	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Prax.g_00964
OG0000004	Prbb.g_01450	Prax.g_00947
OG0000004	Prbb.g_00288	Prax.g_00986
OG0000005	Prbb.g_01393	Prax.g_01546
OG0000005	Prbb.g_01766	Prax.g_01652
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prax.g_01972
OG0000007	Prbb.g_00501	Prax.g_00704
OG0000007	Prbb.g_01823	Prax.g_01559
OG0000010	Prbb.g_00477	Prax.g_00728
OG0000010	Prbb.g_01072	Prax.g_01212
OG0000011	Prbb.g_01229	Prax.g_01930, Prax.g_00460
OG0000011	Prbb.g_01368	Prax.g_00776
OG0000011	Prbb.g_01199	Prax.g_00454
OG0000012	Prbb.g_01111	Prax.g_00082
OG0000013	Prbb.g_00378	Prax.g_00846
OG0000014	Prbb.g_00357	Prax.g_00869
OG0000015	Prbb.g_01158	Prax.g_00523, Prax.g_00410
OG0000017	Prbb.g_00598, Prbb.g_00605	Prax.g_00057
OG0000018	Prbb.g_00812	Prax.g_00346
OG0000018	Prbb.g_01539	Prax.g_00181
OG0000019	Prbb.g_00761	Prax.g_00393
OG0000021	Prbb.g_01914, Prbb.g_00099	Prax.g_01587, Prax.g_00808
OG0000022	Prbb.g_01258	Prax.g_00157
OG0000022	Prbb.g_01231	Prax.g_00415
OG0000023	Prbb.g_01411, Prbb.g_01373	Prax.g_00813
OG0000024	Prbb.g_01175	Prax.g_00432
OG0000024	Prbb.g_00680	Prax.g_00967
OG0000025	Prbb.g_00052, Prbb.g_00818	Prax.g_00842
OG0000026	Prbb.g_00032	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000027	Prbb.g_01375	Prax.g_01916
OG0000029	Prbb.g_01800	Prax.g_00425
OG0000030	Prbb.g_02073	Prax.g_01404
OG0000031	Prbb.g_00387	Prax.g_01831
OG0000033	Prbb.g_00226	Prax.g_01049
OG0000034	Prbb.g_01596	Prax.g_01889
OG0000035	Prbb.g_01686	Prax.g_01728, Prax.g_01733
OG0000037	Prbb.g_00164	Prax.g_01110
OG0000038	Prbb.g_02129	Prax.g_01445
OG0000039	Prbb.g_00692	Prax.g_00956
OG0000040	Prbb.g_01790	Prax.g_01591
OG0000041	Prbb.g_01868	Prax.g_01512
OG0000042	Prbb.g_02069	Prax.g_01401
OG0000043	Prbb.g_01198	Prax.g_01955
OG0000047	Prbb.g_00386	Prax.g_00843
OG0000048	Prbb.g_00325	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000050	Prbb.g_01452	Prax.g_00448, Prax.g_00508
OG0000050	Prbb.g_00116	Prax.g_01240
OG0000053	Prbb.g_01705	Prax.g_01708
OG0000054	Prbb.g_00607	Prax.g_00065
OG0000055	Prbb.g_00747, Prbb.g_01897	Prax.g_00392
OG0000057	Prbb.g_01359, Prbb.g_00706	Prax.g_00944
OG0000059	Prbb.g_01946	Prax.g_01286
OG0000060	Prbb.g_01153	Prax.g_00517
OG0000061	Prbb.g_01517	Prax.g_00200
OG0000062	Prbb.g_01768	Prax.g_01650
OG0000063	Prbb.g_01921	Prax.g_00280
OG0000065	Prbb.g_00162	Prax.g_01112
OG0000066	Prbb.g_00542	Prax.g_00662
OG0000067	Prbb.g_00783	Prax.g_00373
OG0000068	Prbb.g_01639	Prax.g_01863
OG0000069	Prbb.g_01324, Prbb.g_01729	Prax.g_01616
OG0000070	Prbb.g_00455	Prax.g_00750
OG0000071	Prbb.g_01586	Prax.g_01899
OG0000072	Prbb.g_00228	Prax.g_01047
OG0000073	Prbb.g_00503	Prax.g_00702
OG0000074	Prbb.g_00687, Prbb.g_00915, Prbb.g_01104	Prax.g_00960
OG0000075	Prbb.g_02036	Prax.g_01370
OG0000076	Prbb.g_02061	Prax.g_01394
OG0000077	Prbb.g_00133	Prax.g_00649
OG0000078	Prbb.g_00297	Prax.g_00979
OG0000079	Prbb.g_00308	Prax.g_00923
OG0000081	Prbb.g_00534	Prax.g_00670
OG0000082	Prbb.g_01882	Prax.g_00045
OG0000083	Prbb.g_00425	Prax.g_00437, Prax.g_01924, Prax.g_00444
OG0000084	Prbb.g_01683	Prax.g_01737
OG0000085	Prbb.g_01816	Prax.g_01566
OG0000086	Prbb.g_00143	Prax.g_00659
OG0000087	Prbb.g_00196	Prax.g_01079
OG0000088	Prbb.g_00223	Prax.g_01052
OG0000089	Prbb.g_00416	Prax.g_00817
OG0000090	Prbb.g_00536	Prax.g_00668
OG0000091	Prbb.g_00643	Prax.g_00101
OG0000093	Prbb.g_01606	Prax.g_01769
OG0000093	Prbb.g_00768	Prax.g_00588
OG0000094	Prbb.g_00892	Prax.g_01185
OG0000095	Prbb.g_01070	Prax.g_01204
OG0000096	Prbb.g_01294	Prax.g_00500, Prax.g_00141, Prax.g_01936
OG0000097	Prbb.g_01470	Prax.g_00241
OG0000098	Prbb.g_01608	Prax.g_01881
OG0000099	Prbb.g_00388	Prax.g_01825
OG0000100	Prbb.g_01763	Prax.g_01654
OG0000101	Prbb.g_02001	Prax.g_01338
OG0000102	Prbb.g_02066	Prax.g_01399
OG0000103	Prbb.g_02174	Prax.g_01478
OG0000104	Prbb.g_02185	Prax.g_01486
OG0000105	Prbb.g_00327	Prax.g_00901
OG0000106	Prbb.g_01197, Prbb.g_01329	Prax.g_00803
OG0000107	Prbb.g_01923	Prax.g_00790
OG0000108	Prbb.g_00484, Prbb.g_00485	Prax.g_00722
OG0000109	Prbb.g_00498	Prax.g_00707
OG0000110	Prbb.g_00578	Prax.g_00035
OG0000111	Prbb.g_00707	Prax.g_00943
OG0000112	Prbb.g_00983	Prax.g_00409
