Orthogroup	Prbb	Praj
OG0000000	Prbb.g_00433	Praj.g_00419
OG0000000	Prbb.g_01318	Praj.g_00419
OG0000000	Prbb.g_01353	Praj.g_00419
OG0000000	Prbb.g_00433	Praj.g_01356
OG0000000	Prbb.g_01318	Praj.g_01356
OG0000000	Prbb.g_01353	Praj.g_01356
OG0000000	Prbb.g_01119	Praj.g_01076
OG0000000	Prbb.g_01243	Praj.g_01201
OG0000000	Prbb.g_01400	Praj.g_01201
OG0000000	Prbb.g_01243	Praj.g_01271
OG0000000	Prbb.g_01400	Praj.g_01271
OG0000000	Prbb.g_01243	Praj.g_01308
OG0000000	Prbb.g_01400	Praj.g_01308
OG0000000	Prbb.g_01144	Praj.g_01099
OG0000000	Prbb.g_01792	Praj.g_01737
OG0000000	Prbb.g_01321	Praj.g_00415
OG0000000	Prbb.g_01356	Praj.g_00415
OG0000000	Prbb.g_01321	Praj.g_01204
OG0000000	Prbb.g_01356	Praj.g_01204
OG0000000	Prbb.g_01321	Praj.g_01274
OG0000000	Prbb.g_01356	Praj.g_01274
OG0000000	Prbb.g_01321	Praj.g_01311
OG0000000	Prbb.g_01356	Praj.g_01311
OG0000000	Prbb.g_01791	Praj.g_01736
OG0000000	Prbb.g_00432, Prbb.g_01120, Prbb.g_01401	Praj.g_00418, Praj.g_01077, Praj.g_01357
OG0000000	Prbb.g_01785	Praj.g_01730
OG0000000	Prbb.g_00431	Praj.g_01272
OG0000000	Prbb.g_01121	Praj.g_01272
OG0000000	Prbb.g_01319	Praj.g_01272
OG0000000	Prbb.g_00431	Praj.g_01309
OG0000000	Prbb.g_01121	Praj.g_01309
OG0000000	Prbb.g_01319	Praj.g_01309
OG0000000	Prbb.g_01244	Praj.g_00417, Praj.g_01202
OG0000000	Prbb.g_01123	Praj.g_01307
OG0000000	Prbb.g_01352	Praj.g_01307
OG0000000	Prbb.g_01403	Praj.g_01307
OG0000000	Prbb.g_01787	Praj.g_01307
OG0000000	Prbb.g_01123	Praj.g_01359
OG0000000	Prbb.g_01352	Praj.g_01359
OG0000000	Prbb.g_01403	Praj.g_01359
OG0000000	Prbb.g_01787	Praj.g_01359
OG0000000	Prbb.g_01123	Praj.g_01732
OG0000000	Prbb.g_01352	Praj.g_01732
OG0000000	Prbb.g_01403	Praj.g_01732
OG0000000	Prbb.g_01787	Praj.g_01732
OG0000000	Prbb.g_01145	Praj.g_01100
OG0000000	Prbb.g_00103	Praj.g_00087
OG0000000	Prbb.g_01313	Praj.g_01267
OG0000001	Prbb.g_01883	Praj.g_01828
OG0000001	Prbb.g_01611	Praj.g_01549
OG0000001	Prbb.g_00474	Praj.g_00463
OG0000001	Prbb.g_01915	Praj.g_01861
OG0000001	Prbb.g_01157	Praj.g_01112
OG0000002	Prbb.g_00844	Praj.g_00832
OG0000002	Prbb.g_01546	Praj.g_01489
OG0000002	Prbb.g_01545	Praj.g_01488
OG0000002	Prbb.g_01550	Praj.g_01493
OG0000002	Prbb.g_01544	Praj.g_01487
OG0000002	Prbb.g_01549	Praj.g_01492
OG0000002	Prbb.g_00683	Praj.g_00670
OG0000004	Prbb.g_01450	Praj.g_01396
OG0000004	Prbb.g_00288	Praj.g_00271
OG0000005	Prbb.g_01393	Praj.g_01349
OG0000005	Prbb.g_01766	Praj.g_01712
OG0000006	Prbb.g_00299	Praj.g_00282
OG0000006	Prbb.g_00299	Praj.g_01281
OG0000006	Prbb.g_00299	Praj.g_01505
OG0000007	Prbb.g_00501	Praj.g_00489
OG0000007	Prbb.g_01823	Praj.g_01768
OG0000008	Prbb.g_01884	Praj.g_01829
OG0000008	Prbb.g_01885	Praj.g_01830
OG0000010	Prbb.g_00477	Praj.g_00466
OG0000010	Prbb.g_01072	Praj.g_01026
OG0000011	Prbb.g_01229	Praj.g_01187
OG0000011	Prbb.g_01368	Praj.g_01323
OG0000011	Prbb.g_01199	Praj.g_01158
OG0000012	Prbb.g_01111	Praj.g_01066
OG0000013	Prbb.g_00378	Praj.g_00362
OG0000014	Prbb.g_00357	Praj.g_00341
OG0000015	Prbb.g_01158	Praj.g_01113
OG0000016	Prbb.g_00014	Praj.g_00013
OG0000016	Prbb.g_01919	Praj.g_01865
OG0000017	Prbb.g_00598	Praj.g_00585
OG0000017	Prbb.g_00605	Praj.g_00592
OG0000018	Prbb.g_00812	Praj.g_00798
OG0000018	Prbb.g_01539	Praj.g_01482
OG0000019	Prbb.g_00761	Praj.g_00747
OG0000020	Prbb.g_01180	Praj.g_01139
OG0000020	Prbb.g_01071	Praj.g_01025
