Orthogroup	Prau	Syaq
OG0000004	Prau.g_00735	Syaq.g_02603
OG0000004	Prau.g_00233	Syaq.g_02042, Syaq.g_01567
OG0000005	Prau.g_01745	Syaq.g_01658
OG0000005	Prau.g_01607	Syaq.g_01692
OG0000006	Prau.g_01316	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prau.g_00538	Syaq.g_01793
OG0000007	Prau.g_01732	Syaq.g_01673
OG0000008	Prau.g_00781	Syaq.g_02162
OG0000009	Prau.g_00106	Syaq.g_01489
OG0000010	Prau.g_01698, Prau.g_01096, Prau.g_00515	Syaq.g_00443
OG0000011	Prau.g_00441, Prau.g_01307, Prau.g_01335	Syaq.g_01038
OG0000012	Prau.g_00663	Syaq.g_02059
OG0000013	Prau.g_00329	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prau.g_00308	Syaq.g_00862
OG0000015	Prau.g_00817	Syaq.g_02255
OG0000016	Prau.g_00013	Syaq.g_01136
OG0000017	Prau.g_00636	Syaq.g_01992
OG0000018	Prau.g_01188, Prau.g_00881	Syaq.g_00401
OG0000019	Prau.g_00251, Prau.g_00834	Syaq.g_00717
OG0000022	Prau.g_00814, Prau.g_01170	Syaq.g_02126
OG0000023	Prau.g_00362	Syaq.g_02540
OG0000025	Prau.g_00888, Prau.g_00333	Syaq.g_02381
OG0000026	Prau.g_00030, Prau.g_01103	Syaq.g_01114
OG0000028	Prau.g_00322, Prau.g_01338	Syaq.g_00878
OG0000030	Prau.g_01935	Syaq.g_01047, Syaq.g_01048
OG0000031	Prau.g_01431, Prau.g_01469	Syaq.g_01009
OG0000033	Prau.g_00170	Syaq.g_01399
OG0000034	Prau.g_01381	Syaq.g_00312, Syaq.g_01431
OG0000035	Prau.g_01531, Prau.g_01528	Syaq.g_00372
OG0000037	Prau.g_00110	Syaq.g_01483
OG0000038	Prau.g_01976	Syaq.g_01260, Syaq.g_01258
OG0000039	Prau.g_00726	Syaq.g_01601, Syaq.g_01241
OG0000042	Prau.g_01932	Syaq.g_00200, Syaq.g_01044
OG0000043	Prau.g_01321	Syaq.g_01920
OG0000045	Prau.g_00374	Syaq.g_02047
OG0000048	Prau.g_00377	Syaq.g_00749
OG0000052	Prau.g_01489, Prau.g_01448	Syaq.g_00969
OG0000053	Prau.g_00040, Prau.g_01551	Syaq.g_00397
OG0000054	Prau.g_00644	Syaq.g_02005
OG0000055	Prau.g_00835	Syaq.g_02700
OG0000057	Prau.g_00738	Syaq.g_02605
OG0000058	Prau.g_01432, Prau.g_01460	Syaq.g_00944
OG0000059	Prau.g_01818	Syaq.g_00657
OG0000061	Prau.g_01206	Syaq.g_00249
OG0000063	Prau.g_00032, Prau.g_01295	Syaq.g_01110
OG0000065	Prau.g_00108	Syaq.g_01908, Syaq.g_01487
