Orthogroup	Prau	Syae
OG0000001	Prau.g_01394, Prau.g_01267, Prau.g_01269	Syae.g_02061
OG0000004	Prau.g_00735	Syae.g_00779
OG0000004	Prau.g_00233	Syae.g_00042, Syae.g_02231
OG0000005	Prau.g_01745	Syae.g_01179
OG0000005	Prau.g_01607	Syae.g_01143
OG0000006	Prau.g_01316	Syae.g_02030, Syae.g_02248
OG0000007	Prau.g_00538	Syae.g_02328
OG0000007	Prau.g_01732	Syae.g_01163
OG0000008	Prau.g_00781	Syae.g_00753
OG0000009	Prau.g_01324, Prau.g_01641	Syae.g_00561, Syae.g_00171
OG0000009	Prau.g_00106	Syae.g_00100, Syae.g_01361
OG0000010	Prau.g_01698, Prau.g_01096, Prau.g_00515	Syae.g_02529
OG0000011	Prau.g_00441	Syae.g_00268
OG0000012	Prau.g_00663	Syae.g_02397, Syae.g_02562, Syae.g_00049
OG0000013	Prau.g_00329	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Prau.g_00308	Syae.g_01930
OG0000014	Prau.g_01470	Syae.g_01850
OG0000015	Prau.g_00817	Syae.g_00590
OG0000016	Prau.g_00013	Syae.g_01726
OG0000017	Prau.g_00636	Syae.g_02462
OG0000018	Prau.g_01188, Prau.g_00881	Syae.g_02625
OG0000019	Prau.g_00251, Prau.g_00834	Syae.g_02015
OG0000021	Prau.g_01680, Prau.g_00367	Syae.g_01261
OG0000022	Prau.g_00814, Prau.g_01170	Syae.g_00144
OG0000023	Prau.g_00362	Syae.g_00439, Syae.g_00930
OG0000025	Prau.g_00888, Prau.g_00333	Syae.g_00833
OG0000026	Prau.g_00030, Prau.g_01103	Syae.g_01748
OG0000027	Prau.g_01353	Syae.g_00103, Syae.g_00814
OG0000028	Prau.g_00322, Prau.g_01338	Syae.g_01916
OG0000029	Prau.g_00378, Prau.g_00804	Syae.g_00136
OG0000030	Prau.g_01935	Syae.g_01817, Syae.g_01816
OG0000033	Prau.g_00170	Syae.g_01453
OG0000034	Prau.g_01381	Syae.g_00975, Syae.g_01424
