Orthogroup	Prau	Syaj
OG0000001	Prau.g_01394, Prau.g_01267, Prau.g_01269	Syaj.g_02674
OG0000002	Prau.g_01402, Prau.g_00718	Syaj.g_02667
OG0000004	Prau.g_00735	Syaj.g_00441
OG0000004	Prau.g_00233	Syaj.g_01314, Syaj.g_02853
OG0000005	Prau.g_01745	Syaj.g_01736
OG0000005	Prau.g_01607	Syaj.g_01698
OG0000006	Prau.g_01316	Syaj.g_02635
OG0000007	Prau.g_00538	Syaj.g_00091
OG0000007	Prau.g_01732	Syaj.g_01721
OG0000008	Prau.g_00781	Syaj.g_00496
OG0000009	Prau.g_01324, Prau.g_01641	Syaj.g_01069
OG0000009	Prau.g_00106	Syaj.g_01885
OG0000010	Prau.g_01698, Prau.g_01096, Prau.g_00515	Syaj.g_01445
OG0000011	Prau.g_00441	Syaj.g_01133
OG0000012	Prau.g_00663	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306
OG0000013	Prau.g_00329	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prau.g_00308	Syaj.g_02522
OG0000014	Prau.g_01470	Syaj.g_02344
OG0000015	Prau.g_00817	Syaj.g_00725, Syaj.g_02659
OG0000016	Prau.g_00013	Syaj.g_02276
OG0000017	Prau.g_00636	Syaj.g_00248
OG0000018	Prau.g_01188, Prau.g_00881	Syaj.g_01413
OG0000019	Prau.g_00251, Prau.g_00834	Syaj.g_02613
OG0000021	Prau.g_01680, Prau.g_00367	Syaj.g_00982
OG0000022	Prau.g_00814, Prau.g_01170	Syaj.g_01220
OG0000023	Prau.g_00362	Syaj.g_00829, Syaj.g_01791
OG0000024	Prau.g_00796, Prau.g_00715	Syaj.g_00500
OG0000025	Prau.g_00888, Prau.g_00333	Syaj.g_00383
OG0000026	Prau.g_00030, Prau.g_01103	Syaj.g_02298
OG0000027	Prau.g_01353	Syaj.g_00396
OG0000028	Prau.g_00322, Prau.g_01338	Syaj.g_02506
OG0000029	Prau.g_00378, Prau.g_00804	Syaj.g_01229
OG0000030	Prau.g_01935	Syaj.g_02396, Syaj.g_02395
OG0000033	Prau.g_00170	Syaj.g_01990
OG0000034	Prau.g_01381	Syaj.g_01959
OG0000035	Prau.g_01531, Prau.g_01528	Syaj.g_01378
OG0000037	Prau.g_00110	Syaj.g_01891, Syaj.g_02902
OG0000038	Prau.g_01976	Syaj.g_02115
OG0000039	Prau.g_00726	Syaj.g_00392, Syaj.g_00275
OG0000041	Prau.g_01778	Syaj.g_01602
OG0000042	Prau.g_01932	Syaj.g_02399
OG0000043	Prau.g_00926, Prau.g_01321	Syaj.g_01247
OG0000045	Prau.g_01682	Syaj.g_00132
OG0000047	Prau.g_00414, Prau.g_00332	Syaj.g_02799
OG0000048	Prau.g_00377	Syaj.g_02578
OG0000051	Prau.g_01347	Syaj.g_02898
OG0000052	Prau.g_01489, Prau.g_01448	Syaj.g_02476
OG0000053	Prau.g_00040, Prau.g_01551	Syaj.g_01409
OG0000054	Prau.g_00644	Syaj.g_01341
OG0000055	Prau.g_00835	Syaj.g_00394
OG0000057	Prau.g_00738	Syaj.g_00438
OG0000058	Prau.g_01432, Prau.g_01460	Syaj.g_02495
OG0000059	Prau.g_01818	Syaj.g_02686
OG0000061	Prau.g_01206	Syaj.g_00302
OG0000063	Prau.g_00032, Prau.g_01295	Syaj.g_02302
OG0000065	Prau.g_00108	Syaj.g_00007, Syaj.g_01887
OG0000066	Prau.g_00579	Syaj.g_00157
OG0000067	Prau.g_00854	Syaj.g_01023
OG0000068	Prau.g_01409	Syaj.g_00059
OG0000070	Prau.g_00491	Syaj.g_01529
OG0000071	Prau.g_01371	Syaj.g_01511
OG0000072	Prau.g_00172	Syaj.g_01992
OG0000073	Prau.g_00540	Syaj.g_00093
OG0000075	Prau.g_01901	Syaj.g_02457
OG0000076	Prau.g_00037, Prau.g_01925	Syaj.g_02417
OG0000077	Prau.g_00079	Syaj.g_01831
OG0000078	Prau.g_00240	Syaj.g_02880
OG0000079	Prau.g_00254	Syaj.g_02609
OG0000081	Prau.g_00571	Syaj.g_02888
OG0000082	Prau.g_00624	Syaj.g_00229
OG0000084	Prau.g_01524	Syaj.g_01375
OG0000085	Prau.g_01725	Syaj.g_01707
OG0000086	Prau.g_00089	Syaj.g_01848
OG0000087	Prau.g_00140	Syaj.g_01945
OG0000088	Prau.g_00167	Syaj.g_01986
OG0000089	Prau.g_00358	Syaj.g_02829, Syaj.g_01915
OG0000090	Prau.g_00573	Syaj.g_00144
OG0000091	Prau.g_00682	Syaj.g_01275
OG0000092	Prau.g_00451, Prau.g_00961, Prau.g_00052	Syaj.g_00339
OG0000094	Prau.g_01070	Syaj.g_00804
OG0000097	Prau.g_01247	Syaj.g_00589
OG0000098	Prau.g_01391	Syaj.g_02671
OG0000099	Prau.g_01434, Prau.g_01435	Syaj.g_02503
OG0000100	Prau.g_01605	Syaj.g_00987
OG0000101	Prau.g_01869	Syaj.g_02738
OG0000102	Prau.g_01930	Syaj.g_02411
OG0000103	Prau.g_02009	Syaj.g_02243
OG0000104	Prau.g_02018	Syaj.g_02258
OG0000105	Prau.g_00276	Syaj.g_02573
OG0000106	Prau.g_00373	Syaj.g_01130
OG0000107	Prau.g_00389	Syaj.g_02637
OG0000108	Prau.g_00521	Syaj.g_00072
OG0000109	Prau.g_00535	Syaj.g_00087
OG0000110	Prau.g_00614	Syaj.g_00215
OG0000111	Prau.g_00739	Syaj.g_00437
OG0000112	Prau.g_00818	Syaj.g_00907
OG0000113	Prau.g_00876	Syaj.g_00992
OG0000114	Prau.g_00956	Syaj.g_00741
OG0000115	Prau.g_01148	Syaj.g_01402
OG0000116	Prau.g_01197	Syaj.g_00289
OG0000117	Prau.g_01318	Syaj.g_00637
OG0000118	Prau.g_01383	Syaj.g_00267
OG0000119	Prau.g_01405	Syaj.g_00317
OG0000120	Prau.g_01430	Syaj.g_02502
