Orthogroup	Prau	Syan
OG0000004	Prau.g_00735	Syan.g_00183
OG0000004	Prau.g_00233	Syan.g_00989
OG0000005	Prau.g_01745	Syan.g_01423
OG0000005	Prau.g_01607	Syan.g_01378
OG0000006	Prau.g_01316	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prau.g_00538	Syan.g_02743
OG0000007	Prau.g_01732	Syan.g_01400
OG0000008	Prau.g_00781	Syan.g_00640, Syan.g_02532
OG0000009	Prau.g_01324, Prau.g_01641, Prau.g_00106	Syan.g_02972
OG0000010	Prau.g_01698, Prau.g_01096, Prau.g_00515	Syan.g_02847
OG0000012	Prau.g_00663	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prau.g_00329	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prau.g_00308	Syan.g_01987
OG0000016	Prau.g_00013	Syan.g_01766
OG0000017	Prau.g_00636	Syan.g_01006
OG0000018	Prau.g_01188, Prau.g_00881	Syan.g_02816
OG0000019	Prau.g_00251, Prau.g_00834	Syan.g_02088
OG0000021	Prau.g_01680, Prau.g_00367	Syan.g_01001
OG0000022	Prau.g_00814, Prau.g_01170	Syan.g_00089
OG0000023	Prau.g_00362	Syan.g_00404
OG0000025	Prau.g_00888, Prau.g_00333	Syan.g_00374
OG0000026	Prau.g_00030, Prau.g_01103	Syan.g_01743
OG0000027	Prau.g_01353	Syan.g_02678
OG0000028	Prau.g_00322, Prau.g_01338	Syan.g_01971
OG0000030	Prau.g_01935	Syan.g_01884, Syan.g_01883
OG0000032	Prau.g_01475, Prau.g_01446	Syan.g_01819
OG0000033	Prau.g_01465, Prau.g_00170	Syan.g_03036
OG0000034	Prau.g_01381	Syan.g_01227, Syan.g_03003
OG0000035	Prau.g_01531, Prau.g_01528	Syan.g_01276
OG0000037	Prau.g_00110	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prau.g_01976	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prau.g_00726	Syan.g_02771, Syan.g_00535
OG0000041	Prau.g_01778	Syan.g_01465
OG0000042	Prau.g_01932	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Prau.g_00374	Syan.g_00086, Syan.g_00151
OG0000048	Prau.g_00377	Syan.g_02036
OG0000053	Prau.g_00040, Prau.g_01551	Syan.g_02812
OG0000054	Prau.g_00644	Syan.g_02503
OG0000055	Prau.g_00835	Syan.g_00312
OG0000058	Prau.g_01432, Prau.g_01460	Syan.g_01128, Syan.g_01124
OG0000061	Prau.g_01206	Syan.g_02696
OG0000062	Prau.g_01609	Syan.g_00098
