Orthogroup	Prau	Syap
OG0000004	Prau.g_00233	Syap.g_01987
OG0000005	Prau.g_01745	Syap.g_01773
OG0000005	Prau.g_01607	Syap.g_01218
OG0000007	Prau.g_00538	Syap.g_00275
OG0000007	Prau.g_01732	Syap.g_00621
OG0000009	Prau.g_00106	Syap.g_02081
OG0000010	Prau.g_01698, Prau.g_01096, Prau.g_00515	Syap.g_02757
OG0000013	Prau.g_00329	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prau.g_00308	Syap.g_01675
OG0000014	Prau.g_01470	Syap.g_00813
OG0000016	Prau.g_00013	Syap.g_00071
OG0000017	Prau.g_00636	Syap.g_00449
OG0000018	Prau.g_01188, Prau.g_00881	Syap.g_02010
OG0000019	Prau.g_00251, Prau.g_00834	Syap.g_01586
OG0000025	Prau.g_00888, Prau.g_00333	Syap.g_01846
OG0000027	Prau.g_01353	Syap.g_01440
OG0000028	Prau.g_00322, Prau.g_01338	Syap.g_01658
OG0000030	Prau.g_01935	Syap.g_00787, Syap.g_00788
OG0000032	Prau.g_01475, Prau.g_01446	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Prau.g_01465, Prau.g_00170	Syap.g_01198
OG0000034	Prau.g_01381	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prau.g_01531, Prau.g_01528	Syap.g_02465
OG0000037	Prau.g_00110	Syap.g_02492
OG0000038	Prau.g_01976	Syap.g_00139
OG0000039	Prau.g_00726	Syap.g_01749, Syap.g_01748
OG0000042	Prau.g_01932	Syap.g_01891, Syap.g_01120
OG0000043	Prau.g_00926, Prau.g_01321	Syap.g_01998
OG0000045	Prau.g_01682, Prau.g_00374	Syap.g_02525
OG0000048	Prau.g_00377	Syap.g_02340
OG0000051	Prau.g_01347, Prau.g_01275, Prau.g_01681	Syap.g_01574
OG0000053	Prau.g_00040, Prau.g_01551	Syap.g_02006
OG0000054	Prau.g_00644	Syap.g_00678
OG0000059	Prau.g_01818	Syap.g_01082, Syap.g_02478
OG0000061	Prau.g_01206	Syap.g_00228
OG0000062	Prau.g_01609	Syap.g_01365
OG0000063	Prau.g_00032, Prau.g_01295	Syap.g_01796
OG0000066	Prau.g_00579	Syap.g_01972
OG0000067	Prau.g_00854	Syap.g_00194
OG0000068	Prau.g_01409	Syap.g_00108, Syap.g_00144
OG0000070	Prau.g_00491	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prau.g_00172	Syap.g_00555
OG0000073	Prau.g_00540	Syap.g_00273, Syap.g_01020
OG0000075	Prau.g_01901	Syap.g_01064, Syap.g_00664
OG0000076	Prau.g_00037, Prau.g_01925	Syap.g_01111
OG0000079	Prau.g_00254	Syap.g_01589
OG0000080	Prau.g_01440	Syap.g_01003
OG0000085	Prau.g_01725	Syap.g_00611
OG0000087	Prau.g_00140	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prau.g_00167	Syap.g_01202
OG0000089	Prau.g_00358	Syap.g_00115, Syap.g_02042
OG0000090	Prau.g_00573	Syap.g_01451
OG0000091	Prau.g_00682	Syap.g_01861
OG0000094	Prau.g_01070	Syap.g_02781
OG0000095	Prau.g_01089	Syap.g_01556
OG0000098	Prau.g_01391	Syap.g_01975
OG0000099	Prau.g_01434, Prau.g_01435	Syap.g_01385
OG0000101	Prau.g_01869	Syap.g_00472
OG0000102	Prau.g_01930	Syap.g_01116
OG0000103	Prau.g_02009	Syap.g_02607, Syap.g_02608
OG0000104	Prau.g_02018	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prau.g_00276	Syap.g_01369, Syap.g_01368
OG0000107	Prau.g_00389	Syap.g_02496
OG0000108	Prau.g_00521	Syap.g_00733, Syap.g_02255
OG0000109	Prau.g_00535	Syap.g_00279, Syap.g_02237
OG0000110	Prau.g_00614	Syap.g_01313
OG0000111	Prau.g_00739	Syap.g_01566, Syap.g_01568
OG0000112	Prau.g_00818	Syap.g_02023
OG0000113	Prau.g_00876	Syap.g_02714
OG0000114	Prau.g_00956	Syap.g_01255
OG0000115	Prau.g_01148	Syap.g_02004
OG0000116	Prau.g_01197	Syap.g_00241
OG0000117	Prau.g_01318	Syap.g_01889
OG0000118	Prau.g_01383	Syap.g_02286
OG0000120	Prau.g_01430	Syap.g_02075
OG0000121	Prau.g_01533	Syap.g_02471
OG0000123	Prau.g_01876	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prau.g_01941	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prau.g_01978	Syap.g_01046, Syap.g_01047
OG0000126	Prau.g_02017	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000127	Prau.g_01292	Syap.g_00736, Syap.g_00737, Syap.g_00735
OG0000128	Prau.g_00011	Syap.g_00069
OG0000129	Prau.g_00051	Syap.g_00130, Syap.g_00129
OG0000130	Prau.g_00071	Syap.g_01688, Syap.g_01689
OG0000131	Prau.g_00146	Syap.g_02189
OG0000132	Prau.g_00165	Syap.g_01205
OG0000133	Prau.g_00324	Syap.g_02017
OG0000134	Prau.g_00359	Syap.g_02047
OG0000135	Prau.g_00386	Syap.g_02090
OG0000136	Prau.g_00482	Syap.g_00089
OG0000137	Prau.g_00516	Syap.g_02756
OG0000138	Prau.g_00536	Syap.g_00278
OG0000139	Prau.g_00577	Syap.g_00410
OG0000140	Prau.g_00578	Syap.g_01976
OG0000141	Prau.g_00645	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prau.g_00675	Syap.g_00895, Syap.g_00894
OG0000143	Prau.g_00679	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prau.g_00692	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prau.g_00816	Syap.g_01860, Syap.g_01859
OG0000146	Prau.g_00819	Syap.g_02024
OG0000147	Prau.g_00820	Syap.g_02025
OG0000148	Prau.g_00870	Syap.g_02720
OG0000149	Prau.g_00900	Syap.g_00824
OG0000150	Prau.g_00909	Syap.g_01540
OG0000151	Prau.g_00966	Syap.g_00142
OG0000152	Prau.g_01015	Syap.g_02012
OG0000153	Prau.g_01034	Syap.g_02682
