Orthogroup	Prau	Prap
OG0000000	Prau.g_01665, Prau.g_01648	Prap.g_01862
OG0000002	Prau.g_01402	Prap.g_00720, Prap.g_00715
OG0000002	Prau.g_00718	Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000004	Prau.g_00735	Prap.g_00802
OG0000004	Prau.g_00233	Prap.g_01480
OG0000005	Prau.g_01607	Prap.g_00204
OG0000006	Prau.g_01316	Prap.g_01470
OG0000007	Prau.g_00538	Prap.g_01270
OG0000007	Prau.g_01732	Prap.g_01779
OG0000008	Prau.g_00781	Prap.g_01888
OG0000009	Prau.g_01324	Prap.g_00216
OG0000010	Prau.g_00515	Prap.g_00669, Prap.g_00318, Prap.g_01293
OG0000012	Prau.g_00663	Prap.g_00236, Prap.g_01145
OG0000013	Prau.g_00329	Prap.g_01385
OG0000014	Prau.g_00308	Prap.g_01403
OG0000015	Prau.g_00817	Prap.g_01840, Prap.g_01794
OG0000017	Prau.g_00636	Prap.g_01170
OG0000018	Prau.g_01188	Prap.g_00478
OG0000018	Prau.g_00881	Prap.g_00755
OG0000019	Prau.g_00251	Prap.g_01462
OG0000019	Prau.g_00834	Prap.g_00480
OG0000020	Prau.g_01153	Prap.g_00228
OG0000020	Prau.g_01704	Prap.g_01906
OG0000021	Prau.g_01680, Prau.g_00367	Prap.g_00229
OG0000022	Prau.g_00814	Prap.g_00212
OG0000023	Prau.g_00362	Prap.g_00029
OG0000024	Prau.g_00796	Prap.g_00322
OG0000024	Prau.g_00715	Prap.g_00826
OG0000025	Prau.g_00888, Prau.g_00333	Prap.g_00747
OG0000026	Prau.g_00030, Prau.g_01103	Prap.g_00923
OG0000027	Prau.g_01353	Prap.g_01912
OG0000028	Prau.g_01338	Prap.g_01889
OG0000029	Prau.g_00378	Prap.g_01688
OG0000029	Prau.g_00804	Prap.g_01899, Prap.g_01848
OG0000030	Prau.g_01935	Prap.g_01569
OG0000031	Prau.g_01431, Prau.g_01469	Prap.g_00080
OG0000033	Prau.g_01465	Prap.g_00087
OG0000033	Prau.g_00170	Prap.g_01001
OG0000034	Prau.g_01381	Prap.g_00572
OG0000037	Prau.g_00110	Prap.g_01067
OG0000038	Prau.g_01976	Prap.g_01530
OG0000039	Prau.g_00726	Prap.g_00814
OG0000041	Prau.g_01778	Prap.g_01731
OG0000042	Prau.g_01932	Prap.g_01572
OG0000043	Prau.g_00926	Prap.g_00477
OG0000045	Prau.g_00374	Prap.g_00500
OG0000047	Prau.g_00414	Prap.g_01343
OG0000048	Prau.g_00377	Prap.g_01439
OG0000052	Prau.g_01489	Prap.g_00099
OG0000053	Prau.g_00040, Prau.g_01551	Prap.g_01834, Prap.g_00142
OG0000054	Prau.g_00644	Prap.g_01161
OG0000055	Prau.g_00835	Prap.g_00505
OG0000057	Prau.g_00738	Prap.g_00799
OG0000058	Prau.g_01432, Prau.g_01460	Prap.g_00081
OG0000059	Prau.g_01818	Prap.g_01691
OG0000061	Prau.g_01206	Prap.g_00456
OG0000062	Prau.g_01609	Prap.g_00206
OG0000063	Prau.g_00032, Prau.g_01295	Prap.g_01903
OG0000065	Prau.g_00108	Prap.g_01069
OG0000066	Prau.g_00579	Prap.g_01230, Prap.g_01867
OG0000067	Prau.g_00854	Prap.g_00783
OG0000068	Prau.g_01409	Prap.g_00059
OG0000069	Prau.g_01285, Prau.g_01642	Prap.g_01312
OG0000070	Prau.g_00491	Prap.g_01316
OG0000071	Prau.g_01371	Prap.g_00561
OG0000072	Prau.g_00172	Prap.g_00999
OG0000073	Prau.g_00540	Prap.g_01267
OG0000074	Prau.g_00722	Prap.g_00819
OG0000075	Prau.g_01901	Prap.g_01606
OG0000076	Prau.g_00037, Prau.g_01925	Prap.g_01580
OG0000077	Prau.g_00079	Prap.g_01099
OG0000078	Prau.g_00240	Prap.g_01472
OG0000079	Prau.g_00254	Prap.g_01459
OG0000081	Prau.g_00571	Prap.g_01238
OG0000082	Prau.g_00624	Prap.g_01183, Prap.g_01790
OG0000084	Prau.g_01524	Prap.g_00118
OG0000085	Prau.g_01725	Prap.g_01787, Prap.g_01917
OG0000086	Prau.g_00089	Prap.g_01090
OG0000087	Prau.g_00140	Prap.g_01035
OG0000088	Prau.g_00167	Prap.g_01004
OG0000089	Prau.g_00358	Prap.g_01349
OG0000090	Prau.g_00573	Prap.g_01236
OG0000091	Prau.g_00682	Prap.g_00384
OG0000092	Prau.g_00961	Prap.g_00853
OG0000093	Prau.g_00983	Prap.g_00355
OG0000094	Prau.g_01070	Prap.g_00306
OG0000095	Prau.g_01089	Prap.g_00708
OG0000096	Prau.g_01156, Prau.g_01331	Prap.g_00010
OG0000097	Prau.g_01247	Prap.g_00410
OG0000098	Prau.g_01391	Prap.g_01928
OG0000099	Prau.g_01434, Prau.g_01435	Prap.g_00082
OG0000100	Prau.g_01605	Prap.g_00200
OG0000101	Prau.g_01869	Prap.g_01642
OG0000102	Prau.g_01930	Prap.g_01575
OG0000103	Prau.g_02009	Prap.g_01491
OG0000104	Prau.g_02018	Prap.g_01869
OG0000105	Prau.g_00276	Prap.g_01436
OG0000106	Prau.g_00373	Prap.g_00591
OG0000107	Prau.g_00389	Prap.g_01714
OG0000108	Prau.g_00521	Prap.g_01287
OG0000109	Prau.g_00535	Prap.g_01273
OG0000110	Prau.g_00614	Prap.g_01194
OG0000111	Prau.g_00739	Prap.g_00798
OG0000112	Prau.g_00818	Prap.g_01121
OG0000113	Prau.g_00876	Prap.g_00760
OG0000114	Prau.g_00956	Prap.g_00858
OG0000115	Prau.g_01148	Prap.g_00525
OG0000116	Prau.g_01197	Prap.g_00467
OG0000117	Prau.g_01318	Prap.g_00429
OG0000118	Prau.g_01383	Prap.g_00574
OG0000119	Prau.g_01405	Prap.g_00510, Prap.g_00218
OG0000120	Prau.g_01430	Prap.g_00079
OG0000121	Prau.g_01533	Prap.g_00123
OG0000122	Prau.g_01571	Prap.g_00532, Prap.g_00164
OG0000123	Prau.g_01876	Prap.g_01635
OG0000124	Prau.g_01941	Prap.g_01563
OG0000125	Prau.g_01978	Prap.g_01528
OG0000126	Prau.g_02017	Prap.g_01870
OG0000128	Prau.g_00011	Prap.g_00043
OG0000129	Prau.g_00051	Prap.g_00910
OG0000130	Prau.g_00071	Prap.g_00881
OG0000131	Prau.g_00146	Prap.g_01026
OG0000132	Prau.g_00165	Prap.g_01006
OG0000133	Prau.g_00324	Prap.g_01389
OG0000134	Prau.g_00359	Prap.g_01347
OG0000135	Prau.g_00386	Prap.g_00543
OG0000136	Prau.g_00482	Prap.g_01325
OG0000137	Prau.g_00516	Prap.g_01292
OG0000138	Prau.g_00536	Prap.g_01272
OG0000139	Prau.g_00577	Prap.g_01232
OG0000140	Prau.g_00578	Prap.g_01231
OG0000141	Prau.g_00645	Prap.g_01160
OG0000142	Prau.g_00675	Prap.g_00392
OG0000143	Prau.g_00679	Prap.g_00388
OG0000144	Prau.g_00692	Prap.g_00374
OG0000145	Prau.g_00816	Prap.g_00545
OG0000146	Prau.g_00819	Prap.g_01122
OG0000147	Prau.g_00820	Prap.g_01123
OG0000148	Prau.g_00870	Prap.g_00766
OG0000149	Prau.g_00900	Prap.g_00734
OG0000150	Prau.g_00909	Prap.g_00724
OG0000151	Prau.g_00966	Prap.g_00848
OG0000152	Prau.g_01015	Prap.g_00257
OG0000153	Prau.g_01034	Prap.g_00276
OG0000154	Prau.g_01063	Prap.g_00296
