Orthogroup	Prau	Praj
OG0000000	Prau.g_01352	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prau.g_01665	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730
OG0000000	Prau.g_01648	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prau.g_01266, Prau.g_01647	Praj.g_00087
OG0000001	Prau.g_01267, Prau.g_01269	Praj.g_01112
OG0000002	Prau.g_01402	Praj.g_00832
OG0000002	Prau.g_00718	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Prau.g_00735	Praj.g_01396
OG0000004	Prau.g_00233	Praj.g_00271
OG0000005	Prau.g_01745	Praj.g_01349
OG0000005	Prau.g_01607	Praj.g_01712
OG0000006	Prau.g_01316	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Prau.g_00538	Praj.g_00489
OG0000007	Prau.g_01732	Praj.g_01768
OG0000008	Prau.g_00781	Praj.g_01829
OG0000010	Prau.g_00515	Praj.g_01026, Praj.g_00466
OG0000011	Prau.g_00441	Praj.g_01187
OG0000011	Prau.g_01307, Prau.g_01335	Praj.g_01158
OG0000012	Prau.g_00663	Praj.g_01066
OG0000013	Prau.g_00329	Praj.g_00362
OG0000014	Prau.g_00308	Praj.g_00341
OG0000014	Prau.g_01470	Praj.g_01609
OG0000015	Prau.g_00817	Praj.g_01113
OG0000016	Prau.g_00013	Praj.g_00013
OG0000017	Prau.g_00636	Praj.g_00592
OG0000018	Prau.g_01188	Praj.g_01482
OG0000018	Prau.g_00881	Praj.g_00798
OG0000019	Prau.g_00834	Praj.g_00747
OG0000020	Prau.g_01153	Praj.g_01025
OG0000020	Prau.g_01704	Praj.g_01139
OG0000021	Prau.g_01680, Prau.g_00367	Praj.g_01859
OG0000022	Prau.g_00814	Praj.g_01189
OG0000022	Prau.g_01170	Praj.g_01216
OG0000023	Prau.g_00362	Praj.g_01365, Praj.g_01329
OG0000024	Prau.g_00796	Praj.g_01134
OG0000024	Prau.g_00715	Praj.g_00666
OG0000025	Prau.g_00888, Prau.g_00333	Praj.g_00805
OG0000026	Prau.g_00030, Prau.g_01103	Praj.g_00031
OG0000027	Prau.g_01353	Praj.g_01331
OG0000028	Prau.g_01338	Praj.g_01571
OG0000029	Prau.g_00804	Praj.g_01745
OG0000030	Prau.g_01935	Praj.g_02024
OG0000031	Prau.g_01431, Prau.g_01469	Praj.g_00371
OG0000033	Prau.g_00170	Praj.g_00209
OG0000034	Prau.g_01381	Praj.g_01538
OG0000035	Prau.g_01531, Prau.g_01528	Praj.g_01632
OG0000037	Prau.g_00110	Praj.g_00147
OG0000038	Prau.g_01976	Praj.g_02089
OG0000039	Prau.g_00726	Praj.g_00679
OG0000040	Prau.g_01662	Praj.g_01735
OG0000041	Prau.g_01778	Praj.g_01813
OG0000042	Prau.g_01932	Praj.g_02020
OG0000043	Prau.g_00926	Praj.g_00864
OG0000043	Prau.g_01321	Praj.g_01157
OG0000045	Prau.g_01682	Praj.g_01303
OG0000045	Prau.g_00374	Praj.g_01049
OG0000047	Prau.g_00414	Praj.g_00408
OG0000047	Prau.g_00332	Praj.g_00370
OG0000048	Prau.g_00377	Praj.g_00308
OG0000050	Prau.g_01123	Praj.g_00099
OG0000051	Prau.g_01275, Prau.g_01681	Praj.g_01347
OG0000053	Prau.g_00040, Prau.g_01551	Praj.g_01651
OG0000054	Prau.g_00644	Praj.g_00594
OG0000055	Prau.g_00835	Praj.g_00733
OG0000057	Prau.g_00738	Praj.g_00691, Praj.g_01313
OG0000058	Prau.g_01432, Prau.g_01460	Praj.g_00839
OG0000059	Prau.g_01818	Praj.g_01892
OG0000061	Prau.g_01206	Praj.g_01461
OG0000062	Prau.g_01609	Praj.g_01714
OG0000063	Prau.g_00032, Prau.g_01295	Praj.g_01867
OG0000065	Prau.g_00108	Praj.g_00145
OG0000066	Prau.g_00579	Praj.g_00530
OG0000067	Prau.g_00854	Praj.g_00769
OG0000068	Prau.g_01409	Praj.g_01575
OG0000069	Prau.g_01285, Prau.g_01642	Praj.g_01276, Praj.g_01675
OG0000070	Prau.g_00491	Praj.g_00444
OG0000071	Prau.g_01371	Praj.g_01528
OG0000072	Prau.g_00172	Praj.g_00211
OG0000073	Prau.g_00540	Praj.g_00491
OG0000074	Prau.g_00722	Praj.g_00674
OG0000075	Prau.g_01901	Praj.g_01987
OG0000076	Prau.g_00037, Prau.g_01925	Praj.g_02012
OG0000077	Prau.g_00079	Praj.g_00116
OG0000078	Prau.g_00240	Praj.g_00280
OG0000079	Prau.g_00254	Praj.g_00291
OG0000081	Prau.g_00571	Praj.g_00522
OG0000082	Prau.g_00624	Praj.g_01827
OG0000083	Prau.g_00792, Prau.g_00785	Praj.g_01121, Praj.g_00411
OG0000084	Prau.g_01524	Praj.g_01628
OG0000085	Prau.g_01725	Praj.g_01762
OG0000086	Prau.g_00089	Praj.g_00126
OG0000087	Prau.g_00140	Praj.g_00179
OG0000088	Prau.g_00167	Praj.g_00206
OG0000089	Prau.g_00358	Praj.g_00403
OG0000090	Prau.g_00573	Praj.g_00524
OG0000091	Prau.g_00682	Praj.g_00630
OG0000092	Prau.g_00961	Praj.g_00892
OG0000093	Prau.g_00983	Praj.g_00754
OG0000094	Prau.g_01070	Praj.g_00846
OG0000095	Prau.g_01089	Praj.g_01024
OG0000096	Prau.g_01156, Prau.g_01331	Praj.g_01249
OG0000097	Prau.g_01247	Praj.g_01416
OG0000098	Prau.g_01391	Praj.g_01546
OG0000099	Prau.g_01434, Prau.g_01435	Praj.g_00372
OG0000100	Prau.g_01605	Praj.g_01709
OG0000101	Prau.g_01869	Praj.g_01952
OG0000102	Prau.g_01930	Praj.g_02017
OG0000103	Prau.g_02009	Praj.g_02135
OG0000104	Prau.g_02018	Praj.g_02145
OG0000105	Prau.g_00276	Praj.g_00310
OG0000106	Prau.g_00373	Praj.g_01156, Praj.g_01282
OG0000107	Prau.g_00389	Praj.g_01869
OG0000108	Prau.g_00521	Praj.g_00473
OG0000109	Prau.g_00535	Praj.g_00486
OG0000110	Prau.g_00614	Praj.g_00565
OG0000111	Prau.g_00739	Praj.g_00692
OG0000112	Prau.g_00818	Praj.g_00938
OG0000113	Prau.g_00876	Praj.g_00793, Praj.g_01176
OG0000114	Prau.g_00956	Praj.g_00887
OG0000115	Prau.g_01148	Praj.g_01725
