Orthogroup	Prau	Prar
OG0000000	Prau.g_01352	Prar.g_00971
OG0000000	Prau.g_01665	Prar.g_00713
OG0000000	Prau.g_01648	Prar.g_00729
OG0000000	Prau.g_01266	Prar.g_01204
OG0000000	Prau.g_01647	Prar.g_01204
OG0000000	Prau.g_01350	Prar.g_00727
OG0000001	Prau.g_01394	Prar.g_00926
OG0000001	Prau.g_01267, Prau.g_01269	Prar.g_01202
OG0000002	Prau.g_01402	Prar.g_00918
OG0000002	Prau.g_00718	Prar.g_01508
OG0000004	Prau.g_00735	Prar.g_01525
OG0000004	Prau.g_00233	Prar.g_00095
OG0000005	Prau.g_01745	Prar.g_01130
OG0000005	Prau.g_01607	Prar.g_00771
OG0000006	Prau.g_01316	Prar.g_00086
OG0000007	Prau.g_00538	Prar.g_01328
OG0000007	Prau.g_01732	Prar.g_01143
OG0000008	Prau.g_00781	Prar.g_01185
OG0000008	Prau.g_00712	Prar.g_01502
OG0000009	Prau.g_01641	Prar.g_00737
OG0000009	Prau.g_00106	Prar.g_00223
OG0000010	Prau.g_01698	Prar.g_01567
OG0000010	Prau.g_01096	Prar.g_01912
OG0000010	Prau.g_00515	Prar.g_00524
OG0000011	Prau.g_00441	Prar.g_00978
OG0000011	Prau.g_01307, Prau.g_01335	Prar.g_00988
OG0000012	Prau.g_00663	Prar.g_01453
OG0000013	Prau.g_00329	Prar.g_00260
OG0000014	Prau.g_00308	Prar.g_00281
OG0000015	Prau.g_00817	Prar.g_01179
OG0000016	Prau.g_00013	Prar.g_00025
OG0000017	Prau.g_00636	Prar.g_01428
OG0000018	Prau.g_01188	Prar.g_01282
OG0000018	Prau.g_00881	Prar.g_01711
OG0000019	Prau.g_00251	Prar.g_00078
OG0000019	Prau.g_00834	Prar.g_01663
OG0000020	Prau.g_01153	Prar.g_01315
OG0000020	Prau.g_01704	Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Prau.g_00367	Prar.g_00425
OG0000022	Prau.g_00814	Prar.g_01649
OG0000022	Prau.g_01170	Prar.g_01300
OG0000023	Prau.g_00362	Prar.g_00420
OG0000024	Prau.g_00796	Prar.g_01634
OG0000024	Prau.g_00715	Prar.g_01505
OG0000025	Prau.g_00888	Prar.g_01718
OG0000025	Prau.g_00333	Prar.g_00256
OG0000026	Prau.g_00030	Prar.g_00007
OG0000026	Prau.g_01103	Prar.g_01919
OG0000028	Prau.g_00322	Prar.g_00267
OG0000028	Prau.g_01338	Prar.g_00985
OG0000029	Prau.g_00378	Prar.g_00436
OG0000030	Prau.g_01935	Prar.g_00662
OG0000031	Prau.g_01431, Prau.g_01469	Prar.g_00879
OG0000032	Prau.g_01475, Prau.g_01446	Prar.g_00886
OG0000033	Prau.g_00170	Prar.g_00158
OG0000034	Prau.g_01381	Prar.g_00945
OG0000035	Prau.g_01531, Prau.g_01528	Prar.g_00339
OG0000037	Prau.g_00110	Prar.g_00219
OG0000038	Prau.g_01976	Prar.g_00702
OG0000039	Prau.g_00726	Prar.g_01516
OG0000040	Prau.g_01662	Prar.g_00715
OG0000040	Prau.g_01187	Prar.g_01283
OG0000041	Prau.g_01778	Prar.g_00602
OG0000042	Prau.g_01932	Prar.g_00660
OG0000043	Prau.g_00926	Prar.g_01755
OG0000045	Prau.g_01682	Prar.g_01583
OG0000045	Prau.g_00374	Prar.g_00432
OG0000047	Prau.g_00414	Prar.g_00468
OG0000047	Prau.g_00332	Prar.g_00257
OG0000048	Prau.g_00377	Prar.g_00435
OG0000049	Prau.g_00387	Prar.g_00445
OG0000049	Prau.g_01319	Prar.g_01002
OG0000049	Prau.g_01303	Prar.g_01160
OG0000050	Prau.g_01123	Prar.g_01940
OG0000053	Prau.g_00040	Prar.g_00589
OG0000053	Prau.g_01551	Prar.g_00827
OG0000054	Prau.g_00644	Prar.g_01436
OG0000055	Prau.g_00835	Prar.g_01664
OG0000057	Prau.g_00738	Prar.g_01528
OG0000058	Prau.g_01432, Prau.g_01460	Prar.g_00362
OG0000059	Prau.g_01818	Prar.g_01090
OG0000061	Prau.g_01206	Prar.g_01263
OG0000062	Prau.g_01609	Prar.g_00769
OG0000063	Prau.g_00032	Prar.g_00004
OG0000063	Prau.g_01295	Prar.g_01189
OG0000065	Prau.g_00108	Prar.g_00221
OG0000066	Prau.g_00579	Prar.g_01369
OG0000068	Prau.g_01409	Prar.g_00911
OG0000069	Prau.g_01285	Prar.g_01170
OG0000069	Prau.g_01642	Prar.g_00736
OG0000070	Prau.g_00491	Prar.g_00498
OG0000071	Prau.g_01371	Prar.g_00955
OG0000072	Prau.g_00172	Prar.g_00156
OG0000073	Prau.g_00540	Prar.g_01330
OG0000074	Prau.g_00722	Prar.g_01512
OG0000075	Prau.g_01901	Prar.g_00629
OG0000076	Prau.g_00037	Prar.g_00592
OG0000076	Prau.g_01925	Prar.g_00653
OG0000077	Prau.g_00079	Prar.g_00250
OG0000078	Prau.g_00240	Prar.g_00088
OG0000081	Prau.g_00571	Prar.g_01361
OG0000082	Prau.g_00624	Prar.g_01414
OG0000083	Prau.g_00792	Prar.g_01630
OG0000083	Prau.g_00785	Prar.g_01623
OG0000084	Prau.g_01524	Prar.g_00343
OG0000085	Prau.g_01725	Prar.g_01150
OG0000086	Prau.g_00089	Prar.g_00240
OG0000087	Prau.g_00140	Prar.g_00189
OG0000088	Prau.g_00167	Prar.g_00161
OG0000089	Prau.g_00358	Prar.g_00416
OG0000090	Prau.g_00573	Prar.g_01363
OG0000091	Prau.g_00682	Prar.g_01472
OG0000092	Prau.g_00961	Prar.g_01781
OG0000092	Prau.g_00052	Prar.g_00615
OG0000093	Prau.g_00983	Prar.g_01801
OG0000094	Prau.g_01070	Prar.g_01885
OG0000095	Prau.g_01089	Prar.g_01904
OG0000096	Prau.g_01156	Prar.g_01313
OG0000096	Prau.g_01331	Prar.g_00991
OG0000097	Prau.g_01247	Prar.g_01222
OG0000098	Prau.g_01391	Prar.g_00929
OG0000099	Prau.g_01434, Prau.g_01435	Prar.g_00872
OG0000100	Prau.g_01605	Prar.g_00773
OG0000101	Prau.g_01869	Prar.g_01027
OG0000102	Prau.g_01930	Prar.g_00658
OG0000103	Prau.g_02009	Prar.g_00050
OG0000104	Prau.g_02018	Prar.g_00042
OG0000105	Prau.g_00276	Prar.g_00313
OG0000106	Prau.g_00373	Prar.g_00431
OG0000107	Prau.g_00389	Prar.g_00446
OG0000108	Prau.g_00521	Prar.g_00530
OG0000109	Prau.g_00535	Prar.g_00544
OG0000110	Prau.g_00614	Prar.g_01404
OG0000111	Prau.g_00739	Prar.g_01529
OG0000112	Prau.g_00818	Prar.g_01652
OG0000113	Prau.g_00876	Prar.g_01706
OG0000114	Prau.g_00956	Prar.g_01776
OG0000115	Prau.g_01148	Prar.g_01318
OG0000116	Prau.g_01197	Prar.g_01273
OG0000117	Prau.g_01318	Prar.g_01003
OG0000118	Prau.g_01383	Prar.g_00943
OG0000119	Prau.g_01405	Prar.g_00915
OG0000120	Prau.g_01430	Prar.g_00880
OG0000121	Prau.g_01533	Prar.g_00337
OG0000122	Prau.g_01571	Prar.g_00807
OG0000123	Prau.g_01876	Prar.g_01021
OG0000124	Prau.g_01941	Prar.g_00668
OG0000125	Prau.g_01978	Prar.g_00704
OG0000126	Prau.g_02017	Prar.g_00043
OG0000128	Prau.g_00011	Prar.g_00027
OG0000129	Prau.g_00051	Prar.g_00576
OG0000130	Prau.g_00071	Prar.g_00549
OG0000131	Prau.g_00146	Prar.g_00182
OG0000132	Prau.g_00165	Prar.g_00163
OG0000133	Prau.g_00324	Prar.g_00265
OG0000134	Prau.g_00359	Prar.g_00417
OG0000135	Prau.g_00386	Prar.g_00444
OG0000136	Prau.g_00482	Prar.g_00489
OG0000137	Prau.g_00516	Prar.g_00525
OG0000138	Prau.g_00536	Prar.g_00545
OG0000139	Prau.g_00577	Prar.g_01367
OG0000140	Prau.g_00578	Prar.g_01368
OG0000141	Prau.g_00645	Prar.g_01437
OG0000142	Prau.g_00675	Prar.g_01465
OG0000143	Prau.g_00679	Prar.g_01469
OG0000144	Prau.g_00692	Prar.g_01482
OG0000145	Prau.g_00816	Prar.g_01651
OG0000146	Prau.g_00819	Prar.g_01653
OG0000147	Prau.g_00820	Prar.g_01654
OG0000148	Prau.g_00870	Prar.g_01700
OG0000149	Prau.g_00900	Prar.g_01730
OG0000150	Prau.g_00909	Prar.g_01738
OG0000151	Prau.g_00966	Prar.g_01786
OG0000152	Prau.g_01015	Prar.g_01833
OG0000153	Prau.g_01034	Prar.g_01852
OG0000154	Prau.g_01063	Prar.g_01878
OG0000155	Prau.g_01226	Prar.g_01243
OG0000156	Prau.g_01359	Prar.g_00966
OG0000157	Prau.g_01360	Prar.g_00965
OG0000158	Prau.g_01436	Prar.g_00375
OG0000159	Prau.g_01457	Prar.g_00380
OG0000160	Prau.g_01532	Prar.g_00338
OG0000161	Prau.g_01538	Prar.g_00840
OG0000162	Prau.g_01544	Prar.g_00834
OG0000163	Prau.g_01578	Prar.g_00800
OG0000164	Prau.g_01756	Prar.g_01964
OG0000165	Prau.g_01763	Prar.g_01971
OG0000166	Prau.g_01833	Prar.g_01063
OG0000167	Prau.g_01899	Prar.g_00627
OG0000168	Prau.g_01909	Prar.g_00637
OG0000169	Prau.g_01919	Prar.g_00647
OG0000170	Prau.g_01921	Prar.g_00649
OG0000171	Prau.g_01940	Prar.g_00667
OG0000172	Prau.g_01949	Prar.g_00675
OG0000173	Prau.g_01964	Prar.g_00690
OG0000174	Prau.g_01991	Prar.g_00068
OG0000175	Prau.g_02001	Prar.g_00058
OG0000176	Prau.g_00004	Prar.g_00034
OG0000177	Prau.g_00005	Prar.g_00033
OG0000178	Prau.g_00006	Prar.g_00032
OG0000179	Prau.g_00016	Prar.g_00022
OG0000180	Prau.g_00017	Prar.g_00021
OG0000181	Prau.g_00018	Prar.g_00020
OG0000182	Prau.g_00019	Prar.g_00019
OG0000183	Prau.g_00023	Prar.g_00015
OG0000184	Prau.g_00054	Prar.g_00573
OG0000185	Prau.g_00057	Prar.g_00570
OG0000186	Prau.g_00066	Prar.g_00554
OG0000187	Prau.g_00067	Prar.g_00553
OG0000188	Prau.g_00083	Prar.g_00246
OG0000189	Prau.g_00097	Prar.g_00232
OG0000190	Prau.g_00098	Prar.g_00231
OG0000191	Prau.g_00118	Prar.g_00211
OG0000192	Prau.g_00122	Prar.g_00207
OG0000193	Prau.g_00147	Prar.g_00181
OG0000194	Prau.g_00150	Prar.g_00178
OG0000195	Prau.g_00152	Prar.g_00176
OG0000196	Prau.g_00162	Prar.g_00166
OG0000197	Prau.g_00163	Prar.g_00165
OG0000198	Prau.g_00164	Prar.g_00164
OG0000199	Prau.g_00171	Prar.g_00157
OG0000200	Prau.g_00185	Prar.g_00143
OG0000201	Prau.g_00193	Prar.g_00135
OG0000202	Prau.g_00194	Prar.g_00134
OG0000203	Prau.g_00195	Prar.g_00133
OG0000204	Prau.g_00196	Prar.g_00132
OG0000205	Prau.g_00203	Prar.g_00125
OG0000206	Prau.g_00208	Prar.g_00120
OG0000207	Prau.g_00210	Prar.g_00118
OG0000208	Prau.g_00211	Prar.g_00117
OG0000209	Prau.g_00220	Prar.g_00108
OG0000210	Prau.g_00221	Prar.g_00107
OG0000211	Prau.g_00234	Prar.g_00094
OG0000212	Prau.g_00241	Prar.g_00087
OG0000213	Prau.g_00259	Prar.g_00330
OG0000214	Prau.g_00269	Prar.g_00320
OG0000215	Prau.g_00294	Prar.g_00295
OG0000216	Prau.g_00296	Prar.g_00293
OG0000217	Prau.g_00299	Prar.g_00290
OG0000218	Prau.g_00301	Prar.g_00288
OG0000219	Prau.g_00302	Prar.g_00287
OG0000220	Prau.g_00303	Prar.g_00286
OG0000221	Prau.g_00304	Prar.g_00285
OG0000222	Prau.g_00312	Prar.g_00277
OG0000223	Prau.g_00325	Prar.g_00264
OG0000224	Prau.g_00327	Prar.g_00262
OG0000225	Prau.g_00348	Prar.g_00406
OG0000226	Prau.g_00352	Prar.g_00410
OG0000227	Prau.g_00354	Prar.g_00412
OG0000228	Prau.g_00357	Prar.g_00415
OG0000229	Prau.g_00477	Prar.g_00484
OG0000230	Prau.g_00479	Prar.g_00486
OG0000231	Prau.g_00490	Prar.g_00497
OG0000232	Prau.g_00499	Prar.g_00506
OG0000233	Prau.g_00505	Prar.g_00512
OG0000234	Prau.g_00517	Prar.g_00526
OG0000235	Prau.g_00520	Prar.g_00529
OG0000236	Prau.g_00534	Prar.g_00543
OG0000237	Prau.g_00547	Prar.g_01337
OG0000238	Prau.g_00553	Prar.g_01343
OG0000239	Prau.g_00565	Prar.g_01355
OG0000240	Prau.g_00566	Prar.g_01356
OG0000241	Prau.g_00570	Prar.g_01360
OG0000242	Prau.g_00572	Prar.g_01362
OG0000243	Prau.g_00583	Prar.g_01373
OG0000244	Prau.g_00586	Prar.g_01376
OG0000245	Prau.g_00588	Prar.g_01378
OG0000246	Prau.g_00592	Prar.g_01382
OG0000247	Prau.g_00602	Prar.g_01392
OG0000248	Prau.g_00604	Prar.g_01394
OG0000249	Prau.g_00606	Prar.g_01396
OG0000250	Prau.g_00611	Prar.g_01401
OG0000251	Prau.g_00629	Prar.g_01420
OG0000252	Prau.g_00632	Prar.g_01424
OG0000253	Prau.g_00633	Prar.g_01425
OG0000254	Prau.g_00649	Prar.g_01441
OG0000255	Prau.g_00655	Prar.g_01447
OG0000256	Prau.g_00667	Prar.g_01457
OG0000257	Prau.g_00670	Prar.g_01460
OG0000258	Prau.g_00683	Prar.g_01473
OG0000259	Prau.g_00700	Prar.g_01490
OG0000260	Prau.g_00703	Prar.g_01493
OG0000261	Prau.g_00705	Prar.g_01495
OG0000262	Prau.g_00709	Prar.g_01499
OG0000263	Prau.g_00721	Prar.g_01511
OG0000264	Prau.g_00731	Prar.g_01521
OG0000265	Prau.g_00755	Prar.g_01599
OG0000266	Prau.g_00765	Prar.g_01609
OG0000267	Prau.g_00776	Prar.g_01620
OG0000268	Prau.g_00777	Prar.g_01621
OG0000269	Prau.g_00849	Prar.g_01679
OG0000270	Prau.g_00852	Prar.g_01682
OG0000271	Prau.g_00860	Prar.g_01690
OG0000272	Prau.g_00861	Prar.g_01691
OG0000273	Prau.g_00884	Prar.g_01714
OG0000274	Prau.g_00885	Prar.g_01715
OG0000275	Prau.g_00887	Prar.g_01717
OG0000276	Prau.g_00892	Prar.g_01722
OG0000277	Prau.g_00893	Prar.g_01723
