Orthogroup	Prau	Syaf
OG0000001	Prau.g_01394, Prau.g_01267, Prau.g_01269	Syaf.g_01640
OG0000004	Prau.g_00735	Syaf.g_01455
OG0000004	Prau.g_00233	Syaf.g_02351, Syaf.g_02794
OG0000005	Prau.g_01745	Syaf.g_01017
OG0000005	Prau.g_01607	Syaf.g_01057
OG0000006	Prau.g_01316	Syaf.g_00179, Syaf.g_02778
OG0000007	Prau.g_00538	Syaf.g_02702
OG0000007	Prau.g_01732	Syaf.g_01033
OG0000008	Prau.g_00781	Syaf.g_01479
OG0000009	Prau.g_00106	Syaf.g_00905
OG0000010	Prau.g_01698, Prau.g_01096, Prau.g_00515	Syaf.g_02499
OG0000011	Prau.g_00441	Syaf.g_01532
OG0000012	Prau.g_00663	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000013	Prau.g_00329	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056
OG0000014	Prau.g_00308	Syaf.g_00280
OG0000015	Prau.g_00817	Syaf.g_02120, Syaf.g_02121
OG0000016	Prau.g_00013	Syaf.g_00484
OG0000017	Prau.g_00636	Syaf.g_02561
OG0000018	Prau.g_01188, Prau.g_00881	Syaf.g_02451
OG0000019	Prau.g_00251, Prau.g_00834	Syaf.g_00193
OG0000020	Prau.g_01153, Prau.g_01704	Syaf.g_02187
OG0000021	Prau.g_01680, Prau.g_00367	Syaf.g_01726
OG0000022	Prau.g_00814, Prau.g_01170	Syaf.g_02256
OG0000023	Prau.g_00362	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prau.g_00796, Prau.g_00715	Syaf.g_01484
OG0000025	Prau.g_00888, Prau.g_00333	Syaf.g_01385
OG0000026	Prau.g_00030, Prau.g_01103	Syaf.g_00461
OG0000027	Prau.g_01353	Syaf.g_02284, Syaf.g_01688
OG0000028	Prau.g_00322, Prau.g_01338	Syaf.g_00297
OG0000029	Prau.g_00378, Prau.g_00804	Syaf.g_01761
OG0000030	Prau.g_01935	Syaf.g_00406, Syaf.g_00407
OG0000031	Prau.g_01431, Prau.g_01469	Syaf.g_01143
OG0000033	Prau.g_00170	Syaf.g_00807
