Orthogroup	Prau	Syak
OG0000001	Prau.g_01394, Prau.g_01267, Prau.g_01269	Syak.g_00342
OG0000004	Prau.g_00735	Syak.g_01219, Syak.g_00720
OG0000004	Prau.g_00233	Syak.g_00003, Syak.g_02297
OG0000005	Prau.g_01745	Syak.g_02401
OG0000005	Prau.g_01607	Syak.g_00885, Syak.g_02436
OG0000006	Prau.g_01316	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prau.g_00538	Syak.g_02595
OG0000007	Prau.g_01732	Syak.g_02416
OG0000008	Prau.g_00781	Syak.g_00267
OG0000009	Prau.g_00106	Syak.g_02194
OG0000010	Prau.g_01698, Prau.g_01096, Prau.g_00515	Syak.g_01119
OG0000012	Prau.g_00663	Syak.g_00010
OG0000013	Prau.g_00329	Syak.g_01275, Syak.g_01270
OG0000014	Prau.g_00308	Syak.g_01505
OG0000014	Prau.g_01470	Syak.g_01582
OG0000015	Prau.g_00817	Syak.g_00358
OG0000016	Prau.g_00013	Syak.g_01780
OG0000017	Prau.g_00636	Syak.g_02730
OG0000018	Prau.g_01188, Prau.g_00881	Syak.g_01072
OG0000019	Prau.g_00251, Prau.g_00834	Syak.g_01413
OG0000021	Prau.g_01680, Prau.g_00367	Syak.g_00566
OG0000022	Prau.g_00814, Prau.g_01170	Syak.g_00088
OG0000023	Prau.g_00362	Syak.g_00316, Syak.g_00223
OG0000025	Prau.g_00888, Prau.g_00333	Syak.g_00610
OG0000026	Prau.g_00030, Prau.g_01103	Syak.g_01757
OG0000027	Prau.g_01353	Syak.g_00127
OG0000028	Prau.g_00322, Prau.g_01338	Syak.g_01522
OG0000029	Prau.g_00378, Prau.g_00804	Syak.g_00169, Syak.g_00178
OG0000030	Prau.g_01935	Syak.g_01684, Syak.g_01685
OG0000031	Prau.g_01431, Prau.g_01469	Syak.g_01630
OG0000032	Prau.g_01475, Prau.g_01446	Syak.g_01707
OG0000033	Prau.g_01465, Prau.g_00170	Syak.g_02101
OG0000034	Prau.g_01381	Syak.g_00950, Syak.g_02133
OG0000035	Prau.g_01531, Prau.g_01528	Syak.g_01041
OG0000037	Prau.g_00110	Syak.g_02188
OG0000038	Prau.g_01976	Syak.g_01938, Syak.g_01936
OG0000039	Prau.g_00726	Syak.g_00772, Syak.g_01918
OG0000041	Prau.g_01778	Syak.g_02354
OG0000042	Prau.g_01932	Syak.g_00843, Syak.g_01681
OG0000043	Prau.g_00926	Syak.g_00335
OG0000045	Prau.g_01682	Syak.g_00317
OG0000045	Prau.g_00374	Syak.g_00228
OG0000047	Prau.g_00414, Prau.g_00332	Syak.g_01147
OG0000048	Prau.g_00377	Syak.g_01446
OG0000052	Prau.g_01489, Prau.g_01448	Syak.g_01549
OG0000053	Prau.g_00040, Prau.g_01551	Syak.g_01068
