Orthogroup	Prau	Syal
OG0000000	Prau.g_01352, Prau.g_01300, Prau.g_01665, Prau.g_01648, Prau.g_01266, Prau.g_01647, Prau.g_01350, Prau.g_01650	Syal.g_01111, Syal.g_01832
OG0000001	Prau.g_01394, Prau.g_01267, Prau.g_01269	Syal.g_02193
OG0000004	Prau.g_00735	Syal.g_01809
OG0000004	Prau.g_00233	Syal.g_02718, Syal.g_00691
OG0000005	Prau.g_01745	Syal.g_00606
OG0000005	Prau.g_01607	Syal.g_00565
OG0000006	Prau.g_01316	Syal.g_00674
OG0000007	Prau.g_00538	Syal.g_02918
OG0000007	Prau.g_01732	Syal.g_00587
OG0000008	Prau.g_00781	Syal.g_02512
OG0000009	Prau.g_01324, Prau.g_01641	Syal.g_02089
OG0000009	Prau.g_00106	Syal.g_00818
OG0000010	Prau.g_01698, Prau.g_01096, Prau.g_00515	Syal.g_00464
OG0000012	Prau.g_00663	Syal.g_02535, Syal.g_01639
OG0000013	Prau.g_00329	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Prau.g_00308	Syal.g_01305
OG0000016	Prau.g_00013	Syal.g_00111
OG0000017	Prau.g_00636	Syal.g_02752
OG0000018	Prau.g_01188, Prau.g_00881	Syal.g_00410
OG0000019	Prau.g_00251, Prau.g_00834	Syal.g_01209
OG0000022	Prau.g_00814, Prau.g_01170	Syal.g_02587
OG0000023	Prau.g_00362	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prau.g_00796, Prau.g_00715	Syal.g_02597
OG0000025	Prau.g_00888, Prau.g_00333	Syal.g_02459
OG0000026	Prau.g_00030, Prau.g_01103	Syal.g_00132
OG0000027	Prau.g_01353	Syal.g_02543
OG0000028	Prau.g_00322, Prau.g_01338	Syal.g_01319
OG0000029	Prau.g_00378, Prau.g_00804	Syal.g_03014
OG0000030	Prau.g_01935	Syal.g_01511, Syal.g_01512
OG0000032	Prau.g_01475, Prau.g_01446	Syal.g_00183
OG0000033	Prau.g_00170	Syal.g_00912
OG0000034	Prau.g_01381	Syal.g_00881, Syal.g_01586
OG0000035	Prau.g_01531, Prau.g_01528	Syal.g_00370
OG0000037	Prau.g_00110	Syal.g_00824
OG0000038	Prau.g_01976	Syal.g_01071, Syal.g_01073
OG0000039	Prau.g_00726	Syal.g_01097
OG0000040	Prau.g_01662	Syal.g_01187
OG0000041	Prau.g_01778	Syal.g_00649
OG0000042	Prau.g_01932	Syal.g_01705, Syal.g_01508
OG0000043	Prau.g_00926	Syal.g_02183
OG0000043	Prau.g_01321	Syal.g_02547
OG0000045	Prau.g_01682	Syal.g_01563
OG0000047	Prau.g_00414, Prau.g_00332	Syal.g_01568
OG0000048	Prau.g_00377	Syal.g_01250
OG0000051	Prau.g_01347	Syal.g_01550
OG0000052	Prau.g_01489, Prau.g_01448	Syal.g_01338
OG0000053	Prau.g_00040, Prau.g_01551	Syal.g_00406
OG0000054	Prau.g_00644	Syal.g_02739
OG0000055	Prau.g_00835	Syal.g_01845
OG0000057	Prau.g_00738	Syal.g_01812
OG0000058	Prau.g_01432, Prau.g_01460	Syal.g_01326
OG0000059	Prau.g_01818	Syal.g_00225
OG0000061	Prau.g_01206	Syal.g_01653
OG0000062	Prau.g_01609	Syal.g_02113
OG0000063	Prau.g_00032, Prau.g_01295	Syal.g_00136
OG0000065	Prau.g_00108	Syal.g_00820, Syal.g_02528
OG0000066	Prau.g_00579	Syal.g_02828
OG0000067	Prau.g_00854	Syal.g_02414
OG0000068	Prau.g_01409	Syal.g_02888
OG0000070	Prau.g_00491	Syal.g_00509
OG0000071	Prau.g_01371	Syal.g_01601
OG0000072	Prau.g_00172	Syal.g_00914
OG0000073	Prau.g_00540	Syal.g_02920
OG0000075	Prau.g_01901	Syal.g_01350
OG0000076	Prau.g_00037, Prau.g_01925	Syal.g_01459
OG0000077	Prau.g_00079	Syal.g_00763
OG0000078	Prau.g_00240	Syal.g_00680
OG0000079	Prau.g_00254	Syal.g_01213
OG0000080	Prau.g_01440	Syal.g_01394
OG0000081	Prau.g_00571	Syal.g_02555
OG0000082	Prau.g_00624	Syal.g_02769
OG0000084	Prau.g_01524	Syal.g_00023
OG0000085	Prau.g_01725	Syal.g_00575
OG0000086	Prau.g_00089	Syal.g_00784
OG0000087	Prau.g_00140	Syal.g_00871
OG0000088	Prau.g_00167	Syal.g_00908
OG0000089	Prau.g_00358	Syal.g_00555
OG0000090	Prau.g_00573	Syal.g_02838
OG0000091	Prau.g_00682	Syal.g_02628
OG0000092	Prau.g_00451, Prau.g_00961, Prau.g_00052	Syal.g_00470
OG0000094	Prau.g_01070	Syal.g_01907
OG0000097	Prau.g_01247	Syal.g_01735, Syal.g_01553
OG0000098	Prau.g_01391	Syal.g_02196
OG0000099	Prau.g_01434, Prau.g_01435	Syal.g_01323
OG0000100	Prau.g_01605	Syal.g_02448
OG0000101	Prau.g_01869	Syal.g_00275
OG0000102	Prau.g_01930	Syal.g_01488
OG0000103	Prau.g_02009	Syal.g_01897, Syal.g_00077
OG0000104	Prau.g_02018	Syal.g_00092
OG0000105	Prau.g_00276	Syal.g_01255
OG0000106	Prau.g_00373	Syal.g_02577
OG0000107	Prau.g_00389	Syal.g_00194
OG0000108	Prau.g_00521	Syal.g_02897
OG0000109	Prau.g_00535	Syal.g_02913
OG0000110	Prau.g_00614	Syal.g_02782
OG0000111	Prau.g_00739	Syal.g_01813
OG0000112	Prau.g_00818	Syal.g_02000
OG0000113	Prau.g_00876	Syal.g_02443
OG0000114	Prau.g_00956	Syal.g_02286
OG0000115	Prau.g_01148	Syal.g_00404
OG0000116	Prau.g_01197	Syal.g_01630
OG0000117	Prau.g_01318	Syal.g_01704
OG0000118	Prau.g_01383	Syal.g_01583
