Orthogroup	Prau	Syao
OG0000001	Prau.g_01394, Prau.g_01267, Prau.g_01269	Syao.g_00314
OG0000004	Prau.g_00735	Syao.g_02374
OG0000004	Prau.g_00233	Syao.g_01271, Syao.g_01007
OG0000005	Prau.g_01745	Syao.g_01680
OG0000005	Prau.g_01607	Syao.g_01578
OG0000006	Prau.g_01316	Syao.g_01518
OG0000007	Prau.g_00538	Syao.g_00105
OG0000007	Prau.g_01732	Syao.g_01554
OG0000009	Prau.g_00106	Syao.g_02598
OG0000010	Prau.g_01698, Prau.g_01096, Prau.g_00515	Syao.g_02683
OG0000011	Prau.g_00441, Prau.g_01307, Prau.g_01335	Syao.g_01282
OG0000012	Prau.g_00663	Syao.g_01193
OG0000013	Prau.g_00329	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Prau.g_00308	Syao.g_02027
OG0000015	Prau.g_00817	Syao.g_00302
OG0000016	Prau.g_00013	Syao.g_01955
OG0000017	Prau.g_00636	Syao.g_00997
OG0000018	Prau.g_01188, Prau.g_00881	Syao.g_00071
OG0000019	Prau.g_00251, Prau.g_00834	Syao.g_02108
OG0000021	Prau.g_01680, Prau.g_00367	Syao.g_01002
OG0000022	Prau.g_00814, Prau.g_01170	Syao.g_01218
OG0000023	Prau.g_00362	Syao.g_01266
OG0000025	Prau.g_00888, Prau.g_00333	Syao.g_00436, Syao.g_00437
OG0000026	Prau.g_00030, Prau.g_01103	Syao.g_02234
OG0000027	Prau.g_01353	Syao.g_00202
OG0000028	Prau.g_00322, Prau.g_01338	Syao.g_02012
OG0000030	Prau.g_01935	Syao.g_02189, Syao.g_02188
OG0000031	Prau.g_01431, Prau.g_01469	Syao.g_01083
OG0000032	Prau.g_01475, Prau.g_01446	Syao.g_01984, Syao.g_01983
OG0000033	Prau.g_01465, Prau.g_00170	Syao.g_02507
OG0000035	Prau.g_01531, Prau.g_01528	Syao.g_01486
OG0000037	Prau.g_00110	Syao.g_00374
OG0000038	Prau.g_01976	Syao.g_02440, Syao.g_02442
OG0000039	Prau.g_00726	Syao.g_00704
OG0000042	Prau.g_01932	Syao.g_00019, Syao.g_01941
OG0000045	Prau.g_00374	Syao.g_01214, Syao.g_00148
OG0000047	Prau.g_00414, Prau.g_00332	Syao.g_01899
OG0000048	Prau.g_00377	Syao.g_02077
OG0000051	Prau.g_01347, Prau.g_01275, Prau.g_01681	Syao.g_01261
OG0000052	Prau.g_01489	Syao.g_01085
OG0000053	Prau.g_00040, Prau.g_01551	Syao.g_00067
OG0000058	Prau.g_01432, Prau.g_01460	Syao.g_01080
OG0000059	Prau.g_01818	Syao.g_01959
OG0000061	Prau.g_01206	Syao.g_00123
OG0000063	Prau.g_00032, Prau.g_01295	Syao.g_02230
OG0000065	Prau.g_00108	Syao.g_02600
OG0000066	Prau.g_00579	Syao.g_01422
OG0000067	Prau.g_00854	Syao.g_00756
OG0000068	Prau.g_01409	Syao.g_00868, Syao.g_00036
OG0000069	Prau.g_01285, Prau.g_01642	Syao.g_00313
OG0000070	Prau.g_00491	Syao.g_00330
OG0000071	Prau.g_01371	Syao.g_01433
OG0000072	Prau.g_00172	Syao.g_02509, Syao.g_01749
OG0000073	Prau.g_00540	Syao.g_00103
OG0000075	Prau.g_01901	Syao.g_02257
OG0000076	Prau.g_00037, Prau.g_01925	Syao.g_01949
OG0000079	Prau.g_00254	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Prau.g_00624	Syao.g_01035
OG0000084	Prau.g_01524	Syao.g_02606
OG0000085	Prau.g_01725	Syao.g_01569
OG0000086	Prau.g_00089	Syao.g_02653, Syao.g_01240
OG0000087	Prau.g_00140	Syao.g_02555
OG0000088	Prau.g_00167	Syao.g_02503
OG0000089	Prau.g_00358	Syao.g_01716
OG0000090	Prau.g_00573	Syao.g_01412
OG0000091	Prau.g_00682	Syao.g_00902
OG0000092	Prau.g_00451, Prau.g_00961, Prau.g_00052	Syao.g_00656
OG0000094	Prau.g_01070	Syao.g_00458
OG0000097	Prau.g_01247	Syao.g_00973
OG0000098	Prau.g_01391	Syao.g_01374
OG0000099	Prau.g_01434, Prau.g_01435	Syao.g_02019
OG0000100	Prau.g_01605	Syao.g_00787
OG0000101	Prau.g_01869	Syao.g_01840
OG0000102	Prau.g_01930	Syao.g_01945
OG0000103	Prau.g_02009	Syao.g_02340
OG0000104	Prau.g_02018	Syao.g_02157
OG0000105	Prau.g_00276	Syao.g_02071, Syao.g_02072
OG0000106	Prau.g_00373	Syao.g_01385
OG0000107	Prau.g_00389	Syao.g_01935
OG0000108	Prau.g_00521	Syao.g_00028
OG0000109	Prau.g_00535	Syao.g_00110
OG0000110	Prau.g_00614	Syao.g_01051
OG0000111	Prau.g_00739	Syao.g_00378
OG0000112	Prau.g_00818	Syao.g_00683, Syao.g_00303
OG0000113	Prau.g_00876	Syao.g_00782
OG0000114	Prau.g_00956	Syao.g_00965
OG0000115	Prau.g_01148	Syao.g_00065, Syao.g_01464
OG0000116	Prau.g_01197	Syao.g_00137
OG0000117	Prau.g_01318	Syao.g_00169
OG0000118	Prau.g_01383	Syao.g_01475
OG0000120	Prau.g_01430	Syao.g_02009
OG0000121	Prau.g_01533	Syao.g_01489
OG0000122	Prau.g_01571	Syao.g_01247
OG0000123	Prau.g_01876	Syao.g_01832
OG0000124	Prau.g_01941	Syao.g_02179
OG0000125	Prau.g_01978	Syao.g_02444
OG0000126	Prau.g_02017	Syao.g_02198
OG0000127	Prau.g_01292	Syao.g_01143
OG0000128	Prau.g_00011	Syao.g_02149
OG0000129	Prau.g_00051	Syao.g_02434
OG0000130	Prau.g_00071	Syao.g_02617
OG0000131	Prau.g_00146	Syao.g_02480
OG0000132	Prau.g_00165	Syao.g_02501
OG0000133	Prau.g_00324	Syao.g_00678
OG0000134	Prau.g_00359	Syao.g_01719
OG0000135	Prau.g_00386	Syao.g_00147
OG0000136	Prau.g_00482	Syao.g_01614, Syao.g_01613
OG0000137	Prau.g_00516	Syao.g_02682
OG0000138	Prau.g_00536	Syao.g_00108
OG0000139	Prau.g_00577	Syao.g_02005
OG0000140	Prau.g_00578	Syao.g_01373, Syao.g_01372
OG0000141	Prau.g_00645	Syao.g_01202
OG0000142	Prau.g_00675	Syao.g_00894
OG0000143	Prau.g_00679	Syao.g_00898
OG0000145	Prau.g_00816	Syao.g_00102
OG0000146	Prau.g_00819	Syao.g_00684, Syao.g_00304
OG0000147	Prau.g_00820	Syao.g_00305, Syao.g_00685
OG0000148	Prau.g_00870	Syao.g_00776
OG0000149	Prau.g_00900	Syao.g_00534
OG0000150	Prau.g_00909	Syao.g_01203
OG0000151	Prau.g_00966	Syao.g_00975
OG0000152	Prau.g_01015	Syao.g_00674
OG0000153	Prau.g_01034	Syao.g_00818, Syao.g_01176
OG0000154	Prau.g_01063	Syao.g_00447
OG0000155	Prau.g_01226	Syao.g_00178
OG0000156	Prau.g_01359	Syao.g_00151
OG0000157	Prau.g_01360	Syao.g_00152
OG0000158	Prau.g_01436	Syao.g_02267
OG0000159	Prau.g_01457	Syao.g_02276
OG0000160	Prau.g_01532	Syao.g_01488
OG0000161	Prau.g_01538	Syao.g_01494
OG0000162	Prau.g_01544	Syao.g_01515
OG0000163	Prau.g_01578	Syao.g_01745
OG0000164	Prau.g_01756	Syao.g_01663
OG0000165	Prau.g_01763	Syao.g_01655
OG0000166	Prau.g_01833	Syao.g_01790
OG0000167	Prau.g_01899	Syao.g_01960
OG0000168	Prau.g_01909	Syao.g_02128
OG0000169	Prau.g_01919	Syao.g_02139
OG0000170	Prau.g_01921	Syao.g_02148
OG0000171	Prau.g_01940	Syao.g_02181
OG0000172	Prau.g_01949	Syao.g_02170
OG0000173	Prau.g_01964	Syao.g_02212
OG0000174	Prau.g_01991	Syao.g_02364, Syao.g_02355
OG0000175	Prau.g_02001	Syao.g_02327, Syao.g_00308
OG0000176	Prau.g_00004	Syao.g_02165
OG0000177	Prau.g_00005	Syao.g_02156
OG0000178	Prau.g_00006	Syao.g_02155
