Orthogroup	Prau	Syaa
OG0000004	Prau.g_00735	Syaa.g_00892
OG0000004	Prau.g_00233	Syaa.g_01667, Syaa.g_02116
OG0000005	Prau.g_01745	Syaa.g_00534
OG0000005	Prau.g_01607	Syaa.g_00573
OG0000006	Prau.g_01316	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prau.g_00538	Syaa.g_02032
OG0000007	Prau.g_01732	Syaa.g_00551
OG0000008	Prau.g_00781	Syaa.g_00918
OG0000009	Prau.g_00106	Syaa.g_02378
OG0000010	Prau.g_01698, Prau.g_01096, Prau.g_00515	Syaa.g_01843
OG0000012	Prau.g_00663	Syaa.g_02304, Syaa.g_01660
OG0000013	Prau.g_00329	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prau.g_00308	Syaa.g_00222
OG0000014	Prau.g_01470	Syaa.g_00481
OG0000015	Prau.g_00817	Syaa.g_01079, Syaa.g_01989
OG0000016	Prau.g_00013	Syaa.g_00014
OG0000017	Prau.g_00636	Syaa.g_01890
OG0000018	Prau.g_01188, Prau.g_00881	Syaa.g_01801
OG0000019	Prau.g_00251, Prau.g_00834	Syaa.g_00307
OG0000022	Prau.g_00814, Prau.g_01170	Syaa.g_01571
OG0000023	Prau.g_00362	Syaa.g_01529, Syaa.g_01216
OG0000024	Prau.g_00796, Prau.g_00715	Syaa.g_00922
OG0000025	Prau.g_00888, Prau.g_00333	Syaa.g_00839
OG0000026	Prau.g_00030, Prau.g_01103	Syaa.g_00038
OG0000027	Prau.g_01353	Syaa.g_01605, Syaa.g_00854
OG0000028	Prau.g_00322, Prau.g_01338	Syaa.g_00205
OG0000029	Prau.g_00378, Prau.g_00804	Syaa.g_01578
OG0000030	Prau.g_01935	Syaa.g_00099, Syaa.g_00098
OG0000031	Prau.g_01469	Syaa.g_00480
OG0000033	Prau.g_01465	Syaa.g_00485
OG0000033	Prau.g_00170	Syaa.g_02478
OG0000034	Prau.g_01381	Syaa.g_00722, Syaa.g_02444
OG0000035	Prau.g_01531, Prau.g_01528	Syaa.g_01773
OG0000037	Prau.g_00110	Syaa.g_02384
OG0000038	Prau.g_01976	Syaa.g_02596
OG0000039	Prau.g_00726	Syaa.g_00846
OG0000040	Prau.g_01662	Syaa.g_01606
OG0000041	Prau.g_01778	Syaa.g_00660
OG0000042	Prau.g_01932	Syaa.g_00103
OG0000043	Prau.g_01321	Syaa.g_01437
OG0000045	Prau.g_01682	Syaa.g_01518
OG0000045	Prau.g_00374	Syaa.g_01560
OG0000047	Prau.g_00414, Prau.g_00332	Syaa.g_02189
OG0000048	Prau.g_00377	Syaa.g_02719, Syaa.g_00275
OG0000051	Prau.g_01347	Syaa.g_01531
OG0000052	Prau.g_01489, Prau.g_01448	Syaa.g_00174
OG0000053	Prau.g_00040, Prau.g_01551	Syaa.g_01797
OG0000054	Prau.g_00644	Syaa.g_01691
OG0000055	Prau.g_00835	Syaa.g_00852
OG0000057	Prau.g_00738	Syaa.g_00889
OG0000058	Prau.g_01432, Prau.g_01460	Syaa.g_00193
OG0000059	Prau.g_01818	Syaa.g_02315
OG0000061	Prau.g_01206	Syaa.g_00770
OG0000063	Prau.g_00032, Prau.g_01295	Syaa.g_00042
OG0000065	Prau.g_00108	Syaa.g_02380
OG0000066	Prau.g_00579	Syaa.g_01968
OG0000067	Prau.g_00854	Syaa.g_01154
