Orthogroup	Prau	Prav
OG0000000	Prau.g_01352	Prav.g_01736, Prav.g_01415
OG0000000	Prau.g_01648	Prav.g_01695
OG0000000	Prau.g_01266	Prav.g_01694
OG0000000	Prau.g_01266	Prav.g_01821
OG0000000	Prau.g_01647	Prav.g_01694
OG0000000	Prau.g_01647	Prav.g_01821
OG0000000	Prau.g_01350	Prav.g_01413
OG0000000	Prau.g_01650	Prav.g_01698
OG0000001	Prau.g_01394	Prav.g_01458
OG0000001	Prau.g_01267, Prau.g_01269	Prav.g_00962, Prav.g_01820, Prav.g_02007
OG0000002	Prau.g_01402	Prav.g_01466
OG0000002	Prau.g_00718	Prav.g_01276
OG0000004	Prau.g_00735	Prav.g_01293
OG0000004	Prau.g_00233	Prav.g_00806
OG0000005	Prau.g_01745	Prav.g_01774
OG0000005	Prau.g_01607	Prav.g_01654
OG0000006	Prau.g_01316	Prav.g_02001
OG0000007	Prau.g_00538	Prav.g_01095
OG0000007	Prau.g_01732	Prav.g_01761
OG0000008	Prau.g_00781	Prav.g_01749
OG0000008	Prau.g_00712	Prav.g_01270
OG0000009	Prau.g_01641	Prav.g_01688
OG0000009	Prau.g_00106	Prav.g_00170
OG0000010	Prau.g_01096	Prav.g_00218
OG0000010	Prau.g_00515	Prav.g_01072
OG0000011	Prau.g_00441	Prav.g_01407
OG0000011	Prau.g_01307	Prav.g_01334
OG0000012	Prau.g_00663	Prav.g_01221
OG0000013	Prau.g_00329	Prav.g_01973
OG0000014	Prau.g_00308	Prav.g_01952
OG0000015	Prau.g_00817	Prav.g_00961
OG0000016	Prau.g_00013	Prav.g_00081
OG0000017	Prau.g_00636	Prav.g_01194
OG0000018	Prau.g_01188	Prav.g_00046
OG0000018	Prau.g_00881	Prav.g_00424
OG0000019	Prau.g_00251	Prav.g_01896
OG0000019	Prau.g_00834	Prav.g_00375
OG0000020	Prau.g_01153	Prav.g_00014
OG0000020	Prau.g_01704	Prav.g_01386
OG0000021	Prau.g_01680, Prau.g_00367	Prav.g_00984
OG0000022	Prau.g_00814	Prav.g_00360
OG0000022	Prau.g_01170	Prav.g_00029
OG0000023	Prau.g_00362	Prav.g_00979
OG0000024	Prau.g_00796	Prav.g_00343
OG0000024	Prau.g_00715	Prav.g_01273
OG0000025	Prau.g_00888	Prav.g_00431
OG0000025	Prau.g_00333	Prav.g_01977
OG0000026	Prau.g_00030	Prav.g_01324, Prav.g_00099
OG0000026	Prau.g_01103	Prav.g_00226
OG0000027	Prau.g_01353	Prav.g_01416
OG0000028	Prau.g_00322	Prav.g_01966
OG0000028	Prau.g_01338	Prav.g_01885
OG0000029	Prau.g_00804	Prav.g_00350
OG0000030	Prau.g_01935	Prav.g_00699
OG0000032	Prau.g_01475, Prau.g_01446	Prav.g_01499
OG0000033	Prau.g_00170	Prav.g_00869
