Orthogroup	Prad	Syal
OG0000000	Prad.g_00352	Syal.g_01111, Syal.g_01832
OG0000001	Prad.g_00609	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prad.g_01269	Syal.g_01809
OG0000004	Prad.g_01759	Syal.g_02718, Syal.g_00691
OG0000005	Prad.g_00928	Syal.g_00606
OG0000005	Prad.g_00438	Syal.g_00565
OG0000006	Prad.g_01750	Syal.g_02611, Syal.g_00674
OG0000007	Prad.g_00132	Syal.g_02918
OG0000007	Prad.g_00941	Syal.g_00587
OG0000009	Prad.g_00317, Prad.g_00401	Syal.g_02089
OG0000009	Prad.g_01888	Syal.g_00818
OG0000010	Prad.g_01304, Prad.g_01011	Syal.g_00464
OG0000011	Prad.g_01212	Syal.g_00702
OG0000012	Prad.g_01412	Syal.g_02535, Syal.g_01639
OG0000013	Prad.g_01664	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prad.g_01685	Syal.g_01305
OG0000015	Prad.g_01108	Syal.g_02210, Syal.g_01183
OG0000016	Prad.g_01973	Syal.g_00111
OG0000017	Prad.g_01387	Syal.g_02752, Syal.g_02745
OG0000018	Prad.g_01515	Syal.g_00410
OG0000019	Prad.g_01742, Prad.g_01125	Syal.g_01209
OG0000022	Prad.g_01993	Syal.g_02587
OG0000023	Prad.g_00751	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prad.g_01088, Prad.g_01249	Syal.g_02597
OG0000025	Prad.g_01660, Prad.g_01181	Syal.g_02459
OG0000026	Prad.g_01004	Syal.g_00132
OG0000027	Prad.g_01298, Prad.g_00353	Syal.g_02543
OG0000028	Prad.g_01204, Prad.g_01671	Syal.g_01319
OG0000029	Prad.g_01096, Prad.g_00734	Syal.g_03014
OG0000032	Prad.g_00572	Syal.g_00428
OG0000032	Prad.g_00561	Syal.g_00183
OG0000034	Prad.g_00618	Syal.g_00881, Syal.g_01586
OG0000035	Prad.g_00515	Syal.g_00370, Syal.g_00020
OG0000037	Prad.g_01884	Syal.g_00601, Syal.g_00824
OG0000038	Prad.g_01582	Syal.g_01071, Syal.g_01073
OG0000039	Prad.g_01260	Syal.g_01097
OG0000040	Prad.g_00369	Syal.g_01187
OG0000040	Prad.g_01516	Syal.g_01149
OG0000041	Prad.g_00894	Syal.g_00649
OG0000042	Prad.g_01624	Syal.g_01705, Syal.g_01508
OG0000043	Prad.g_00313	Syal.g_01110
OG0000044	Prad.g_01213	Syal.g_01853, Syal.g_01847
OG0000047	Prad.g_01661, Prad.g_00683	Syal.g_01568
OG0000048	Prad.g_00735	Syal.g_01250
OG0000050	Prad.g_00985	Syal.g_01549
OG0000051	Prad.g_00342	Syal.g_01550
OG0000052	Prad.g_00571	Syal.g_01338
OG0000053	Prad.g_00494	Syal.g_00406
OG0000054	Prad.g_01395	Syal.g_02739, Syal.g_02098
OG0000055	Prad.g_01126	Syal.g_01845
OG0000057	Prad.g_01272	Syal.g_01812
OG0000058	Prad.g_00565	Syal.g_01326
OG0000059	Prad.g_00855	Syal.g_00225
OG0000061	Prad.g_01496	Syal.g_01653
OG0000062	Prad.g_00436	Syal.g_00567
OG0000063	Prad.g_01953, Prad.g_00081	Syal.g_00136
OG0000065	Prad.g_01886	Syal.g_00820, Syal.g_02528
OG0000066	Prad.g_00090	Syal.g_02828
OG0000067	Prad.g_01146	Syal.g_02414
OG0000068	Prad.g_00594	Syal.g_02888
OG0000070	Prad.g_00057	Syal.g_00509
OG0000071	Prad.g_00628	Syal.g_02099, Syal.g_01601
OG0000072	Prad.g_01820	Syal.g_00914
OG0000073	Prad.g_00130	Syal.g_02920
OG0000075	Prad.g_00775	Syal.g_01350
OG0000076	Prad.g_01631	Syal.g_01459
OG0000077	Prad.g_01915	Syal.g_00763, Syal.g_00506
OG0000078	Prad.g_01752	Syal.g_00680
OG0000079	Prad.g_01739	Syal.g_01213
