Orthogroup	Prad	Prar
OG0000000	Prad.g_00352	Prar.g_00971
OG0000000	Prad.g_01982	Prar.g_00713
OG0000000	Prad.g_00392	Prar.g_00729
OG0000000	Prad.g_00393	Prar.g_01204
OG0000000	Prad.g_01435	Prar.g_01204
OG0000000	Prad.g_00350	Prar.g_00727
OG0000001	Prad.g_00609	Prar.g_00926
OG0000001	Prad.g_01434, Prad.g_01994	Prar.g_01202
OG0000002	Prad.g_00601	Prar.g_00918
OG0000002	Prad.g_01252	Prar.g_01508
OG0000004	Prad.g_01269	Prar.g_01525
OG0000004	Prad.g_01759	Prar.g_00095
OG0000005	Prad.g_00928	Prar.g_01130
OG0000005	Prad.g_00438	Prar.g_00771
OG0000006	Prad.g_01750	Prar.g_00086
OG0000007	Prad.g_00132	Prar.g_01328
OG0000007	Prad.g_00941	Prar.g_01143
OG0000008	Prad.g_01246	Prar.g_01502
OG0000009	Prad.g_00401	Prar.g_00737
OG0000009	Prad.g_01888	Prar.g_00223
OG0000010	Prad.g_00033	Prar.g_00524
OG0000010	Prad.g_01304	Prar.g_01567
OG0000010	Prad.g_01011	Prar.g_01912
OG0000011	Prad.g_00339	Prar.g_00978
OG0000011	Prad.g_01212	Prar.g_00988
OG0000012	Prad.g_01412	Prar.g_01453
OG0000013	Prad.g_01664	Prar.g_00260
OG0000014	Prad.g_01685	Prar.g_00281
OG0000015	Prad.g_01108	Prar.g_01179
OG0000016	Prad.g_01973	Prar.g_00025
OG0000017	Prad.g_01387	Prar.g_01428
OG0000018	Prad.g_01173	Prar.g_01711
OG0000018	Prad.g_01515	Prar.g_01282
OG0000019	Prad.g_01742	Prar.g_00078
OG0000019	Prad.g_01125	Prar.g_01663
OG0000020	Prad.g_00647	Prar.g_01315
OG0000020	Prad.g_01299	Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Prad.g_00745	Prar.g_00425
OG0000022	Prad.g_01993	Prar.g_01300
OG0000022	Prad.g_01105	Prar.g_01649
OG0000023	Prad.g_00751	Prar.g_00420
OG0000024	Prad.g_01088	Prar.g_01634
OG0000024	Prad.g_01249	Prar.g_01505
OG0000025	Prad.g_01660	Prar.g_00256
OG0000025	Prad.g_01181	Prar.g_01718
OG0000026	Prad.g_01955	Prar.g_00007
OG0000026	Prad.g_01004	Prar.g_01919
OG0000028	Prad.g_01204	Prar.g_00985
OG0000028	Prad.g_01671	Prar.g_00267
OG0000029	Prad.g_00734	Prar.g_00436
OG0000032	Prad.g_00561	Prar.g_00886
OG0000033	Prad.g_01822	Prar.g_00158
OG0000034	Prad.g_00618	Prar.g_00945
OG0000035	Prad.g_00515	Prar.g_00339
OG0000037	Prad.g_01884	Prar.g_00219
OG0000038	Prad.g_01582	Prar.g_00702
OG0000039	Prad.g_01260	Prar.g_01516
OG0000040	Prad.g_00369	Prar.g_00715
OG0000040	Prad.g_01516	Prar.g_01283
OG0000041	Prad.g_00894	Prar.g_00602
OG0000042	Prad.g_01624	Prar.g_00660
OG0000043	Prad.g_00276	Prar.g_01755
OG0000045	Prad.g_00738	Prar.g_00432
OG0000047	Prad.g_01661	Prar.g_00257
OG0000047	Prad.g_00683	Prar.g_00468
OG0000048	Prad.g_00735	Prar.g_00435
OG0000049	Prad.g_00726	Prar.g_00445
OG0000049	Prad.g_01215	Prar.g_01002
OG0000049	Prad.g_00377	Prar.g_01160
OG0000050	Prad.g_00985	Prar.g_01940
