Orthogroup	Prad	Prbc
OG0000000	Prad.g_00352	Prbc.g_02163, Prbc.g_00103
OG0000000	Prad.g_01982	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806
OG0000000	Prad.g_00392	Prbc.g_02165
OG0000000	Prad.g_01297	Prbc.g_00106, Prbc.g_00618, Prbc.g_02167, Prbc.g_00608, Prbc.g_00808
OG0000000	Prad.g_00393, Prad.g_01435	Prbc.g_00525
OG0000001	Prad.g_00609	Prbc.g_00588
OG0000002	Prad.g_00601	Prbc.g_01920
OG0000002	Prad.g_01252	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Prad.g_01269	Prbc.g_01381
OG0000004	Prad.g_01759	Prbc.g_00339
OG0000005	Prad.g_00928	Prbc.g_00098
OG0000005	Prad.g_00438	Prbc.g_00788
OG0000006	Prad.g_01750	Prbc.g_02202
OG0000007	Prad.g_00132	Prbc.g_01556
OG0000007	Prad.g_00941	Prbc.g_00832
OG0000009	Prad.g_00317	Prbc.g_01344
OG0000010	Prad.g_00033	Prbc.g_01533
OG0000010	Prad.g_01304, Prad.g_01011	Prbc.g_02115
OG0000011	Prad.g_00339	Prbc.g_00164
OG0000011	Prad.g_01212	Prbc.g_00136
OG0000012	Prad.g_01412	Prbc.g_02155
OG0000013	Prad.g_01664	Prbc.g_01219
OG0000014	Prad.g_01685	Prbc.g_01198
OG0000015	Prad.g_01108	Prbc.g_00599
OG0000016	Prad.g_01973	Prbc.g_01083
OG0000017	Prad.g_01387	Prbc.g_01674, Prbc.g_01681
OG0000018	Prad.g_01173	Prbc.g_01887
OG0000018	Prad.g_01515	Prbc.g_01468
OG0000019	Prad.g_01125	Prbc.g_01836
OG0000020	Prad.g_01299	Prbc.g_00116
OG0000021	Prad.g_01981, Prad.g_00745	Prbc.g_00924, Prbc.g_02189
OG0000022	Prad.g_01993	Prbc.g_01288
OG0000022	Prad.g_01105	Prbc.g_00166
OG0000023	Prad.g_00751	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Prad.g_01088	Prbc.g_00598
OG0000024	Prad.g_01249	Prbc.g_01755
OG0000025	Prad.g_01660	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Prad.g_01955, Prad.g_01004	Prbc.g_01101
OG0000027	Prad.g_01298, Prad.g_00353	Prbc.g_00072
OG0000028	Prad.g_01204	Prbc.g_00653
OG0000032	Prad.g_00572	Prbc.g_00746
OG0000033	Prad.g_01822	Prbc.g_00402
OG0000034	Prad.g_00618	Prbc.g_00575
OG0000035	Prad.g_00515	Prbc.g_00709
OG0000037	Prad.g_01884	Prbc.g_00464
OG0000038	Prad.g_01582	Prbc.g_00995
OG0000039	Prad.g_01260	Prbc.g_01768
OG0000040	Prad.g_00369	Prbc.g_00811
OG0000041	Prad.g_00894	Prbc.g_00877
OG0000042	Prad.g_01624	Prbc.g_00203
OG0000043	Prad.g_00313	Prbc.g_00135
OG0000047	Prad.g_01661	Prbc.g_01227
OG0000047	Prad.g_00683	Prbc.g_01273
OG0000048	Prad.g_00735	Prbc.g_01165
OG0000050	Prad.g_01291	Prbc.g_01383
OG0000050	Prad.g_00985	Prbc.g_00513
OG0000052	Prad.g_00571	Prbc.g_00518, Prbc.g_00517
OG0000053	Prad.g_00494	Prbc.g_00728
OG0000054	Prad.g_01395	Prbc.g_01683
OG0000055	Prad.g_01126	Prbc.g_01822, Prbc.g_00907
