Orthogroup	Prax	Prbc
OG0000000	Prax.g_01870	Prbc.g_01920
OG0000000	Prax.g_00964	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473
OG0000001	Prax.g_01920	Prbc.g_00525
OG0000002	Prax.g_01878	Prbc.g_00588
OG0000002	Prax.g_00522	Prbc.g_00925, Prbc.g_01530
OG0000003	Prax.g_01919, Prax.g_01606, Prax.g_00494	Prbc.g_00609, Prbc.g_00812
OG0000004	Prax.g_00437	Prbc.g_01294, Prbc.g_01233, Prbc.g_02193
OG0000005	Prax.g_01608, Prax.g_00496	Prbc.g_00806, Prbc.g_00104, Prbc.g_02164, Prbc.g_02165
OG0000006	Prax.g_00704	Prbc.g_01556
OG0000006	Prax.g_01559	Prbc.g_00832
OG0000009	Prax.g_00393	Prbc.g_01836
OG0000010	Prax.g_00500, Prax.g_00141, Prax.g_01936	Prbc.g_01323
OG0000011	Prax.g_00843	Prbc.g_01227
OG0000012	Prax.g_00057	Prbc.g_01681, Prbc.g_01674
OG0000013	Prax.g_00523	Prbc.g_00599
OG0000014	Prax.g_01916	Prbc.g_00072
OG0000015	Prax.g_00793	Prbc.g_00125, Prbc.g_00037, Prbc.g_00013
OG0000016	Prax.g_01867	Prbc.g_00650
OG0000017	Prax.g_01708	Prbc.g_00728
OG0000018	Prax.g_01972	Prbc.g_02202
OG0000019	Prax.g_01587, Prax.g_00808	Prbc.g_02189
OG0000020	Prax.g_00173	Prbc.g_01165
OG0000021	Prax.g_00391	Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059
OG0000022	Prax.g_01917	Prbc.g_02163, Prbc.g_00103
OG0000023	Prax.g_01950	Prbc.g_01344
OG0000024	Prax.g_00869	Prbc.g_01198, Prbc.g_00680
OG0000025	Prax.g_00448	Prbc.g_00513, Prbc.g_01383
OG0000026	Prax.g_00280	Prbc.g_00932
OG0000027	Prax.g_01641	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171
OG0000028	Prax.g_01733, Prax.g_01728	Prbc.g_00709
OG0000029	Prax.g_01616	Prbc.g_02181, Prbc.g_00752
OG0000036	Prax.g_00045	Prbc.g_00891
OG0000037	Prax.g_00082	Prbc.g_02155
OG0000038	Prax.g_00415	Prbc.g_00166
OG0000039	Prax.g_01052	Prbc.g_00405
OG0000040	Prax.g_00813	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006
OG0000041	Prax.g_00772	Prbc.g_01315
OG0000042	Prax.g_00485	Prbc.g_01787
OG0000043	Prax.g_00388	Prbc.g_01999
OG0000044	Prax.g_00200	Prbc.g_01446
OG0000046	Prax.g_01566	Prbc.g_00826
OG0000047	Prax.g_01394	Prbc.g_00211
OG0000048	Prax.g_01401	Prbc.g_00203
OG0000050	Prax.g_00282, Prax.g_00458	Prbc.g_01101
OG0000051	Prax.g_01061	Prbc.g_00414
OG0000052	Prax.g_00803	Prbc.g_00134, Prbc.g_00641
OG0000053	Prax.g_00662	Prbc.g_01618
OG0000054	Prax.g_00457	Prbc.g_01116
OG0000055	Prax.g_00351	Prbc.g_01882, Prbc.g_00153
OG0000056	Prax.g_00148	Prbc.g_01117
OG0000057	Prax.g_00981, Prax.g_01581	Prbc.g_00333
OG0000058	Prax.g_00727	Prbc.g_01534
OG0000059	Prax.g_00944	Prbc.g_00055, Prbc.g_01780
OG0000061	Prax.g_00159, Prax.g_01149	Prbc.g_00645
OG0000062	Prax.g_00161	Prbc.g_00896
OG0000063	Prax.g_01959	Prbc.g_00102
OG0000065	Prax.g_01899	Prbc.g_00566
OG0000066	Prax.g_01832	Prbc.g_01753
OG0000067	Prax.g_00454	Prbc.g_00136
OG0000068	Prax.g_01338	Prbc.g_00284
OG0000071	Prax.g_01974	Prbc.g_01081
OG0000072	Prax.g_00853, Prax.g_00852	Prbc.g_01214
OG0000073	Prax.g_00973	Prbc.g_01748
OG0000074	Prax.g_00951	Prbc.g_01773
OG0000075	Prax.g_00366	Prbc.g_01865
OG0000076	Prax.g_01204	Prbc.g_02113
OG0000078	Prax.g_01825	Prbc.g_01229
OG0000079	Prax.g_01650	Prbc.g_00790
OG0000080	Prax.g_01600	Prbc.g_00144
OG0000081	Prax.g_01368	Prbc.g_00238
OG0000083	Prax.g_01493	Prbc.g_01073
OG0000084	Prax.g_01496	Prbc.g_01076
OG0000085	Prax.g_00290	Prbc.g_01093
OG0000086	Prax.g_00274	Prbc.g_00132
OG0000087	Prax.g_00624	Prbc.g_01127
OG0000088	Prax.g_01106	Prbc.g_00458
OG0000089	Prax.g_01097	Prbc.g_00449
OG0000090	Prax.g_01079	Prbc.g_00432
OG0000091	Prax.g_01049	Prbc.g_00402
OG0000092	Prax.g_01048	Prbc.g_00401
OG0000093	Prax.g_01034	Prbc.g_00388
OG0000094	Prax.g_01016	Prbc.g_00369
OG0000095	Prax.g_01011	Prbc.g_00365
OG0000096	Prax.g_00488, Prax.g_00924	Prbc.g_01147
OG0000097	Prax.g_00901	Prbc.g_01167
OG0000099	Prax.g_00881	Prbc.g_01186
OG0000100	Prax.g_00878	Prbc.g_01189
OG0000101	Prax.g_01573, Prax.g_00816	Prbc.g_01270
OG0000102	Prax.g_00792	Prbc.g_02183
OG0000103	Prax.g_00726	Prbc.g_01535
OG0000104	Prax.g_00722	Prbc.g_01540
OG0000105	Prax.g_00702	Prbc.g_01579
OG0000106	Prax.g_00669	Prbc.g_01611
OG0000107	Prax.g_00668	Prbc.g_01612
OG0000108	Prax.g_00004	Prbc.g_01622
OG0000109	Prax.g_00013	Prbc.g_01632
OG0000110	Prax.g_00029	Prbc.g_01648
OG0000111	Prax.g_00110	Prbc.g_01728
OG0000112	Prax.g_00111	Prbc.g_01729
OG0000113	Prax.g_00463	Prbc.g_01811
OG0000114	Prax.g_00375	Prbc.g_01856
OG0000115	Prax.g_01129	Prbc.g_02036
OG0000116	Prax.g_01133	Prbc.g_02040
OG0000117	Prax.g_01201	Prbc.g_02110
OG0000118	Prax.g_01254, Prax.g_01759	Prbc.g_00173
OG0000119	Prax.g_00164	Prbc.g_00899
OG0000120	Prax.g_00206	Prbc.g_01439
OG0000121	Prax.g_00225	Prbc.g_01417
OG0000122	Prax.g_00244	Prbc.g_01397
OG0000123	Prax.g_00257	Prbc.g_01387
OG0000124	Prax.g_01789	Prbc.g_02103
OG0000125	Prax.g_01887	Prbc.g_00577
OG0000126	Prax.g_01863	Prbc.g_00657
OG0000127	Prax.g_01746	Prbc.g_00695
OG0000128	Prax.g_01727	Prbc.g_00710
OG0000129	Prax.g_01691	Prbc.g_00744
OG0000130	Prax.g_01561	Prbc.g_00830
OG0000131	Prax.g_01523	Prbc.g_00867
OG0000132	Prax.g_01520	Prbc.g_00869
OG0000133	Prax.g_01297	Prbc.g_00326, Prbc.g_01572
OG0000134	Prax.g_01333	Prbc.g_00290
OG0000135	Prax.g_01335	Prbc.g_01560, Prbc.g_00288
OG0000136	Prax.g_01379	Prbc.g_00226
OG0000137	Prax.g_01411	Prbc.g_00190
OG0000138	Prax.g_01447	Prbc.g_00997
OG0000139	Prax.g_01473	Prbc.g_01047
OG0000140	Prax.g_01491	Prbc.g_01071
OG0000141	Prax.g_01492	Prbc.g_01072
OG0000142	Prax.g_01494	Prbc.g_01074
OG0000143	Prax.g_01495	Prbc.g_01075
OG0000144	Prax.g_01497	Prbc.g_01077
OG0000145	Prax.g_01498	Prbc.g_01078
OG0000146	Prax.g_01499	Prbc.g_01079
OG0000147	Prax.g_01975	Prbc.g_01080
OG0000148	Prax.g_01973	Prbc.g_01082
OG0000149	Prax.g_00299	Prbc.g_01084
OG0000150	Prax.g_00298	Prbc.g_01085
OG0000151	Prax.g_00297	Prbc.g_01086
OG0000152	Prax.g_00296	Prbc.g_01087
OG0000153	Prax.g_00295	Prbc.g_01088
OG0000154	Prax.g_00294	Prbc.g_01089
OG0000155	Prax.g_00293	Prbc.g_01090
OG0000156	Prax.g_00292	Prbc.g_01091
OG0000157	Prax.g_00291	Prbc.g_01092
OG0000158	Prax.g_00289	Prbc.g_01094
OG0000159	Prax.g_00288	Prbc.g_01095
OG0000160	Prax.g_00287	Prbc.g_01096
OG0000161	Prax.g_00286	Prbc.g_01097
OG0000162	Prax.g_00285	Prbc.g_01098
OG0000163	Prax.g_00284	Prbc.g_01099
OG0000164	Prax.g_00281	Prbc.g_01102
OG0000165	Prax.g_00278	Prbc.g_01104
OG0000166	Prax.g_00277	Prbc.g_01105
OG0000167	Prax.g_00276	Prbc.g_01106
OG0000168	Prax.g_00273	Prbc.g_01118
OG0000169	Prax.g_00271	Prbc.g_01120
OG0000170	Prax.g_00270	Prbc.g_01121
OG0000171	Prax.g_00269	Prbc.g_01122
OG0000172	Prax.g_00261	Prbc.g_01123
OG0000173	Prax.g_00621	Prbc.g_01124
OG0000174	Prax.g_00622	Prbc.g_01125
OG0000175	Prax.g_00623	Prbc.g_01126
OG0000176	Prax.g_00625	Prbc.g_01128
OG0000177	Prax.g_00626	Prbc.g_01129
OG0000178	Prax.g_00627	Prbc.g_01130
OG0000179	Prax.g_00635	Prbc.g_00509
OG0000180	Prax.g_00636	Prbc.g_00508
OG0000181	Prax.g_00637	Prbc.g_00507
OG0000182	Prax.g_00640	Prbc.g_00504
OG0000183	Prax.g_00641	Prbc.g_00503
OG0000184	Prax.g_00644	Prbc.g_00500
OG0000185	Prax.g_00648	Prbc.g_00496
OG0000186	Prax.g_00649	Prbc.g_00495
OG0000187	Prax.g_00650	Prbc.g_00494
OG0000188	Prax.g_00651	Prbc.g_00493
OG0000189	Prax.g_00652	Prbc.g_00492
OG0000190	Prax.g_00653	Prbc.g_00491
OG0000191	Prax.g_00654	Prbc.g_00490
OG0000192	Prax.g_00655	Prbc.g_00489
OG0000193	Prax.g_00656	Prbc.g_00488
OG0000194	Prax.g_00657	Prbc.g_00487
OG0000195	Prax.g_00659	Prbc.g_00485
OG0000196	Prax.g_00660	Prbc.g_00484
OG0000197	Prax.g_01128	Prbc.g_00483
OG0000198	Prax.g_01127	Prbc.g_00482
OG0000199	Prax.g_01124	Prbc.g_00479
OG0000200	Prax.g_01123	Prbc.g_00478
OG0000201	Prax.g_01122	Prbc.g_00477
OG0000202	Prax.g_01121	Prbc.g_00476
OG0000203	Prax.g_01120	Prbc.g_00475
OG0000204	Prax.g_01119	Prbc.g_00474
OG0000205	Prax.g_01118	Prbc.g_00472
OG0000206	Prax.g_01117	Prbc.g_00471
OG0000207	Prax.g_01116	Prbc.g_00470
OG0000208	Prax.g_01115	Prbc.g_00469
OG0000209	Prax.g_01114	Prbc.g_00468
OG0000210	Prax.g_01113	Prbc.g_00467
OG0000211	Prax.g_01112	Prbc.g_00466
OG0000212	Prax.g_01111	Prbc.g_00465
OG0000213	Prax.g_01110	Prbc.g_00464
OG0000214	Prax.g_01108	Prbc.g_00460
OG0000215	Prax.g_01107	Prbc.g_00459
OG0000216	Prax.g_01105	Prbc.g_00457
OG0000217	Prax.g_01103	Prbc.g_00455
OG0000218	Prax.g_01102	Prbc.g_00454
OG0000219	Prax.g_01101	Prbc.g_00453
OG0000220	Prax.g_01098	Prbc.g_00451
OG0000221	Prax.g_01096	Prbc.g_00448
OG0000222	Prax.g_01095	Prbc.g_00447
OG0000223	Prax.g_01094	Prbc.g_00446
OG0000224	Prax.g_01091	Prbc.g_00443
OG0000225	Prax.g_01089	Prbc.g_00441
OG0000226	Prax.g_01088	Prbc.g_00439
OG0000227	Prax.g_01087	Prbc.g_00438
OG0000228	Prax.g_01086	Prbc.g_00437
OG0000229	Prax.g_01085	Prbc.g_00436
OG0000230	Prax.g_01084	Prbc.g_00435
OG0000231	Prax.g_01082	Prbc.g_02145
OG0000232	Prax.g_01081	Prbc.g_00434
OG0000233	Prax.g_01078	Prbc.g_00431
OG0000234	Prax.g_01076	Prbc.g_00428
OG0000235	Prax.g_01073	Prbc.g_00426
OG0000236	Prax.g_01072	Prbc.g_00425
