Orthogroup	Prax	Prad
OG0000000	Prax.g_01870	Prad.g_00601
OG0000000	Prax.g_00964	Prad.g_01252
OG0000001	Prax.g_01609	Prad.g_01435
OG0000001	Prax.g_01920	Prad.g_00372, Prad.g_00349
OG0000002	Prax.g_01878	Prad.g_00609
OG0000002	Prax.g_00522	Prad.g_01434, Prad.g_01994
OG0000003	Prax.g_01919	Prad.g_00350
OG0000003	Prax.g_01606	Prad.g_00389
OG0000004	Prax.g_00444	Prad.g_01075
OG0000004	Prax.g_00437	Prad.g_01082
OG0000004	Prax.g_01924	Prad.g_00345
OG0000005	Prax.g_01608	Prad.g_00392
OG0000006	Prax.g_00704	Prad.g_00132
OG0000006	Prax.g_01559	Prad.g_00941
OG0000007	Prax.g_00970	Prad.g_01246
OG0000008	Prax.g_00791	Prad.g_00726
OG0000008	Prax.g_01162	Prad.g_00377
OG0000008	Prax.g_01958	Prad.g_01215
OG0000009	Prax.g_00393	Prad.g_01125
OG0000009	Prax.g_00926	Prad.g_01742
OG0000010	Prax.g_00141	Prad.g_00650
OG0000010	Prax.g_01936	Prad.g_00330
OG0000011	Prax.g_00843	Prad.g_01661
OG0000012	Prax.g_00057	Prad.g_01387
OG0000013	Prax.g_00523, Prax.g_00410	Prad.g_01108
OG0000014	Prax.g_01916	Prad.g_00353
OG0000015	Prax.g_00793	Prad.g_00728
OG0000016	Prax.g_01867	Prad.g_00598
OG0000017	Prax.g_01708	Prad.g_00494
OG0000018	Prax.g_01972	Prad.g_01750
OG0000019	Prax.g_01587	Prad.g_01981
OG0000019	Prax.g_00808	Prad.g_00745
OG0000020	Prax.g_00799	Prad.g_00735
OG0000021	Prax.g_00391	Prad.g_01127
OG0000022	Prax.g_01917	Prad.g_00352
OG0000023	Prax.g_01950	Prad.g_00317
OG0000023	Prax.g_01617	Prad.g_00401
OG0000024	Prax.g_00869	Prad.g_01685
OG0000025	Prax.g_01240	Prad.g_00985
OG0000026	Prax.g_00280	Prad.g_01953
OG0000027	Prax.g_01641	Prad.g_00427
OG0000027	Prax.g_00441	Prad.g_01078
OG0000028	Prax.g_01733, Prax.g_01728	Prad.g_00515
OG0000029	Prax.g_01616	Prad.g_00400
OG0000030	Prax.g_01976	Prad.g_01995
OG0000031	Prax.g_01927	Prad.g_00342
OG0000036	Prax.g_00045	Prad.g_01374
OG0000037	Prax.g_00082	Prad.g_01412
OG0000038	Prax.g_00415	Prad.g_01105
OG0000039	Prax.g_01052	Prad.g_01825
OG0000040	Prax.g_00813	Prad.g_00751
OG0000041	Prax.g_00772	Prad.g_00697
OG0000042	Prax.g_00485	Prad.g_01049
OG0000043	Prax.g_00388	Prad.g_01130
OG0000044	Prax.g_00200	Prad.g_01496
OG0000045	Prax.g_01823	Prad.g_00565
OG0000046	Prax.g_01566	Prad.g_00948
OG0000047	Prax.g_01394	Prad.g_01631
OG0000048	Prax.g_01401	Prad.g_01624
OG0000050	Prax.g_00282	Prad.g_01955
OG0000051	Prax.g_01061	Prad.g_01834
OG0000052	Prax.g_00803	Prad.g_00739
OG0000053	Prax.g_00662	Prad.g_00090
OG0000054	Prax.g_00421	Prad.g_01099
OG0000055	Prax.g_00351	Prad.g_01168
OG0000056	Prax.g_00148	Prad.g_00657
OG0000057	Prax.g_00981	Prad.g_01754
OG0000057	Prax.g_01581	Prad.g_00965
OG0000058	Prax.g_00727	Prad.g_00032
OG0000059	Prax.g_00944	Prad.g_01272
OG0000060	Prax.g_00439	Prad.g_01080
OG0000061	Prax.g_00159	Prad.g_01991
OG0000061	Prax.g_01149	Prad.g_00166
OG0000062	Prax.g_00161	Prad.g_01989
OG0000063	Prax.g_01959	Prad.g_01214
OG0000064	Prax.g_01580	Prad.g_00964
OG0000064	Prax.g_01948	Prad.g_00320
OG0000065	Prax.g_01899	Prad.g_00628
OG0000066	Prax.g_01832	Prad.g_00564
OG0000067	Prax.g_00454	Prad.g_01212
OG0000068	Prax.g_01338	Prad.g_00807
OG0000069	Prax.g_01838	Prad.g_00561
OG0000071	Prax.g_01974	Prad.g_01975
OG0000072	Prax.g_00853, Prax.g_00852	Prad.g_01669
OG0000073	Prax.g_00973	Prad.g_01243
OG0000074	Prax.g_00951	Prad.g_01265
OG0000075	Prax.g_00366	Prad.g_01153
OG0000076	Prax.g_01204	Prad.g_01018
OG0000078	Prax.g_01825	Prad.g_00566
OG0000079	Prax.g_01650	Prad.g_00436
OG0000080	Prax.g_01600	Prad.g_00383
OG0000081	Prax.g_01368	Prad.g_00777
OG0000082	Prax.g_01456	Prad.g_01570
OG0000083	Prax.g_01493	Prad.g_01533
OG0000084	Prax.g_01496	Prad.g_01530
OG0000085	Prax.g_00290	Prad.g_01963
OG0000086	Prax.g_00274	Prad.g_01948
OG0000087	Prax.g_00624	Prad.g_01937
OG0000088	Prax.g_01106	Prad.g_01880
OG0000089	Prax.g_01097	Prad.g_01872
OG0000090	Prax.g_01079	Prad.g_01854
OG0000091	Prax.g_01049	Prad.g_01822
OG0000092	Prax.g_01048	Prad.g_01821
OG0000093	Prax.g_01034	Prad.g_01807
OG0000094	Prax.g_01016	Prad.g_01789
OG0000095	Prax.g_01011	Prad.g_01784
OG0000096	Prax.g_00924	Prad.g_01740
OG0000097	Prax.g_00901	Prad.g_01717
OG0000098	Prax.g_00891	Prad.g_01707
OG0000099	Prax.g_00881	Prad.g_01697
OG0000100	Prax.g_00878	Prad.g_01694
OG0000101	Prax.g_00816	Prad.g_00754
OG0000102	Prax.g_00792	Prad.g_00727
OG0000103	Prax.g_00726	Prad.g_00031
OG0000104	Prax.g_00722	Prad.g_00027
OG0000105	Prax.g_00702	Prad.g_00130
OG0000106	Prax.g_00669	Prad.g_00097
OG0000107	Prax.g_00668	Prad.g_00096
OG0000108	Prax.g_00004	Prad.g_01333
OG0000109	Prax.g_00013	Prad.g_01342
OG0000110	Prax.g_00029	Prad.g_01358
OG0000111	Prax.g_00110	Prad.g_01225
OG0000112	Prax.g_00111	Prad.g_01226
OG0000113	Prax.g_00463	Prad.g_01071
OG0000114	Prax.g_00375	Prad.g_01144
OG0000115	Prax.g_01129	Prad.g_00186
OG0000116	Prax.g_01133	Prad.g_00182
OG0000117	Prax.g_01201	Prad.g_01021
OG0000118	Prax.g_01254	Prad.g_00972
OG0000119	Prax.g_00164	Prad.g_01526
OG0000120	Prax.g_00206	Prad.g_01490
