Orthogroup	Prax	Pras
OG0000000	Prax.g_01870	Pras.g_00243
OG0000000	Prax.g_00964	Pras.g_01554
OG0000001	Prax.g_01609	Pras.g_00469
OG0000002	Prax.g_01878	Pras.g_00235
OG0000002	Prax.g_00522	Pras.g_00118, Pras.g_00120
OG0000003	Prax.g_01919	Pras.g_00182
OG0000003	Prax.g_01606	Pras.g_00471
OG0000003	Prax.g_00494	Pras.g_00136
OG0000004	Prax.g_00444	Pras.g_01631
OG0000004	Prax.g_00437	Pras.g_01638
OG0000005	Prax.g_01608	Pras.g_00470
OG0000006	Prax.g_00704	Pras.g_01375
OG0000006	Prax.g_01559	Pras.g_00550
OG0000007	Prax.g_00970	Pras.g_01548
OG0000008	Prax.g_00791	Pras.g_01237
OG0000008	Prax.g_01960	Pras.g_01596, Pras.g_00139
OG0000008	Prax.g_01958	Pras.g_00151
OG0000009	Prax.g_00393	Pras.g_01681
OG0000009	Prax.g_00926	Pras.g_01101
OG0000010	Prax.g_00141	Pras.g_00004
OG0000010	Prax.g_01936	Pras.g_00163
OG0000011	Prax.g_00843	Pras.g_01182
OG0000012	Prax.g_00057	Pras.g_01474
OG0000013	Prax.g_00523	Pras.g_00127
OG0000014	Prax.g_01916	Pras.g_00185
OG0000015	Prax.g_00793	Pras.g_01235
OG0000016	Prax.g_01867	Pras.g_00246
OG0000017	Prax.g_01708	Pras.g_00370
OG0000018	Prax.g_01972	Pras.g_00148, Pras.g_01093
OG0000019	Prax.g_01587	Pras.g_00507
OG0000019	Prax.g_00808	Pras.g_01218
OG0000020	Prax.g_00799	Pras.g_01227
OG0000021	Prax.g_00391	Pras.g_01683
OG0000022	Prax.g_01917	Pras.g_00184
OG0000023	Prax.g_01950	Pras.g_00157
OG0000023	Prax.g_01617	Pras.g_00463
OG0000024	Prax.g_00869	Pras.g_01158
OG0000025	Prax.g_01240	Pras.g_01969
OG0000026	Prax.g_00280	Pras.g_00875
OG0000027	Prax.g_01641	Pras.g_00440
OG0000027	Prax.g_00441	Pras.g_01634
OG0000028	Prax.g_01733, Prax.g_01728	Pras.g_00350
OG0000029	Prax.g_01616	Pras.g_00464
OG0000030	Prax.g_01976	Pras.g_00119
