Orthogroup	Prau	Syac
OG0000001	Prau.g_01394	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Prau.g_01402, Prau.g_00718	Syac.g_01084
OG0000004	Prau.g_00735	Syac.g_00898
OG0000004	Prau.g_00233	Syac.g_00948, Syac.g_01975
OG0000005	Prau.g_01745	Syac.g_00527
OG0000005	Prau.g_01607	Syac.g_00569
OG0000006	Prau.g_01316	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prau.g_00538	Syac.g_01885
OG0000007	Prau.g_01732	Syac.g_00544
OG0000008	Prau.g_00781	Syac.g_00921
OG0000009	Prau.g_00106	Syac.g_01004, Syac.g_00398
OG0000010	Prau.g_01698, Prau.g_01096	Syac.g_01701
OG0000011	Prau.g_01307, Prau.g_01335	Syac.g_00924
OG0000012	Prau.g_00663	Syac.g_00955, Syac.g_00758, Syac.g_01577
OG0000013	Prau.g_00329	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Prau.g_00308	Syac.g_00253
OG0000015	Prau.g_00817	Syac.g_01408
OG0000016	Prau.g_00013	Syac.g_00014
OG0000017	Prau.g_00636	Syac.g_01749, Syac.g_01742
OG0000018	Prau.g_01188	Syac.g_01660
OG0000019	Prau.g_00251, Prau.g_00834	Syac.g_02207
OG0000022	Prau.g_01170	Syac.g_01031
OG0000023	Prau.g_00362	Syac.g_00760
OG0000024	Prau.g_00796, Prau.g_00715	Syac.g_00925
OG0000025	Prau.g_00333, Prau.g_00888	Syac.g_00847
OG0000026	Prau.g_00030, Prau.g_01103	Syac.g_00034
OG0000027	Prau.g_01353	Syac.g_01095, Syac.g_01009
OG0000028	Prau.g_01338, Prau.g_00322	Syac.g_00237
OG0000029	Prau.g_00804, Prau.g_00378	Syac.g_01942
OG0000030	Prau.g_01935	Syac.g_00143, Syac.g_00142
OG0000033	Prau.g_01465	Syac.g_00304
OG0000034	Prau.g_01381	Syac.g_00334, Syac.g_00715
OG0000035	Prau.g_01531, Prau.g_01528	Syac.g_01630
OG0000037	Prau.g_00110	Syac.g_01077
OG0000038	Prau.g_01976	Syac.g_02357, Syac.g_02358
OG0000039	Prau.g_00726	Syac.g_00856, Syac.g_02378
OG0000040	Prau.g_01662	Syac.g_01006
OG0000040	Prau.g_01187	Syac.g_02437
OG0000041	Prau.g_01778	Syac.g_00655, Syac.g_00876
OG0000042	Prau.g_01932	Syac.g_00146
OG0000043	Prau.g_01321	Syac.g_00808
OG0000045	Prau.g_00374	Syac.g_01040
OG0000045	Prau.g_01682	Syac.g_00576
OG0000047	Prau.g_00332, Prau.g_00414	Syac.g_02031
OG0000048	Prau.g_00377	Syac.g_02240
OG0000050	Prau.g_01123	Syac.g_01937
OG0000051	Prau.g_01275, Prau.g_01681	Syac.g_01292
OG0000051	Prau.g_01347	Syac.g_01073
OG0000053	Prau.g_00040, Prau.g_01551	Syac.g_01657
OG0000054	Prau.g_00644	Syac.g_00933, Syac.g_01050
OG0000055	Prau.g_00835	Syac.g_01034, Syac.g_00859
OG0000057	Prau.g_00738	Syac.g_00894
OG0000059	Prau.g_01818	Syac.g_02142
OG0000061	Prau.g_01206	Syac.g_00769
OG0000062	Prau.g_01609	Syac.g_00567
OG0000063	Prau.g_00032, Prau.g_01295	Syac.g_00037
OG0000065	Prau.g_00108	Syac.g_00396, Syac.g_00490
OG0000066	Prau.g_00579	Syac.g_01827
OG0000067	Prau.g_00854	Syac.g_01341
OG0000068	Prau.g_01409	Syac.g_01916
OG0000069	Prau.g_01285, Prau.g_01642	Syac.g_01272
OG0000070	Prau.g_00491	Syac.g_00711
OG0000071	Prau.g_01371	Syac.g_01049, Syac.g_00729
OG0000072	Prau.g_00172	Syac.g_00302
OG0000073	Prau.g_00540	Syac.g_01883
OG0000075	Prau.g_01901	Syac.g_00191
OG0000076	Prau.g_00037, Prau.g_01925	Syac.g_00156
OG0000077	Prau.g_00079	Syac.g_00439
OG0000078	Prau.g_00240	Syac.g_01964
OG0000079	Prau.g_00254	Syac.g_02211
OG0000081	Prau.g_00571	Syac.g_01954, Syac.g_00461
OG0000082	Prau.g_00624	Syac.g_01766
OG0000084	Prau.g_01524	Syac.g_00822, Syac.g_01627
OG0000085	Prau.g_01725	Syac.g_00560
OG0000086	Prau.g_00089	Syac.g_00423
OG0000087	Prau.g_00140	Syac.g_00343
OG0000088	Prau.g_00167	Syac.g_00308
OG0000089	Prau.g_00358	Syac.g_01988, Syac.g_01543
OG0000090	Prau.g_00573	Syac.g_01836
OG0000091	Prau.g_00682	Syac.g_00987
OG0000093	Prau.g_00983	Syac.g_01357
OG0000094	Prau.g_01070	Syac.g_01251
OG0000095	Prau.g_01089	Syac.g_00884
OG0000097	Prau.g_01247	Syac.g_01507
OG0000098	Prau.g_01391	Syac.g_02157
OG0000099	Prau.g_01435	Syac.g_00234
OG0000100	Prau.g_01605	Syac.g_01309
OG0000101	Prau.g_01869	Syac.g_02094
OG0000102	Prau.g_01930	Syac.g_00151
OG0000103	Prau.g_02009	Syac.g_02476
OG0000104	Prau.g_02018	Syac.g_02490
OG0000105	Prau.g_00276	Syac.g_02245
OG0000106	Prau.g_00373	Syac.g_01098
OG0000107	Prau.g_00389	Syac.g_02191
OG0000108	Prau.g_00521	Syac.g_01904
OG0000109	Prau.g_00535	Syac.g_01889
OG0000110	Prau.g_00614	Syac.g_01778
OG0000111	Prau.g_00739	Syac.g_00893
OG0000112	Prau.g_00818	Syac.g_01173
OG0000113	Prau.g_00876	Syac.g_01314
OG0000114	Prau.g_00956	Syac.g_01394
OG0000115	Prau.g_01148	Syac.g_01655
OG0000116	Prau.g_01197	Syac.g_00753
OG0000117	Prau.g_01318	Syac.g_01477
OG0000118	Prau.g_01383	Syac.g_01728
OG0000120	Prau.g_01430	Syac.g_00233
OG0000121	Prau.g_01533	Syac.g_01635
OG0000122	Prau.g_01571	Syac.g_01013
OG0000123	Prau.g_01876	Syac.g_02086
OG0000124	Prau.g_01941	Syac.g_00135
OG0000125	Prau.g_01978	Syac.g_02360
OG0000126	Prau.g_02017	Syac.g_02488
OG0000127	Prau.g_01292	Syac.g_01547
OG0000128	Prau.g_00011	Syac.g_00012
OG0000129	Prau.g_00051	Syac.g_02349
OG0000130	Prau.g_00071	Syac.g_00450
OG0000131	Prau.g_00146	Syac.g_00330
OG0000132	Prau.g_00165	Syac.g_00310
OG0000133	Prau.g_00324	Syac.g_01178
OG0000134	Prau.g_00359	Syac.g_01985
OG0000135	Prau.g_00386	Syac.g_02398
OG0000136	Prau.g_00482	Syac.g_00701
OG0000137	Prau.g_00516	Syac.g_01700
OG0000138	Prau.g_00536	Syac.g_01888
OG0000139	Prau.g_00577	Syac.g_01830
OG0000140	Prau.g_00578	Syac.g_01829
OG0000141	Prau.g_00645	Syac.g_00934
OG0000142	Prau.g_00675	Syac.g_00979
OG0000143	Prau.g_00679	Syac.g_00983
OG0000144	Prau.g_00692	Syac.g_01090
OG0000145	Prau.g_00816	Syac.g_01882
OG0000146	Prau.g_00819	Syac.g_01172
OG0000147	Prau.g_00820	Syac.g_01171
OG0000148	Prau.g_00870	Syac.g_01320
OG0000149	Prau.g_00900	Syac.g_00832
OG0000150	Prau.g_00909	Syac.g_00935
OG0000151	Prau.g_00966	Syac.g_01383
OG0000152	Prau.g_01015	Syac.g_01182
OG0000153	Prau.g_01034	Syac.g_01217
OG0000154	Prau.g_01063	Syac.g_01241
OG0000155	Prau.g_01226	Syac.g_00804
OG0000156	Prau.g_01359	Syac.g_00743
OG0000157	Prau.g_01360	Syac.g_00742
OG0000158	Prau.g_01436	Syac.g_00182
OG0000160	Prau.g_01532	Syac.g_01633
OG0000161	Prau.g_01538	Syac.g_01641
OG0000162	Prau.g_01544	Syac.g_01648
OG0000163	Prau.g_01578	Syac.g_00619
OG0000164	Prau.g_01756	Syac.g_00508
OG0000165	Prau.g_01763	Syac.g_00674
OG0000166	Prau.g_01833	Syac.g_02132
OG0000167	Prau.g_01899	Syac.g_00194
OG0000168	Prau.g_01909	Syac.g_00179
OG0000169	Prau.g_01919	Syac.g_00168
OG0000170	Prau.g_01921	Syac.g_00161
OG0000171	Prau.g_01940	Syac.g_00136
OG0000172	Prau.g_01949	Syac.g_00084
OG0000173	Prau.g_01964	Syac.g_00057
OG0000174	Prau.g_01991	Syac.g_02401
OG0000175	Prau.g_02001	Syac.g_02465
OG0000176	Prau.g_00004	Syac.g_00004
OG0000177	Prau.g_00005	Syac.g_00005
OG0000178	Prau.g_00006	Syac.g_00006
OG0000179	Prau.g_00016	Syac.g_00019
OG0000180	Prau.g_00017	Syac.g_00020
OG0000181	Prau.g_00018	Syac.g_00021
OG0000182	Prau.g_00019	Syac.g_00022
OG0000183	Prau.g_00023	Syac.g_00026
OG0000184	Prau.g_00054	Syac.g_02339
OG0000185	Prau.g_00057	Syac.g_02336
OG0000186	Prau.g_00066	Syac.g_00454
OG0000187	Prau.g_00067	Syac.g_00453
OG0000188	Prau.g_00083	Syac.g_00433
OG0000189	Prau.g_00097	Syac.g_00408
OG0000190	Prau.g_00098	Syac.g_00406
OG0000191	Prau.g_00118	Syac.g_00373
OG0000192	Prau.g_00122	Syac.g_00368
OG0000193	Prau.g_00147	Syac.g_00329
OG0000194	Prau.g_00150	Syac.g_00326
OG0000195	Prau.g_00152	Syac.g_00324
OG0000196	Prau.g_00162	Syac.g_00313
OG0000197	Prau.g_00163	Syac.g_00312
OG0000198	Prau.g_00164	Syac.g_00311
OG0000199	Prau.g_00171	Syac.g_00303
OG0000200	Prau.g_00185	Syac.g_02261
OG0000201	Prau.g_00193	Syac.g_02278
OG0000202	Prau.g_00194	Syac.g_02279
OG0000203	Prau.g_00195	Syac.g_02280
OG0000204	Prau.g_00196	Syac.g_02281
OG0000205	Prau.g_00203	Syac.g_02288
OG0000206	Prau.g_00208	Syac.g_02297
OG0000207	Prau.g_00210	Syac.g_02300
OG0000208	Prau.g_00211	Syac.g_02301
OG0000209	Prau.g_00220	Syac.g_02316
OG0000210	Prau.g_00221	Syac.g_02317
OG0000211	Prau.g_00234	Syac.g_01972
OG0000212	Prau.g_00241	Syac.g_01963
OG0000213	Prau.g_00259	Syac.g_02219
OG0000214	Prau.g_00269	Syac.g_02236
OG0000215	Prau.g_00294	Syac.g_00281
OG0000216	Prau.g_00296	Syac.g_00277
OG0000217	Prau.g_00299	Syac.g_00273
OG0000218	Prau.g_00301	Syac.g_00271
OG0000219	Prau.g_00302	Syac.g_00270
OG0000220	Prau.g_00303	Syac.g_00269
OG0000221	Prau.g_00304	Syac.g_00261
OG0000222	Prau.g_00312	Syac.g_00247
OG0000223	Prau.g_00325	Syac.g_00225
OG0000224	Prau.g_00327	Syac.g_00217
OG0000225	Prau.g_00348	Syac.g_02004
OG0000226	Prau.g_00352	Syac.g_02000
OG0000227	Prau.g_00354	Syac.g_01998
OG0000228	Prau.g_00357	Syac.g_01989
OG0000229	Prau.g_00477	Syac.g_00692
OG0000230	Prau.g_00479	Syac.g_00694
OG0000231	Prau.g_00490	Syac.g_00710
OG0000232	Prau.g_00499	Syac.g_01717
OG0000233	Prau.g_00505	Syac.g_01713
OG0000234	Prau.g_00517	Syac.g_01699
OG0000235	Prau.g_00520	Syac.g_01905
OG0000236	Prau.g_00534	Syac.g_01890
OG0000237	Prau.g_00547	Syac.g_01873
OG0000238	Prau.g_00553	Syac.g_01868
OG0000239	Prau.g_00565	Syac.g_01852
OG0000240	Prau.g_00566	Syac.g_01851
OG0000241	Prau.g_00570	Syac.g_00970
OG0000242	Prau.g_00572	Syac.g_01839
OG0000243	Prau.g_00583	Syac.g_01821
OG0000244	Prau.g_00586	Syac.g_01814
OG0000245	Prau.g_00588	Syac.g_01811
OG0000246	Prau.g_00592	Syac.g_01807
OG0000247	Prau.g_00602	Syac.g_01795
OG0000248	Prau.g_00604	Syac.g_01792
OG0000249	Prau.g_00606	Syac.g_01790
OG0000250	Prau.g_00611	Syac.g_01782
OG0000251	Prau.g_00629	Syac.g_01757
OG0000252	Prau.g_00632	Syac.g_01753
OG0000253	Prau.g_00633	Syac.g_01752
OG0000254	Prau.g_00649	Syac.g_00939
OG0000255	Prau.g_00655	Syac.g_00947
OG0000256	Prau.g_00667	Syac.g_00963
OG0000257	Prau.g_00670	Syac.g_00969
OG0000258	Prau.g_00683	Syac.g_00988
OG0000259	Prau.g_00700	Syac.g_01425
OG0000260	Prau.g_00703	Syac.g_01422
OG0000261	Prau.g_00705	Syac.g_01418
OG0000262	Prau.g_00709	Syac.g_01413
OG0000263	Prau.g_00721	Syac.g_01497
OG0000264	Prau.g_00731	Syac.g_00915
OG0000265	Prau.g_00755	Syac.g_00673
OG0000266	Prau.g_00765	Syac.g_01271
OG0000267	Prau.g_00776	Syac.g_01131
OG0000268	Prau.g_00777	Syac.g_01132
OG0000269	Prau.g_00849	Syac.g_01346
OG0000270	Prau.g_00852	Syac.g_01343
OG0000271	Prau.g_00860	Syac.g_01335
OG0000272	Prau.g_00861	Syac.g_01334
OG0000273	Prau.g_00884	Syac.g_00854
OG0000274	Prau.g_00885	Syac.g_00853
OG0000275	Prau.g_00887	Syac.g_00848
OG0000276	Prau.g_00892	Syac.g_00840
OG0000277	Prau.g_00893	Syac.g_00839
OG0000278	Prau.g_00896	Syac.g_00836
OG0000279	Prau.g_00904	Syac.g_00828
OG0000280	Prau.g_00905	Syac.g_00814
OG0000281	Prau.g_00910	Syac.g_02158
OG0000282	Prau.g_00958	Syac.g_01392
OG0000283	Prau.g_00992	Syac.g_01142
OG0000284	Prau.g_00997	Syac.g_01148
OG0000285	Prau.g_01002	Syac.g_01160
OG0000286	Prau.g_01014	Syac.g_01181
OG0000287	Prau.g_01031	Syac.g_01692, Syac.g_01209
OG0000288	Prau.g_01062	Syac.g_01240
OG0000289	Prau.g_01073	Syac.g_01254
OG0000290	Prau.g_01086	Syac.g_00881
OG0000291	Prau.g_01088	Syac.g_00883
OG0000292	Prau.g_01136	Syac.g_02487
OG0000293	Prau.g_01198	Syac.g_00754
OG0000294	Prau.g_01199	Syac.g_00755
OG0000295	Prau.g_01218	Syac.g_00796
OG0000296	Prau.g_01220	Syac.g_00798
OG0000297	Prau.g_01228	Syac.g_01475
