Orthogroup	Prau	Prbj
OG0000000	Prau.g_01352	Prbj.g_00166, Prbj.g_00165
OG0000000	Prau.g_01648	Prbj.g_00164
OG0000001	Prau.g_01394	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000002	Prau.g_01402	Prbj.g_02517
OG0000002	Prau.g_00718	Prbj.g_00030
OG0000004	Prau.g_00735	Prbj.g_00754
OG0000004	Prau.g_00233	Prbj.g_01777
OG0000005	Prau.g_01607	Prbj.g_00883
OG0000006	Prau.g_01316	Prbj.g_02699
OG0000007	Prau.g_00538	Prbj.g_01610
OG0000007	Prau.g_01732	Prbj.g_00857
OG0000008	Prau.g_00781	Prbj.g_00929
OG0000009	Prau.g_00106	Prbj.g_01300, Prbj.g_00618
OG0000010	Prau.g_01698, Prau.g_01096	Prbj.g_00129
OG0000011	Prau.g_00441	Prbj.g_00897
OG0000012	Prau.g_00663	Prbj.g_02552
OG0000013	Prau.g_00329	Prbj.g_00359
OG0000014	Prau.g_00308	Prbj.g_01442
OG0000015	Prau.g_00817	Prbj.g_02502
OG0000017	Prau.g_00636	Prbj.g_01769, Prbj.g_01761
OG0000018	Prau.g_01188	Prbj.g_00641
OG0000019	Prau.g_00251, Prau.g_00834	Prbj.g_00025, Prbj.g_01349
OG0000020	Prau.g_01704	Prbj.g_00214, Prbj.g_02701
OG0000021	Prau.g_01680, Prau.g_00367	Prbj.g_01121, Prbj.g_01774
OG0000022	Prau.g_01170	Prbj.g_00050
OG0000022	Prau.g_00814	Prbj.g_01572
OG0000023	Prau.g_00362	Prbj.g_02392
OG0000024	Prau.g_00796, Prau.g_00715	Prbj.g_00773
OG0000025	Prau.g_00333, Prau.g_00888	Prbj.g_02475
OG0000026	Prau.g_00030, Prau.g_01103	Prbj.g_01204
OG0000028	Prau.g_00322	Prbj.g_01457
OG0000029	Prau.g_00804	Prbj.g_00378
OG0000030	Prau.g_01935	Prbj.g_01288, Prbj.g_01287
OG0000032	Prau.g_01475, Prau.g_01446	Prbj.g_01468
OG0000033	Prau.g_01465	Prbj.g_00518
OG0000034	Prau.g_01381	Prbj.g_01740
OG0000035	Prau.g_01531, Prau.g_01528	Prbj.g_01056
OG0000037	Prau.g_00110	Prbj.g_00624
OG0000038	Prau.g_01976	Prbj.g_01959, Prbj.g_01961
OG0000039	Prau.g_00726	Prbj.g_00429, Prbj.g_00278
OG0000041	Prau.g_01778	Prbj.g_00450
OG0000042	Prau.g_01932	Prbj.g_01808, Prbj.g_00001
OG0000045	Prau.g_01682	Prbj.g_00563
OG0000047	Prau.g_00332	Prbj.g_00666
OG0000047	Prau.g_00414	Prbj.g_02509
OG0000048	Prau.g_00377	Prbj.g_01393
OG0000053	Prau.g_00040, Prau.g_01551	Prbj.g_00638
OG0000054	Prau.g_00644	Prbj.g_01758
OG0000057	Prau.g_00738	Prbj.g_00758
OG0000059	Prau.g_01818	Prbj.g_01029
OG0000061	Prau.g_01206	Prbj.g_00971
OG0000062	Prau.g_01609	Prbj.g_00881
OG0000063	Prau.g_00032, Prau.g_01295	Prbj.g_01208
OG0000065	Prau.g_00108	Prbj.g_00620
OG0000066	Prau.g_00579	Prbj.g_02141
OG0000067	Prau.g_00854	Prbj.g_02412
OG0000068	Prau.g_01409	Prbj.g_01639
OG0000070	Prau.g_00491	Prbj.g_00118
OG0000071	Prau.g_01371	Prbj.g_01728
OG0000072	Prau.g_00172	Prbj.g_00516
OG0000073	Prau.g_00540	Prbj.g_01608
OG0000075	Prau.g_01901	Prbj.g_01502
OG0000076	Prau.g_00037, Prau.g_01925	Prbj.g_01598
OG0000077	Prau.g_00079	Prbj.g_01900, Prbj.g_00576
OG0000078	Prau.g_00240	Prbj.g_02614
OG0000079	Prau.g_00254	Prbj.g_01353
OG0000081	Prau.g_00571	Prbj.g_00799, Prbj.g_00765
OG0000082	Prau.g_00624	Prbj.g_01789
OG0000084	Prau.g_01524	Prbj.g_01052
OG0000085	Prau.g_01725	Prbj.g_00869
OG0000086	Prau.g_00089	Prbj.g_00589
OG0000087	Prau.g_00140	Prbj.g_01547
OG0000088	Prau.g_00167	Prbj.g_00521, Prbj.g_00912
OG0000089	Prau.g_00358	Prbj.g_00064
OG0000090	Prau.g_00573	Prbj.g_02127
OG0000091	Prau.g_00682	Prbj.g_02581
OG0000093	Prau.g_00983	Prbj.g_02388
OG0000094	Prau.g_01070	Prbj.g_01985
OG0000095	Prau.g_01089	Prbj.g_01838
OG0000097	Prau.g_01247	Prbj.g_02152
OG0000098	Prau.g_01391	Prbj.g_00669
OG0000099	Prau.g_01435	Prbj.g_01464
OG0000100	Prau.g_01605	Prbj.g_00185, Prbj.g_02442
OG0000101	Prau.g_01869	Prbj.g_00415, Prbj.g_00981
OG0000102	Prau.g_01930	Prbj.g_01819
OG0000103	Prau.g_02009	Prbj.g_02055
OG0000104	Prau.g_02018	Prbj.g_02069
OG0000105	Prau.g_00276	Prbj.g_01397
OG0000106	Prau.g_00373	Prbj.g_00875
OG0000107	Prau.g_00389	Prbj.g_02659
OG0000108	Prau.g_00521	Prbj.g_01630
OG0000109	Prau.g_00535	Prbj.g_01614
OG0000110	Prau.g_00614	Prbj.g_01801
OG0000111	Prau.g_00739	Prbj.g_00759
OG0000112	Prau.g_00818	Prbj.g_02276
OG0000113	Prau.g_00876	Prbj.g_02437
OG0000114	Prau.g_00956	Prbj.g_02340
OG0000115	Prau.g_01148	Prbj.g_00634
OG0000116	Prau.g_01197	Prbj.g_00956
