Orthogroup	Prau	Prbk
OG0000000	Prau.g_01352	Prbk.g_00167, Prbk.g_00166
OG0000000	Prau.g_01648	Prbk.g_00165
OG0000001	Prau.g_01394	Prbk.g_01196, Prbk.g_00170, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630
OG0000002	Prau.g_01402	Prbk.g_02574
OG0000002	Prau.g_00718	Prbk.g_01649
OG0000004	Prau.g_00735	Prbk.g_01760
OG0000004	Prau.g_00233	Prbk.g_01134
OG0000005	Prau.g_01607	Prbk.g_00933
OG0000006	Prau.g_01316	Prbk.g_02695
OG0000007	Prau.g_01732	Prbk.g_00907
OG0000008	Prau.g_00781	Prbk.g_01819
OG0000009	Prau.g_00106	Prbk.g_01932, Prbk.g_00013
OG0000010	Prau.g_01698, Prau.g_01096	Prbk.g_02112
OG0000011	Prau.g_00441	Prbk.g_01851
OG0000012	Prau.g_00663	Prbk.g_02610
OG0000013	Prau.g_00329	Prbk.g_00853
OG0000014	Prau.g_00308	Prbk.g_00454
OG0000015	Prau.g_00817	Prbk.g_02558
OG0000017	Prau.g_00636	Prbk.g_01142, Prbk.g_01150
OG0000018	Prau.g_01188	Prbk.g_01227
OG0000019	Prau.g_00251, Prau.g_00834	Prbk.g_01644, Prbk.g_01004
OG0000020	Prau.g_01704	Prbk.g_01331, Prbk.g_02697
OG0000021	Prau.g_01680, Prau.g_00367	Prbk.g_01960, Prbk.g_01137
OG0000022	Prau.g_01170	Prbk.g_01667
OG0000022	Prau.g_00814	Prbk.g_00212
OG0000023	Prau.g_00362	Prbk.g_02448
OG0000024	Prau.g_00796, Prau.g_00715	Prbk.g_01780
OG0000025	Prau.g_00333, Prau.g_00888	Prbk.g_02531
OG0000026	Prau.g_00030, Prau.g_01103	Prbk.g_01617
OG0000028	Prau.g_00322	Prbk.g_00469
OG0000029	Prau.g_00804	Prbk.g_00833
OG0000030	Prau.g_01935	Prbk.g_01532, Prbk.g_01533
OG0000032	Prau.g_01475, Prau.g_01446	Prbk.g_00480
OG0000033	Prau.g_01465	Prbk.g_00776
OG0000034	Prau.g_01381	Prbk.g_01171
OG0000035	Prau.g_01531, Prau.g_01528	Prbk.g_00259
OG0000037	Prau.g_00110	Prbk.g_00007
OG0000038	Prau.g_01976	Prbk.g_02164, Prbk.g_02166
OG0000039	Prau.g_00726	Prbk.g_01385, Prbk.g_00642
OG0000041	Prau.g_01778	Prbk.g_01406
OG0000042	Prau.g_01932	Prbk.g_01495, Prbk.g_00140
OG0000045	Prau.g_01682	Prbk.g_01321
OG0000047	Prau.g_00332	Prbk.g_01202
OG0000047	Prau.g_00414	Prbk.g_02565
OG0000048	Prau.g_00377	Prbk.g_00405
OG0000053	Prau.g_00040, Prau.g_01551	Prbk.g_01230
OG0000054	Prau.g_00644	Prbk.g_01153
OG0000057	Prau.g_00738	Prbk.g_01765
OG0000059	Prau.g_01818	Prbk.g_00992
OG0000061	Prau.g_01206	Prbk.g_01019
OG0000062	Prau.g_01609	Prbk.g_00931
