Orthogroup	Prau	Syad
OG0000001	Prau.g_01394	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611
OG0000002	Prau.g_01402, Prau.g_00718	Syad.g_00619
OG0000004	Prau.g_00735	Syad.g_01304
OG0000004	Prau.g_00233	Syad.g_02184, Syad.g_00810
OG0000005	Prau.g_01745	Syad.g_02639
OG0000005	Prau.g_01607	Syad.g_02596
OG0000006	Prau.g_01316	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Prau.g_00538	Syad.g_00923
OG0000007	Prau.g_01732	Syad.g_02623
OG0000009	Prau.g_01324, Prau.g_01641	Syad.g_01952, Syad.g_00868
OG0000009	Prau.g_00106	Syad.g_02799
OG0000010	Prau.g_01698, Prau.g_01096	Syad.g_02354
OG0000011	Prau.g_00441	Syad.g_02006
OG0000012	Prau.g_00663	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Prau.g_00329	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Prau.g_00308	Syad.g_00480
OG0000015	Prau.g_00817	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Prau.g_00013	Syad.g_00176
OG0000017	Prau.g_00636	Syad.g_01084, Syad.g_01091
OG0000018	Prau.g_01188	Syad.g_02306
OG0000019	Prau.g_00251, Prau.g_00834	Syad.g_00569
OG0000020	Prau.g_01153, Prau.g_01704	Syad.g_00845
OG0000021	Prau.g_01680, Prau.g_00367	Syad.g_01835, Syad.g_00874
OG0000022	Prau.g_01170	Syad.g_02090
OG0000023	Prau.g_00362	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prau.g_00796, Prau.g_00715	Syad.g_01374
OG0000025	Prau.g_00333, Prau.g_00888	Syad.g_01241
OG0000026	Prau.g_00030, Prau.g_01103	Syad.g_00198
OG0000027	Prau.g_01353	Syad.g_01257
OG0000028	Prau.g_01338, Prau.g_00322	Syad.g_00463
OG0000029	Prau.g_00804, Prau.g_00378	Syad.g_02099
OG0000030	Prau.g_01935	Syad.g_00328, Syad.g_00327
OG0000033	Prau.g_01465	Syad.g_02903
OG0000034	Prau.g_01381	Syad.g_02420, Syad.g_02872
OG0000035	Prau.g_01531, Prau.g_01528	Syad.g_02275
OG0000037	Prau.g_00110	Syad.g_02805
OG0000038	Prau.g_01976	Syad.g_03038
OG0000039	Prau.g_00726	Syad.g_01249, Syad.g_01111
OG0000040	Prau.g_01187	Syad.g_00104
OG0000041	Prau.g_01778	Syad.g_02498, Syad.g_01281
OG0000042	Prau.g_01932	Syad.g_00333
OG0000045	Prau.g_01682	Syad.g_00964
OG0000047	Prau.g_00332, Prau.g_00414	Syad.g_00754
OG0000048	Prau.g_00377	Syad.g_00534
OG0000050	Prau.g_01123	Syad.g_02478
OG0000051	Prau.g_01347	Syad.g_00842
OG0000053	Prau.g_00040, Prau.g_01551	Syad.g_02302
OG0000054	Prau.g_00644	Syad.g_02209
OG0000055	Prau.g_00835	Syad.g_01255
OG0000057	Prau.g_00738	Syad.g_01301
OG0000059	Prau.g_01818	Syad.g_00642
OG0000061	Prau.g_01206	Syad.g_01152
OG0000062	Prau.g_01609	Syad.g_02598
OG0000063	Prau.g_00032, Prau.g_01295	Syad.g_00202
OG0000065	Prau.g_00108	Syad.g_02801, Syad.g_02574
OG0000066	Prau.g_00579	Syad.g_00992
OG0000067	Prau.g_00854	Syad.g_01889
OG0000068	Prau.g_01409	Syad.g_00891
OG0000070	Prau.g_00491	Syad.g_02424
OG0000071	Prau.g_01371	Syad.g_02405
OG0000072	Prau.g_00172	Syad.g_02905
OG0000073	Prau.g_00540	Syad.g_00926
OG0000075	Prau.g_01901	Syad.g_00416
OG0000076	Prau.g_00037, Prau.g_01925	Syad.g_00348
OG0000077	Prau.g_00079	Syad.g_02741
OG0000078	Prau.g_00240	Syad.g_00824
OG0000079	Prau.g_00254	Syad.g_00565
OG0000081	Prau.g_00571	Syad.g_00833
OG0000082	Prau.g_00624	Syad.g_01063
OG0000084	Prau.g_01524	Syad.g_02272
OG0000085	Prau.g_01725	Syad.g_02612
OG0000086	Prau.g_00089	Syad.g_02770
OG0000087	Prau.g_00140	Syad.g_02860
OG0000088	Prau.g_00167	Syad.g_02899
OG0000089	Prau.g_00358	Syad.g_00785, Syad.g_02829
OG0000090	Prau.g_00573	Syad.g_00977
OG0000091	Prau.g_00682	Syad.g_02144
OG0000092	Prau.g_00052, Prau.g_00451	Syad.g_01190
OG0000093	Prau.g_00983	Syad.g_01905
OG0000094	Prau.g_01070	Syad.g_01676
OG0000095	Prau.g_01089	Syad.g_01290
OG0000097	Prau.g_01247	Syad.g_01458
OG0000098	Prau.g_01391	Syad.g_00625
OG0000099	Prau.g_01435	Syad.g_00460
OG0000100	Prau.g_01605	Syad.g_01846
OG0000101	Prau.g_01869	Syad.g_00694
OG0000102	Prau.g_01930	Syad.g_00343
OG0000103	Prau.g_02009	Syad.g_00143
OG0000104	Prau.g_02018	Syad.g_00158
OG0000105	Prau.g_00276	Syad.g_00530
OG0000106	Prau.g_00373	Syad.g_01993
OG0000107	Prau.g_00389	Syad.g_00590
OG0000108	Prau.g_00521	Syad.g_00904
OG0000109	Prau.g_00535	Syad.g_00919
OG0000110	Prau.g_00614	Syad.g_01048
OG0000111	Prau.g_00739	Syad.g_01300
OG0000112	Prau.g_00818	Syad.g_01766
OG0000113	Prau.g_00876	Syad.g_01851
OG0000114	Prau.g_00956	Syad.g_01617
OG0000115	Prau.g_01148	Syad.g_02300
OG0000116	Prau.g_01197	Syad.g_01123
OG0000117	Prau.g_01318	Syad.g_01510
OG0000118	Prau.g_01383	Syad.g_01104
OG0000119	Prau.g_01405	Syad.g_01168
OG0000120	Prau.g_01430	Syad.g_00459
OG0000121	Prau.g_01533	Syad.g_02280
OG0000122	Prau.g_01571	Syad.g_02122
OG0000123	Prau.g_01876	Syad.g_00701
OG0000124	Prau.g_01941	Syad.g_00320
OG0000125	Prau.g_01978	Syad.g_03040
OG0000126	Prau.g_02017	Syad.g_00156
OG0000127	Prau.g_01292	Syad.g_02710, Syad.g_00058, Syad.g_00383
OG0000128	Prau.g_00011	Syad.g_00174
OG0000129	Prau.g_00051	Syad.g_03028
OG0000130	Prau.g_00071	Syad.g_02728
OG0000131	Prau.g_00146	Syad.g_02876
OG0000132	Prau.g_00165	Syad.g_02897
OG0000133	Prau.g_00324	Syad.g_01761
OG0000134	Prau.g_00359	Syad.g_00788
OG0000135	Prau.g_00386	Syad.g_00063
OG0000136	Prau.g_00482	Syad.g_02445
OG0000137	Prau.g_00516	Syad.g_02353
OG0000138	Prau.g_00536	Syad.g_00920
OG0000139	Prau.g_00577	Syad.g_00983
OG0000140	Prau.g_00578	Syad.g_00987
OG0000141	Prau.g_00645	Syad.g_02208
OG0000142	Prau.g_00675	Syad.g_02152
OG0000143	Prau.g_00679	Syad.g_02148
OG0000144	Prau.g_00692	Syad.g_02024
OG0000145	Prau.g_00816	Syad.g_00927
OG0000146	Prau.g_00819	Syad.g_01767
OG0000147	Prau.g_00820	Syad.g_01768
OG0000148	Prau.g_00870	Syad.g_01861
OG0000149	Prau.g_00900	Syad.g_01221
OG0000150	Prau.g_00909	Syad.g_02207, Syad.g_00989
OG0000151	Prau.g_00966	Syad.g_01956
OG0000152	Prau.g_01015	Syad.g_01757
OG0000153	Prau.g_01034	Syad.g_01713
OG0000154	Prau.g_01063	Syad.g_01686
OG0000155	Prau.g_01226	Syad.g_01189
OG0000156	Prau.g_01359	Syad.g_01116
OG0000157	Prau.g_01360	Syad.g_01115
OG0000158	Prau.g_01436	Syad.g_00374
OG0000160	Prau.g_01532	Syad.g_02279
OG0000161	Prau.g_01538	Syad.g_02287
OG0000162	Prau.g_01544	Syad.g_02293
OG0000163	Prau.g_01578	Syad.g_02542
OG0000164	Prau.g_01756	Syad.g_02659
OG0000165	Prau.g_01763	Syad.g_02476
OG0000166	Prau.g_01833	Syad.g_00654
OG0000167	Prau.g_01899	Syad.g_00419
OG0000168	Prau.g_01909	Syad.g_00371
OG0000169	Prau.g_01919	Syad.g_00360
OG0000170	Prau.g_01921	Syad.g_00353
OG0000171	Prau.g_01940	Syad.g_00321
OG0000172	Prau.g_01949	Syad.g_00244
OG0000173	Prau.g_01964	Syad.g_00220
OG0000174	Prau.g_01991	Syad.g_00065
OG0000175	Prau.g_02001	Syad.g_00129
OG0000176	Prau.g_00004	Syad.g_00166
OG0000177	Prau.g_00005	Syad.g_00167
OG0000178	Prau.g_00006	Syad.g_00168
OG0000179	Prau.g_00016	Syad.g_00183
OG0000180	Prau.g_00017	Syad.g_00184
OG0000181	Prau.g_00018	Syad.g_00185
OG0000182	Prau.g_00019	Syad.g_00186
OG0000183	Prau.g_00023	Syad.g_00190
OG0000184	Prau.g_00054	Syad.g_03018
OG0000185	Prau.g_00057	Syad.g_03006
OG0000186	Prau.g_00066	Syad.g_02722
OG0000187	Prau.g_00067	Syad.g_02724
OG0000188	Prau.g_00083	Syad.g_02759
OG0000189	Prau.g_00097	Syad.g_02788
OG0000190	Prau.g_00098	Syad.g_02790
OG0000191	Prau.g_00118	Syad.g_02824
OG0000192	Prau.g_00122	Syad.g_02834
OG0000193	Prau.g_00147	Syad.g_02877
OG0000194	Prau.g_00150	Syad.g_02880
OG0000195	Prau.g_00152	Syad.g_02884
OG0000196	Prau.g_00162	Syad.g_02894
OG0000197	Prau.g_00163	Syad.g_02895
OG0000198	Prau.g_00164	Syad.g_02896
OG0000199	Prau.g_00171	Syad.g_02904
OG0000200	Prau.g_00185	Syad.g_02921
OG0000201	Prau.g_00193	Syad.g_02937
OG0000202	Prau.g_00194	Syad.g_02938
OG0000203	Prau.g_00195	Syad.g_02939
OG0000204	Prau.g_00196	Syad.g_02940
OG0000205	Prau.g_00203	Syad.g_02948
OG0000206	Prau.g_00208	Syad.g_02955
OG0000207	Prau.g_00210	Syad.g_02957
OG0000208	Prau.g_00211	Syad.g_02958
OG0000209	Prau.g_00220	Syad.g_02981
OG0000210	Prau.g_00221	Syad.g_02982
OG0000211	Prau.g_00234	Syad.g_00813
OG0000212	Prau.g_00241	Syad.g_00825
OG0000213	Prau.g_00259	Syad.g_00556
OG0000214	Prau.g_00269	Syad.g_00538
OG0000215	Prau.g_00294	Syad.g_00508
OG0000216	Prau.g_00296	Syad.g_00504, Syad.g_00285
