Orthogroup	Prau	Syah
OG0000001	Prau.g_01394	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710
OG0000002	Prau.g_01402, Prau.g_00718	Syah.g_01829
OG0000004	Prau.g_00735	Syah.g_02017
OG0000004	Prau.g_00233	Syah.g_01967, Syah.g_00901
OG0000005	Prau.g_01745	Syah.g_02403
OG0000005	Prau.g_01607	Syah.g_02363
OG0000006	Prau.g_01316	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prau.g_00538	Syah.g_01016
OG0000007	Prau.g_01732	Syah.g_02384
OG0000008	Prau.g_00781	Syah.g_01994
OG0000009	Prau.g_01324, Prau.g_01641	Syah.g_02457
OG0000009	Prau.g_00106	Syah.g_01910, Syah.g_02535
OG0000010	Prau.g_01698, Prau.g_01096	Syah.g_01220
OG0000011	Prau.g_01307, Prau.g_01335	Syah.g_01991
OG0000012	Prau.g_00663	Syah.g_01960, Syah.g_02169, Syah.g_01340
OG0000013	Prau.g_00329	Syah.g_00822, Syah.g_00831, Syah.g_00817
OG0000014	Prau.g_00308	Syah.g_00127
OG0000014	Prau.g_01470	Syah.g_00323
OG0000015	Prau.g_00817	Syah.g_01511, Syah.g_01510
OG0000016	Prau.g_00013	Syah.g_00359
OG0000017	Prau.g_00636	Syah.g_01152, Syah.g_01159
OG0000018	Prau.g_01188	Syah.g_01264
OG0000019	Prau.g_00251, Prau.g_00834	Syah.g_00669
OG0000022	Prau.g_01170	Syah.g_01881
OG0000023	Prau.g_00362	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prau.g_00796, Prau.g_00715	Syah.g_01990
OG0000025	Prau.g_00333, Prau.g_00888	Syah.g_02082
OG0000026	Prau.g_00030, Prau.g_01103	Syah.g_00340
OG0000027	Prau.g_01353	Syah.g_01541
OG0000028	Prau.g_01338, Prau.g_00322	Syah.g_00141
OG0000029	Prau.g_00804, Prau.g_00378	Syah.g_01292
OG0000030	Prau.g_01935	Syah.g_00264, Syah.g_00265
OG0000031	Prau.g_01469	Syah.g_00322
OG0000033	Prau.g_01465	Syah.g_00078
OG0000034	Prau.g_01381	Syah.g_00048, Syah.g_02213
OG0000035	Prau.g_01531, Prau.g_01528	Syah.g_01293
OG0000037	Prau.g_00110	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prau.g_01976	Syah.g_00508, Syah.g_00506
OG0000039	Prau.g_00726	Syah.g_02074
OG0000040	Prau.g_01662	Syah.g_01908
OG0000040	Prau.g_01187	Syah.g_00431
OG0000041	Prau.g_01778	Syah.g_02271, Syah.g_02039
OG0000042	Prau.g_01932	Syah.g_00261
OG0000043	Prau.g_01321	Syah.g_02119
OG0000045	Prau.g_00374	Syah.g_01872
OG0000045	Prau.g_01682	Syah.g_02356
OG0000047	Prau.g_00332, Prau.g_00414	Syah.g_00847
OG0000048	Prau.g_00377	Syah.g_00637
OG0000050	Prau.g_01123	Syah.g_00941
OG0000051	Prau.g_01347	Syah.g_02473
