Orthogroup	Prau	Prah
OG0000000	Prau.g_01352	Prah.g_01346, Prah.g_01347
OG0000000	Prau.g_01648	Prah.g_01348
OG0000001	Prau.g_01394	Prah.g_00324, Prah.g_01343, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000002	Prau.g_01402	Prah.g_00562
OG0000002	Prau.g_00718	Prah.g_01226
OG0000004	Prau.g_00735	Prah.g_01022
OG0000004	Prau.g_00233	Prah.g_01413
OG0000005	Prau.g_01607	Prah.g_01652
OG0000006	Prau.g_01316	Prah.g_00475, Prah.g_01767
OG0000007	Prau.g_00538	Prah.g_01546
OG0000007	Prau.g_01732	Prah.g_01676
OG0000008	Prau.g_00781	Prah.g_00970
OG0000009	Prau.g_00106	Prah.g_00432, Prah.g_01895
OG0000010	Prau.g_01698, Prau.g_01096	Prah.g_00311
OG0000011	Prau.g_00441	Prah.g_01084
OG0000012	Prau.g_00663	Prah.g_00524
OG0000013	Prau.g_00329	Prah.g_01956
OG0000014	Prau.g_00308	Prah.g_02171
OG0000015	Prau.g_00817	Prah.g_01155, Prah.g_00576
OG0000016	Prau.g_00013	Prah.g_00015
OG0000017	Prau.g_00636	Prah.g_01405, Prah.g_01397
OG0000018	Prau.g_01188	Prah.g_00378
OG0000019	Prau.g_00251, Prau.g_00834	Prah.g_02086
OG0000020	Prau.g_01704	Prah.g_01100
OG0000021	Prau.g_01680, Prau.g_00367	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Prau.g_01170	Prah.g_01209
OG0000022	Prau.g_00814	Prah.g_00170
OG0000023	Prau.g_00362	Prah.g_00688
OG0000024	Prau.g_00796, Prau.g_00715	Prah.g_01043
OG0000025	Prau.g_00333, Prau.g_00888	Prah.g_00604
OG0000026	Prau.g_00030, Prau.g_01103	Prah.g_00038
OG0000028	Prau.g_00322	Prah.g_02184
OG0000029	Prau.g_00804	Prah.g_01972
OG0000030	Prau.g_01935	Prah.g_00132, Prah.g_00131
OG0000032	Prau.g_01475, Prau.g_01446	Prah.g_02196
OG0000033	Prau.g_01465	Prah.g_02307
OG0000034	Prau.g_01381	Prah.g_01376
OG0000035	Prau.g_01531, Prau.g_01528	Prah.g_00408
OG0000037	Prau.g_00110	Prah.g_01901
OG0000038	Prau.g_01976	Prah.g_02494, Prah.g_02496
OG0000039	Prau.g_00726	Prah.g_01758, Prah.g_02382
OG0000041	Prau.g_01778	Prah.g_01737
OG0000042	Prau.g_01932	Prah.g_00135, Prah.g_01256
OG0000043	Prau.g_01321	Prah.g_01190
OG0000045	Prau.g_01682	Prah.g_01837
OG0000047	Prau.g_00332	Prah.g_00353
OG0000047	Prau.g_00414	Prah.g_00321, Prah.g_00322
OG0000048	Prau.g_00377	Prah.g_02122
OG0000050	Prau.g_01123	Prah.g_01120
OG0000053	Prau.g_00040, Prau.g_01551	Prah.g_00381
OG0000054	Prau.g_00644	Prah.g_01394
OG0000055	Prau.g_00835	Prah.g_00942
OG0000057	Prau.g_00738	Prah.g_01027
OG0000059	Prau.g_01818	Prah.g_02043
OG0000061	Prau.g_01206	Prah.g_01322
OG0000062	Prau.g_01609	Prah.g_01654
OG0000063	Prau.g_00032, Prau.g_01295	Prah.g_00042
