Orthogroup	Prbk	Pran
OG0000000	Prbk.g_00165	Pran.g_00601, Pran.g_00931, Pran.g_01423
OG0000000	Prbk.g_00167	Pran.g_00579, Pran.g_00001, Pran.g_00602, Pran.g_00593
OG0000001	Prbk.g_01649	Pran.g_01500
OG0000004	Prbk.g_00166	Pran.g_00894, Pran.g_00580
OG0000005	Prbk.g_01701, Prbk.g_00355	Pran.g_01436
OG0000008	Prbk.g_00907	Pran.g_00970
OG0000010	Prbk.g_01004	Pran.g_01363, Pran.g_01943
OG0000011	Prbk.g_00833	Pran.g_01410
OG0000012	Prbk.g_00405	Pran.g_01772
OG0000013	Prbk.g_01932, Prbk.g_00013	Pran.g_00615, Pran.g_00328
OG0000014	Prbk.g_00454	Pran.g_00754, Pran.g_00755
OG0000015	Prbk.g_01202	Pran.g_01864
OG0000016	Prbk.g_02558	Pran.g_01394
OG0000018	Prbk.g_01142, Prbk.g_01150	Pran.g_01580
OG0000020	Prbk.g_01746, Prbk.g_01786	Pran.g_00845
OG0000021	Prbk.g_01230	Pran.g_00713
OG0000022	Prbk.g_02695	Pran.g_01951
OG0000023	Prbk.g_01137	Pran.g_01829
OG0000025	Prbk.g_01780	Pran.g_01420
OG0000027	Prbk.g_01820	Pran.g_01506
OG0000028	Prbk.g_01819	Pran.g_00642
OG0000031	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215	Pran.g_01167
OG0000032	Prbk.g_01613	Pran.g_00391
OG0000034	Prbk.g_00259	Pran.g_00733
OG0000037	Prbk.g_01709	Pran.g_00898, Pran.g_00944
OG0000040	Prbk.g_01851	Pran.g_00925
OG0000041	Prbk.g_02610	Pran.g_01555
OG0000045	Prbk.g_01122	Pran.g_01593
OG0000046	Prbk.g_01667, Prbk.g_00212	Pran.g_01401
OG0000047	Prbk.g_01019	Pran.g_00060
OG0000048	Prbk.g_00499	Pran.g_00777
OG0000049	Prbk.g_00479	Pran.g_00807
OG0000050	Prbk.g_01836, Prbk.g_00773	Pran.g_00266
OG0000051	Prbk.g_02448	Pran.g_01834
OG0000053	Prbk.g_01835, Prbk.g_00619	Pran.g_01460
OG0000054	Prbk.g_00919	Pran.g_00963
OG0000055	Prbk.g_00237	Pran.g_01160
OG0000056	Prbk.g_01617	Pran.g_00393, Pran.g_00930
OG0000057	Prbk.g_00764	Pran.g_00275
OG0000058	Prbk.g_00925	Pran.g_01824
OG0000059	Prbk.g_01094	Pran.g_01639
OG0000060	Prbk.g_00605	Pran.g_01447
OG0000061	Prbk.g_01468	Pran.g_01408, Pran.g_01379
OG0000062	Prbk.g_02493	Pran.g_01321
OG0000063	Prbk.g_00694	Pran.g_00108, Pran.g_00935
OG0000066	Prbk.g_02113	Pran.g_01703
OG0000067	Prbk.g_01765	Pran.g_01480
OG0000070	Prbk.g_00056	Pran.g_00903, Pran.g_00568
OG0000071	Prbk.g_01496	Pran.g_01466
OG0000072	Prbk.g_01183	Pran.g_00938, Pran.g_00876
OG0000074	Prbk.g_00477	Pran.g_00752
OG0000075	Prbk.g_00796, Prbk.g_00944	Pran.g_01105
OG0000077	Prbk.g_02290	Pran.g_01268
OG0000078	Prbk.g_00472	Pran.g_01872
OG0000079	Prbk.g_02209	Pran.g_01812
OG0000080	Prbk.g_00709	Pran.g_01509
OG0000081	Prbk.g_01815	Pran.g_01487
OG0000082	Prbk.g_02475	Pran.g_01336
OG0000084	Prbk.g_02324	Pran.g_00487
OG0000085	Prbk.g_02271	Pran.g_00135
OG0000086	Prbk.g_02195	Pran.g_00093
OG0000090	Prbk.g_00476	Pran.g_00806
OG0000091	Prbk.g_00275	Pran.g_00725, Pran.g_00787
OG0000092	Prbk.g_02012	Pran.g_00575, Pran.g_00912
OG0000094	Prbk.g_00948	Pran.g_01102
OG0000095	Prbk.g_00512	Pran.g_01135
OG0000096	Prbk.g_01603	Pran.g_01204
OG0000097	Prbk.g_02204	Pran.g_01222
OG0000098	Prbk.g_02281	Pran.g_01260
