Orthogroup	Prbk	Praz
OG0000000	Prbk.g_00165	Praz.g_00921
OG0000000	Prbk.g_00167	Praz.g_00922, Praz.g_00694
OG0000001	Prbk.g_02574	Praz.g_01146
OG0000001	Prbk.g_01649	Praz.g_01652
OG0000002	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Praz.g_01154
OG0000004	Prbk.g_00166	Praz.g_01200, Praz.g_00920
OG0000005	Prbk.g_01701, Prbk.g_00355	Praz.g_01576
OG0000008	Prbk.g_00907	Praz.g_00877
OG0000009	Prbk.g_01337, Prbk.g_02672, Prbk.g_01344, Prbk.g_02680, Prbk.g_02591	Praz.g_01253
OG0000010	Prbk.g_01004	Praz.g_01532, Praz.g_00609
OG0000011	Prbk.g_00833	Praz.g_00799, Praz.g_01564
OG0000013	Prbk.g_01932, Prbk.g_00013	Praz.g_00929, Praz.g_00465
OG0000015	Prbk.g_02565	Praz.g_01921
OG0000015	Prbk.g_01202	Praz.g_00687
OG0000016	Prbk.g_02558	Praz.g_01551
OG0000018	Prbk.g_01142, Prbk.g_01150	Praz.g_01732
OG0000020	Prbk.g_01746, Prbk.g_01786	Praz.g_01143
OG0000022	Prbk.g_02695	Praz.g_00601
OG0000023	Prbk.g_01137	Praz.g_00896, Praz.g_00810
OG0000024	Prbk.g_01737	Praz.g_01208
OG0000025	Prbk.g_01780	Praz.g_01571
OG0000027	Prbk.g_01820	Praz.g_01658, Praz.g_01241
OG0000031	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215	Praz.g_00198
OG0000032	Prbk.g_01613	Praz.g_00398
OG0000034	Prbk.g_00259	Praz.g_01041
OG0000037	Prbk.g_01709	Praz.g_01204
OG0000038	Prbk.g_00534, Prbk.g_00539	Praz.g_01116
OG0000040	Prbk.g_01851	Praz.g_01207, Praz.g_00768
OG0000041	Prbk.g_02610	Praz.g_01707
OG0000045	Prbk.g_01122	Praz.g_01744
OG0000046	Prbk.g_01667, Prbk.g_00212	Praz.g_01556
OG0000047	Prbk.g_01019	Praz.g_00755
OG0000049	Prbk.g_00479	Praz.g_01096
OG0000050	Prbk.g_01836, Prbk.g_00773	Praz.g_00526
OG0000051	Prbk.g_02448	Praz.g_00814
OG0000053	Prbk.g_01835, Prbk.g_00619	Praz.g_01607
OG0000054	Prbk.g_00919	Praz.g_00884
OG0000055	Prbk.g_00237	Praz.g_00205
OG0000056	Prbk.g_01617	Praz.g_00396
OG0000057	Prbk.g_00764	Praz.g_00517
OG0000058	Prbk.g_00925	Praz.g_00804
OG0000059	Prbk.g_01094	Praz.g_01789
OG0000061	Prbk.g_01468	Praz.g_01561
OG0000062	Prbk.g_02493	Praz.g_01490
OG0000063	Prbk.g_00694	Praz.g_00038
OG0000066	Prbk.g_02113	Praz.g_01853
OG0000067	Prbk.g_01765	Praz.g_01632
OG0000070	Prbk.g_00056	Praz.g_00066
OG0000071	Prbk.g_01496	Praz.g_01237
OG0000072	Prbk.g_01183	Praz.g_01180
OG0000074	Prbk.g_00477	Praz.g_01118
OG0000075	Prbk.g_00796, Prbk.g_00944	Praz.g_00263
OG0000076	Prbk.g_01209, Prbk.g_00480	Praz.g_01092
OG0000077	Prbk.g_02290	Praz.g_00376
OG0000078	Prbk.g_00472	Praz.g_00679
OG0000079	Prbk.g_02209	Praz.g_00791
OG0000080	Prbk.g_00709	Praz.g_01661
OG0000081	Prbk.g_01815	Praz.g_01639
OG0000082	Prbk.g_02475	Praz.g_01505
