Orthogroup	Prbk	Praw
OG0000000	Prbk.g_00165	Praw.g_01780, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prbk.g_00167	Praw.g_01779, Praw.g_00496, Praw.g_00294, Praw.g_00454, Praw.g_00472
OG0000001	Prbk.g_02574	Praw.g_01009
OG0000001	Prbk.g_01649	Praw.g_01844
OG0000002	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Praw.g_01000
OG0000004	Prbk.g_00166	Praw.g_00959, Praw.g_00457, Praw.g_00495
OG0000005	Prbk.g_01701, Prbk.g_00355	Praw.g_01769
OG0000008	Prbk.g_00907	Praw.g_00515
OG0000010	Prbk.g_01004	Praw.g_01717, Praw.g_00884
OG0000011	Prbk.g_00833	Praw.g_01755
OG0000013	Prbk.g_01932, Prbk.g_00013	Praw.g_00447, Praw.g_01330
OG0000015	Prbk.g_01202	Praw.g_00804
OG0000016	Prbk.g_02558	Praw.g_01738
OG0000018	Prbk.g_01142, Prbk.g_01150	Praw.g_01944
OG0000020	Prbk.g_01746, Prbk.g_01786	Praw.g_01012
OG0000022	Prbk.g_02695	Praw.g_01950
OG0000023	Prbk.g_01137	Praw.g_00479, Praw.g_00767
OG0000024	Prbk.g_01737	Praw.g_00951
OG0000025	Prbk.g_01780	Praw.g_01763
OG0000027	Prbk.g_01820	Praw.g_01850, Praw.g_00501, Praw.g_00502
OG0000031	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215	Praw.g_00032
OG0000032	Prbk.g_01613	Praw.g_01395
OG0000034	Prbk.g_00259	Praw.g_01083, Praw.g_01081
OG0000037	Prbk.g_01709	Praw.g_00955, Praw.g_00491
OG0000040	Prbk.g_01851	Praw.g_00952
OG0000041	Prbk.g_02610	Praw.g_00159
OG0000045	Prbk.g_01122	Praw.g_01932
OG0000046	Prbk.g_01667, Prbk.g_00212	Praw.g_01746
OG0000047	Prbk.g_01019	Praw.g_00234
OG0000049	Prbk.g_00479	Praw.g_01055
OG0000050	Prbk.g_01836, Prbk.g_00773	Praw.g_01269
OG0000051	Prbk.g_02448	Praw.g_00772
OG0000053	Prbk.g_01835, Prbk.g_00619	Praw.g_01809
OG0000054	Prbk.g_00919	Praw.g_00508
OG0000055	Prbk.g_00237	Praw.g_00039
OG0000056	Prbk.g_01617	Praw.g_01397
OG0000057	Prbk.g_00764	Praw.g_01278
OG0000058	Prbk.g_00925	Praw.g_00762
OG0000059	Prbk.g_01094	Praw.g_00609
OG0000061	Prbk.g_01468	Praw.g_01752
OG0000062	Prbk.g_02493	Praw.g_01675
OG0000063	Prbk.g_00694	Praw.g_00189
OG0000066	Prbk.g_02113	Praw.g_00672
OG0000067	Prbk.g_01765	Praw.g_01824
OG0000070	Prbk.g_00056	Praw.g_01467
OG0000071	Prbk.g_01496	Praw.g_00926
OG0000072	Prbk.g_01183	Praw.g_00981
OG0000074	Prbk.g_00477	Praw.g_01050
OG0000075	Prbk.g_00796, Prbk.g_00944	Praw.g_00096
OG0000076	Prbk.g_00480	Praw.g_01043
OG0000077	Prbk.g_02290	Praw.g_01125
OG0000078	Prbk.g_00472	Praw.g_00812
OG0000079	Prbk.g_02209	Praw.g_00751
OG0000080	Prbk.g_00709	Praw.g_01853
OG0000081	Prbk.g_01815	Praw.g_01831
OG0000082	Prbk.g_02475	Praw.g_01690
OG0000084	Prbk.g_02324	Praw.g_01539
OG0000085	Prbk.g_02271	Praw.g_01418
OG0000086	Prbk.g_02195	Praw.g_00201
