Orthogroup	Prbk	Prae
OG0000000	Prbk.g_00165	Prae.g_01580
OG0000000	Prbk.g_00167	Prae.g_01222, Prae.g_01579, Prae.g_01300
OG0000001	Prbk.g_02574	Prae.g_01361
OG0000001	Prbk.g_01649	Prae.g_00652
OG0000002	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Prae.g_01353
OG0000004	Prbk.g_00166	Prae.g_01308, Prae.g_01581
OG0000005	Prbk.g_01701, Prbk.g_00355	Prae.g_00742
OG0000008	Prbk.g_00907	Prae.g_01623
OG0000010	Prbk.g_01004	Prae.g_00786, Prae.g_00252
OG0000011	Prbk.g_00833	Prae.g_00375, Prae.g_00755
OG0000013	Prbk.g_01932, Prbk.g_00013	Prae.g_01572
OG0000015	Prbk.g_01202	Prae.g_00331
OG0000016	Prbk.g_02558	Prae.g_00769, Prae.g_01235
OG0000018	Prbk.g_01142, Prbk.g_01150	Prae.g_00572
OG0000020	Prbk.g_01746, Prbk.g_01786	Prae.g_01364
OG0000022	Prbk.g_02695	Prae.g_00244
OG0000023	Prbk.g_01137	Prae.g_01600, Prae.g_00364
OG0000024	Prbk.g_01737	Prae.g_01290
OG0000025	Prbk.g_01780	Prae.g_00748
OG0000027	Prbk.g_01820	Prae.g_00646
OG0000031	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215	Prae.g_01822
OG0000032	Prbk.g_01613	Prae.g_00033
OG0000034	Prbk.g_00259	Prae.g_01459
OG0000037	Prbk.g_01709	Prae.g_01294, Prae.g_01602
OG0000038	Prbk.g_00534, Prbk.g_00539	Prae.g_01391
OG0000040	Prbk.g_01851	Prae.g_01291, Prae.g_00398
OG0000041	Prbk.g_02610	Prae.g_00597
OG0000045	Prbk.g_01122	Prae.g_00559
OG0000046	Prbk.g_01667, Prbk.g_00212	Prae.g_00764
OG0000047	Prbk.g_01019	Prae.g_01163, Prae.g_01422
OG0000049	Prbk.g_00479	Prae.g_01417, Prae.g_01406
OG0000050	Prbk.g_01836, Prbk.g_00773	Prae.g_00169
OG0000051	Prbk.g_02448	Prae.g_00359
OG0000053	Prbk.g_01835, Prbk.g_00619	Prae.g_00711
OG0000054	Prbk.g_00919	Prae.g_01616
OG0000055	Prbk.g_00237	Prae.g_01815
OG0000056	Prbk.g_01617	Prae.g_00031
OG0000057	Prbk.g_00764	Prae.g_00160
OG0000058	Prbk.g_00925	Prae.g_00370
OG0000059	Prbk.g_01094	Prae.g_00514
OG0000060	Prbk.g_00605	Prae.g_01247
OG0000061	Prbk.g_01468	Prae.g_00758
OG0000062	Prbk.g_02493	Prae.g_00828
OG0000063	Prbk.g_00694	Prae.g_01322
OG0000066	Prbk.g_02113	Prae.g_00449
OG0000067	Prbk.g_01765	Prae.g_00672
OG0000070	Prbk.g_00056	Prae.g_01040
OG0000071	Prbk.g_01496	Prae.g_01263
OG0000072	Prbk.g_01183	Prae.g_01329
OG0000074	Prbk.g_00477	Prae.g_01389
OG0000075	Prbk.g_00796, Prbk.g_00944	Prae.g_01758
OG0000077	Prbk.g_02290	Prae.g_00011
OG0000078	Prbk.g_00472	Prae.g_00323
OG0000079	Prbk.g_02209	Prae.g_00382
OG0000080	Prbk.g_00709	Prae.g_00643
OG0000081	Prbk.g_01815	Prae.g_00665
OG0000082	Prbk.g_02475	Prae.g_00813
OG0000084	Prbk.g_02324	Prae.g_00964
OG0000085	Prbk.g_02271	Prae.g_01090
OG0000086	Prbk.g_02195	Prae.g_01130
OG0000090	Prbk.g_00476	Prae.g_01390
OG0000091	Prbk.g_00275	Prae.g_01467
OG0000092	Prbk.g_02012	Prae.g_01588
OG0000093	Prbk.g_00992	Prae.g_01710
OG0000094	Prbk.g_00948	Prae.g_01755
OG0000095	Prbk.g_00512	Prae.g_01789
OG0000096	Prbk.g_01603	Prae.g_01859
OG0000098	Prbk.g_02281	Prae.g_00003
OG0000099	Prbk.g_01626	Prae.g_00023
OG0000101	Prbk.g_02126	Prae.g_00051
OG0000102	Prbk.g_00191	Prae.g_00112
OG0000103	Prbk.g_00206	Prae.g_00121
OG0000104	Prbk.g_00559	Prae.g_00139
OG0000105	Prbk.g_00777	Prae.g_00173
OG0000106	Prbk.g_01280	Prae.g_00187
OG0000107	Prbk.g_01261	Prae.g_00195
OG0000108	Prbk.g_01251	Prae.g_00205
OG0000109	Prbk.g_01515	Prae.g_00242
OG0000110	Prbk.g_01001	Prae.g_00254
OG0000111	Prbk.g_00409	Prae.g_01440
OG0000113	Prbk.g_00438	Prae.g_00298
OG0000114	Prbk.g_00492	Prae.g_00326
OG0000115	Prbk.g_02112	Prae.g_00448
OG0000116	Prbk.g_02114	Prae.g_00450
OG0000117	Prbk.g_02061	Prae.g_00454
OG0000118	Prbk.g_01862	Prae.g_00473
OG0000119	Prbk.g_01078	Prae.g_00506
OG0000120	Prbk.g_01080	Prae.g_00508
OG0000121	Prbk.g_02684	Prae.g_00518
OG0000122	Prbk.g_01890	Prae.g_00527
OG0000123	Prbk.g_01121	Prae.g_01432, Prae.g_00558
OG0000124	Prbk.g_00740	Prae.g_00625
OG0000125	Prbk.g_00739	Prae.g_00626
OG0000126	Prbk.g_00738	Prae.g_00627
OG0000127	Prbk.g_01385	Prae.g_00660
OG0000128	Prbk.g_00616	Prae.g_00713
OG0000129	Prbk.g_02370	Prae.g_00733
OG0000130	Prbk.g_01642	Prae.g_00791
OG0000131	Prbk.g_02466	Prae.g_00804
OG0000132	Prbk.g_02530	Prae.g_00839
OG0000133	Prbk.g_02438	Prae.g_00924
OG0000134	Prbk.g_02444	Prae.g_00933
OG0000135	Prbk.g_02316	Prae.g_00968
OG0000136	Prbk.g_00059	Prae.g_01037
OG0000137	Prbk.g_02197	Prae.g_01133
OG0000139	Prbk.g_00144	Prae.g_01169
OG0000140	Prbk.g_00121	Prae.g_01220
OG0000141	Prbk.g_00066	Prae.g_01434
OG0000142	Prbk.g_01169	Prae.g_01341
OG0000143	Prbk.g_02052	Prae.g_01368
OG0000144	Prbk.g_00243	Prae.g_01446
OG0000145	Prbk.g_00260	Prae.g_01460
OG0000146	Prbk.g_01212	Prae.g_01496
OG0000147	Prbk.g_00932	Prae.g_01536
OG0000148	Prbk.g_00931	Prae.g_01537
OG0000149	Prbk.g_00913	Prae.g_01621
OG0000150	Prbk.g_01417	Prae.g_01659
OG0000151	Prbk.g_01414	Prae.g_01662
OG0000152	Prbk.g_01381	Prae.g_01681
OG0000153	Prbk.g_00987	Prae.g_01717
OG0000154	Prbk.g_00950	Prae.g_01753
OG0000155	Prbk.g_00811	Prae.g_01772
OG0000156	Prbk.g_00528	Prae.g_01800
OG0000157	Prbk.g_01540	Prae.g_01832
OG0000158	Prbk.g_02252	Prae.g_01894
OG0000160	Prbk.g_02279	Prae.g_00001
OG0000161	Prbk.g_02280	Prae.g_00002
OG0000162	Prbk.g_02282	Prae.g_00004
OG0000163	Prbk.g_02283	Prae.g_00005
OG0000164	Prbk.g_02284	Prae.g_00006
OG0000165	Prbk.g_02285	Prae.g_00007
OG0000166	Prbk.g_02287	Prae.g_00008
OG0000167	Prbk.g_02288	Prae.g_00009
OG0000168	Prbk.g_02289	Prae.g_00010
OG0000169	Prbk.g_02291	Prae.g_00012
OG0000170	Prbk.g_01639	Prae.g_00014
OG0000171	Prbk.g_01638	Prae.g_00015
OG0000172	Prbk.g_01633	Prae.g_00016
OG0000173	Prbk.g_01632	Prae.g_00017
OG0000174	Prbk.g_01631	Prae.g_00018
OG0000175	Prbk.g_01630	Prae.g_00019
OG0000176	Prbk.g_01629	Prae.g_00020
OG0000177	Prbk.g_01628	Prae.g_00021
OG0000178	Prbk.g_01627	Prae.g_00022
OG0000179	Prbk.g_01625	Prae.g_00024
OG0000180	Prbk.g_01624	Prae.g_00025
OG0000181	Prbk.g_01623	Prae.g_00026
OG0000182	Prbk.g_01622	Prae.g_00027
OG0000183	Prbk.g_01621	Prae.g_00028
OG0000184	Prbk.g_01619	Prae.g_00029
OG0000185	Prbk.g_01614	Prae.g_00032
OG0000186	Prbk.g_01609	Prae.g_00035
OG0000187	Prbk.g_01608	Prae.g_00036
OG0000188	Prbk.g_01607	Prae.g_00037
