Orthogroup	Prbk	Prbc
OG0000000	Prbk.g_00165	Prbc.g_02165
OG0000000	Prbk.g_00167	Prbc.g_00106, Prbc.g_00608, Prbc.g_02167, Prbc.g_00808, Prbc.g_00618, Prbc.g_00525
OG0000001	Prbk.g_02574	Prbc.g_01920
OG0000001	Prbk.g_01649	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473
OG0000002	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Prbc.g_00588
OG0000003	Prbk.g_02118	Prbc.g_00647
OG0000004	Prbk.g_00166	Prbc.g_00609, Prbc.g_00812
OG0000005	Prbk.g_01701, Prbk.g_00355	Prbc.g_01233, Prbc.g_02193, Prbc.g_01823
OG0000008	Prbk.g_00907	Prbc.g_00832
OG0000009	Prbk.g_01337, Prbk.g_02672, Prbk.g_01344, Prbk.g_02680, Prbk.g_02591	Prbc.g_01108
OG0000009	Prbk.g_00841	Prbc.g_00532
OG0000010	Prbk.g_01004	Prbc.g_01832, Prbc.g_01836
OG0000012	Prbk.g_00405	Prbc.g_01165
OG0000013	Prbk.g_01932, Prbk.g_00013	Prbc.g_01344
OG0000014	Prbk.g_00454	Prbc.g_01198
OG0000015	Prbk.g_02565	Prbc.g_01273
OG0000015	Prbk.g_01202	Prbc.g_01227
OG0000016	Prbk.g_02558	Prbc.g_00599
OG0000018	Prbk.g_01142	Prbc.g_01674
OG0000020	Prbk.g_01746, Prbk.g_01786	Prbc.g_00650
OG0000021	Prbk.g_01230	Prbc.g_00728
OG0000022	Prbk.g_02695	Prbc.g_02202
OG0000023	Prbk.g_01137	Prbc.g_02189
OG0000024	Prbk.g_01737	Prbc.g_00143
OG0000025	Prbk.g_01780	Prbc.g_00598, Prbc.g_01755
OG0000027	Prbk.g_01820	Prbc.g_00894
OG0000028	Prbk.g_01819	Prbc.g_00893
OG0000031	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215	Prbc.g_00203
OG0000032	Prbk.g_01613	Prbc.g_00932
OG0000034	Prbk.g_00259	Prbc.g_00709
OG0000036	Prbk.g_01664	Prbc.g_00054
OG0000037	Prbk.g_01709	Prbc.g_00088, Prbc.g_00095
OG0000040	Prbk.g_01851	Prbc.g_00164, Prbc.g_00066
OG0000041	Prbk.g_02610	Prbc.g_02155
OG0000042	Prbk.g_02168	Prbc.g_00997
OG0000045	Prbk.g_01122	Prbc.g_00891
OG0000046	Prbk.g_01667, Prbk.g_00212	Prbc.g_00166
OG0000047	Prbk.g_01019	Prbc.g_01446
OG0000048	Prbk.g_00499	Prbc.g_00517
OG0000049	Prbk.g_00479	Prbc.g_01928
OG0000050	Prbk.g_01836, Prbk.g_00773	Prbc.g_00405
OG0000051	Prbk.g_02448	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006
OG0000053	Prbk.g_01835, Prbk.g_00619	Prbc.g_01787
OG0000054	Prbk.g_00919	Prbc.g_00826
OG0000055	Prbk.g_00237	Prbc.g_00211
OG0000056	Prbk.g_01617	Prbc.g_01101
OG0000057	Prbk.g_00764	Prbc.g_00414
OG0000058	Prbk.g_00925	Prbc.g_00134, Prbc.g_00641
OG0000059	Prbk.g_01094	Prbc.g_01618
OG0000060	Prbk.g_00605	Prbc.g_01800
OG0000061	Prbk.g_01468	Prbc.g_01116
OG0000062	Prbk.g_02493	Prbc.g_01882, Prbc.g_00153
OG0000063	Prbk.g_00694	Prbc.g_01117
OG0000066	Prbk.g_02113	Prbc.g_01534
OG0000067	Prbk.g_01765	Prbc.g_00055, Prbc.g_01780
OG0000070	Prbk.g_00056	Prbc.g_00963, Prbc.g_02113
OG0000071	Prbk.g_01496	Prbc.g_00102
OG0000072	Prbk.g_01183	Prbc.g_00566
OG0000074	Prbk.g_00477	Prbc.g_01753
OG0000075	Prbk.g_00796, Prbk.g_00944	Prbc.g_00284
