Orthogroup	Prbk	Prad
OG0000000	Prbk.g_00165	Prad.g_00392
OG0000000	Prbk.g_00167	Prad.g_01297, Prad.g_01435, Prad.g_00393, Prad.g_00349, Prad.g_00372
OG0000001	Prbk.g_02574	Prad.g_00601
OG0000001	Prbk.g_01649	Prad.g_01252
OG0000002	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Prad.g_00609
OG0000003	Prbk.g_02690	Prad.g_00073
OG0000004	Prbk.g_00166	Prad.g_00350, Prad.g_00389
OG0000005	Prbk.g_01701, Prbk.g_00355	Prad.g_01082
OG0000008	Prbk.g_00907	Prad.g_00941
OG0000010	Prbk.g_01004	Prad.g_01125, Prad.g_01742
OG0000011	Prbk.g_00833	Prad.g_00734, Prad.g_01096
OG0000013	Prbk.g_01932, Prbk.g_00013	Prad.g_00401, Prad.g_01888
OG0000015	Prbk.g_02565	Prad.g_00683
OG0000015	Prbk.g_01202	Prad.g_01661
OG0000016	Prbk.g_02558	Prad.g_01108
OG0000018	Prbk.g_01142, Prbk.g_01150	Prad.g_01387
OG0000020	Prbk.g_01746, Prbk.g_01786	Prad.g_00598
OG0000022	Prbk.g_02695	Prad.g_01750
OG0000023	Prbk.g_01137	Prad.g_01981, Prad.g_00745
OG0000024	Prbk.g_01737	Prad.g_00338
OG0000025	Prbk.g_01780	Prad.g_01088
OG0000027	Prbk.g_01820	Prad.g_01246
OG0000031	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215	Prad.g_01624
OG0000032	Prbk.g_01613	Prad.g_01953, Prad.g_00081
OG0000034	Prbk.g_00259	Prad.g_00515
OG0000037	Prbk.g_01709	Prad.g_00342
OG0000040	Prbk.g_01851	Prad.g_00339, Prad.g_01218
OG0000041	Prbk.g_02610	Prad.g_01412
OG0000045	Prbk.g_01122	Prad.g_01374
OG0000046	Prbk.g_01667, Prbk.g_00212	Prad.g_01105
OG0000047	Prbk.g_01019	Prad.g_01496
OG0000048	Prbk.g_00499	Prad.g_00571
OG0000049	Prbk.g_00479	Prad.g_00565
OG0000050	Prbk.g_01836, Prbk.g_00773	Prad.g_01825
