Orthogroup	Prbk	Prat
OG0000000	Prbk.g_00165	Prat.g_01549
OG0000000	Prbk.g_00167	Prat.g_01510, Prat.g_01189, Prat.g_01547
OG0000001	Prbk.g_02574	Prat.g_00977
OG0000001	Prbk.g_01649	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000002	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Prat.g_01286, Prat.g_01285
OG0000004	Prbk.g_00166	Prat.g_01190
OG0000005	Prbk.g_01701, Prbk.g_00355	Prat.g_00824
OG0000008	Prbk.g_00907	Prat.g_01592
OG0000009	Prbk.g_01337, Prbk.g_02672, Prbk.g_01344, Prbk.g_02680, Prbk.g_02591	Prat.g_01280
OG0000010	Prbk.g_01004	Prat.g_01180, Prat.g_00255
OG0000013	Prbk.g_01932, Prbk.g_00013	Prat.g_01451
OG0000014	Prbk.g_00454	Prat.g_00314
OG0000015	Prbk.g_02565	Prat.g_00374
OG0000016	Prbk.g_02558	Prat.g_00701
OG0000018	Prbk.g_01142	Prat.g_00560
OG0000018	Prbk.g_01150	Prat.g_00567
OG0000020	Prbk.g_01746	Prat.g_00647
OG0000020	Prbk.g_01786	Prat.g_01452
OG0000021	Prbk.g_01230	Prat.g_01375
OG0000022	Prbk.g_02695	Prat.g_00248
OG0000023	Prbk.g_01137	Prat.g_00461
OG0000024	Prbk.g_01737	Prat.g_01489
OG0000025	Prbk.g_01780	Prat.g_00622
OG0000027	Prbk.g_01820	Prat.g_00377
OG0000028	Prbk.g_01819	Prat.g_00376
OG0000031	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215	Prat.g_01796
OG0000032	Prbk.g_01613	Prat.g_01516
OG0000034	Prbk.g_00259	Prat.g_01352, Prat.g_01353
OG0000036	Prbk.g_01664	Prat.g_00617
OG0000041	Prbk.g_02610	Prat.g_00586
OG0000042	Prbk.g_02168	Prat.g_01841
OG0000045	Prbk.g_01122	Prat.g_01507
OG0000046	Prbk.g_01667	Prat.g_01448
OG0000046	Prbk.g_00212	Prat.g_01192
OG0000047	Prbk.g_01019	Prat.g_01156
OG0000048	Prbk.g_00499	Prat.g_00058
OG0000049	Prbk.g_00479	Prat.g_01311
OG0000050	Prbk.g_01836, Prbk.g_00773	Prat.g_00166
OG0000051	Prbk.g_02448	Prat.g_00834
OG0000053	Prbk.g_01835, Prbk.g_00619	Prat.g_00788
OG0000054	Prbk.g_00919	Prat.g_01584
OG0000055	Prbk.g_00237	Prat.g_01788
OG0000056	Prbk.g_01617	Prat.g_00033
OG0000057	Prbk.g_00764	Prat.g_00157
OG0000058	Prbk.g_00925	Prat.g_00637
OG0000059	Prbk.g_01094	Prat.g_01499
OG0000060	Prbk.g_00605	Prat.g_00804
OG0000061	Prbk.g_01468	Prat.g_01503
OG0000062	Prbk.g_02493	Prat.g_01014
OG0000063	Prbk.g_00694	Prat.g_01463, Prat.g_00666
OG0000066	Prbk.g_02113	Prat.g_00434
OG0000067	Prbk.g_01765	Prat.g_00775
OG0000070	Prbk.g_00056	Prat.g_00965
OG0000071	Prbk.g_01496	Prat.g_01129
OG0000072	Prbk.g_01183	Prat.g_01249
OG0000074	Prbk.g_00477	Prat.g_00344
OG0000075	Prbk.g_00796, Prbk.g_00944	Prat.g_01726
OG0000076	Prbk.g_01209	Prat.g_01394
OG0000077	Prbk.g_02290	Prat.g_00012, Prat.g_00011
OG0000078	Prbk.g_00472	Prat.g_00329
OG0000079	Prbk.g_02209	Prat.g_01477
OG0000080	Prbk.g_00709	Prat.g_01054
OG0000081	Prbk.g_01815	Prat.g_00765
OG0000082	Prbk.g_02475	Prat.g_01030
OG0000084	Prbk.g_02324	Prat.g_00896
OG0000085	Prbk.g_02271	Prat.g_01208
OG0000086	Prbk.g_02195	Prat.g_01561, Prat.g_01495
OG0000090	Prbk.g_00476	Prat.g_01312
OG0000091	Prbk.g_00275	Prat.g_01361
OG0000092	Prbk.g_02012	Prat.g_01539
OG0000093	Prbk.g_00992	Prat.g_01679
OG0000094	Prbk.g_00948	Prat.g_01722
OG0000095	Prbk.g_00512	Prat.g_01759
OG0000096	Prbk.g_01603	Prat.g_01833
OG0000097	Prbk.g_02204	Prat.g_01853
OG0000098	Prbk.g_02281	Prat.g_00003
OG0000099	Prbk.g_01626	Prat.g_01314, Prat.g_00024
OG0000101	Prbk.g_02126	Prat.g_00054
OG0000102	Prbk.g_00191	Prat.g_00112
OG0000103	Prbk.g_00206	Prat.g_00121
OG0000104	Prbk.g_00559	Prat.g_00138
OG0000105	Prbk.g_00777	Prat.g_00171
OG0000106	Prbk.g_01280	Prat.g_00185
OG0000107	Prbk.g_01261	Prat.g_00194
OG0000108	Prbk.g_01251	Prat.g_00204
OG0000109	Prbk.g_01515	Prat.g_00245
OG0000110	Prbk.g_01001	Prat.g_00257
OG0000111	Prbk.g_00409	Prat.g_00281
OG0000112	Prbk.g_00422	Prat.g_00292
OG0000113	Prbk.g_00438	Prat.g_00305
OG0000114	Prbk.g_00492	Prat.g_00332
OG0000115	Prbk.g_02112	Prat.g_00433
OG0000116	Prbk.g_02114	Prat.g_00435
OG0000117	Prbk.g_02061	Prat.g_00440
OG0000118	Prbk.g_01862	Prat.g_00462
OG0000119	Prbk.g_01078	Prat.g_00494
OG0000120	Prbk.g_01080	Prat.g_00495
OG0000121	Prbk.g_02684	Prat.g_00504
OG0000122	Prbk.g_01890	Prat.g_00514, Prat.g_00513
OG0000123	Prbk.g_01121	Prat.g_00548
OG0000124	Prbk.g_00740	Prat.g_01073
OG0000125	Prbk.g_00739	Prat.g_01072
OG0000126	Prbk.g_00738	Prat.g_01071
OG0000127	Prbk.g_01385	Prat.g_00760
OG0000128	Prbk.g_00616	Prat.g_00790
OG0000129	Prbk.g_02370	Prat.g_00815
OG0000130	Prbk.g_01642	Prat.g_00856
OG0000131	Prbk.g_02466	Prat.g_01039
OG0000132	Prbk.g_02530	Prat.g_01004
OG0000133	Prbk.g_02438	Prat.g_00734
OG0000134	Prbk.g_02444	Prat.g_01053
OG0000135	Prbk.g_02316	Prat.g_00900
OG0000136	Prbk.g_00059	Prat.g_00962
OG0000137	Prbk.g_02197	Prat.g_01557
OG0000138	Prbk.g_01025	Prat.g_01161
OG0000139	Prbk.g_00144	Prat.g_01150
OG0000140	Prbk.g_00121	Prat.g_00595
OG0000141	Prbk.g_00066	Prat.g_01509
OG0000142	Prbk.g_01169	Prat.g_01261
OG0000143	Prbk.g_02052	Prat.g_01291
OG0000144	Prbk.g_00243	Prat.g_01338
OG0000145	Prbk.g_00260	Prat.g_01354
OG0000146	Prbk.g_01212	Prat.g_01392
OG0000147	Prbk.g_00932	Prat.g_01441
OG0000148	Prbk.g_00931	Prat.g_01442
OG0000149	Prbk.g_00913	Prat.g_01589
OG0000150	Prbk.g_01417	Prat.g_01628
OG0000151	Prbk.g_01414	Prat.g_01631
OG0000152	Prbk.g_01381	Prat.g_01652
OG0000153	Prbk.g_00987	Prat.g_01685
OG0000154	Prbk.g_00950	Prat.g_01720
OG0000155	Prbk.g_00811	Prat.g_01739
OG0000156	Prbk.g_00528	Prat.g_01771
OG0000157	Prbk.g_01540	Prat.g_01806
OG0000158	Prbk.g_02252	Prat.g_01873
OG0000160	Prbk.g_02279	Prat.g_00001
OG0000161	Prbk.g_02280	Prat.g_00002
OG0000162	Prbk.g_02282	Prat.g_00004
OG0000163	Prbk.g_02283	Prat.g_00005
OG0000164	Prbk.g_02284	Prat.g_00006
OG0000165	Prbk.g_02285	Prat.g_00007
OG0000166	Prbk.g_02287	Prat.g_00008
OG0000167	Prbk.g_02288	Prat.g_00009
OG0000168	Prbk.g_02289	Prat.g_00010
OG0000169	Prbk.g_02291	Prat.g_00013
OG0000170	Prbk.g_01639	Prat.g_00015
OG0000171	Prbk.g_01638	Prat.g_00016
OG0000172	Prbk.g_01633	Prat.g_00017
OG0000173	Prbk.g_01632	Prat.g_00018
OG0000174	Prbk.g_01631	Prat.g_00019
OG0000175	Prbk.g_01630	Prat.g_00020
OG0000176	Prbk.g_01629	Prat.g_00021
OG0000177	Prbk.g_01628	Prat.g_00022
OG0000178	Prbk.g_01627	Prat.g_00023
OG0000179	Prbk.g_01625	Prat.g_00025
OG0000180	Prbk.g_01624	Prat.g_00026
OG0000181	Prbk.g_01623	Prat.g_00027
OG0000182	Prbk.g_01622	Prat.g_00028
OG0000183	Prbk.g_01621	Prat.g_00029
OG0000184	Prbk.g_01619	Prat.g_00031
OG0000185	Prbk.g_01614	Prat.g_00034
OG0000186	Prbk.g_01609	Prat.g_00036
OG0000187	Prbk.g_01608	Prat.g_00037
OG0000188	Prbk.g_01607	Prat.g_00038
OG0000189	Prbk.g_01606	Prat.g_00042
OG0000190	Prbk.g_01604	Prat.g_00044
OG0000191	Prbk.g_02158	Prat.g_00046
OG0000192	Prbk.g_02156	Prat.g_00047
OG0000193	Prbk.g_02155	Prat.g_00048
OG0000194	Prbk.g_02148	Prat.g_00051
OG0000195	Prbk.g_02141	Prat.g_00052
OG0000196	Prbk.g_02133	Prat.g_00053
OG0000197	Prbk.g_02125	Prat.g_00055
OG0000198	Prbk.g_02124	Prat.g_00056
OG0000199	Prbk.g_02123	Prat.g_00057
OG0000200	Prbk.g_01326	Prat.g_00060
OG0000201	Prbk.g_01324	Prat.g_00061
OG0000202	Prbk.g_01323	Prat.g_00062
OG0000203	Prbk.g_01320	Prat.g_00066
OG0000204	Prbk.g_01319	Prat.g_00067
OG0000205	Prbk.g_01315	Prat.g_00070
OG0000206	Prbk.g_01313	Prat.g_00072
OG0000207	Prbk.g_01309	Prat.g_00074
OG0000208	Prbk.g_01308	Prat.g_00075
OG0000209	Prbk.g_01665	Prat.g_01504
OG0000210	Prbk.g_01307	Prat.g_00076
OG0000211	Prbk.g_01304	Prat.g_00079
OG0000212	Prbk.g_01303	Prat.g_00080
OG0000213	Prbk.g_01302	Prat.g_00081
OG0000214	Prbk.g_01301	Prat.g_00082
OG0000215	Prbk.g_01300	Prat.g_00083
OG0000216	Prbk.g_01299	Prat.g_00084
OG0000217	Prbk.g_01295	Prat.g_00086
OG0000218	Prbk.g_01294	Prat.g_00087
OG0000219	Prbk.g_00035	Prat.g_00088
OG0000220	Prbk.g_00031	Prat.g_00089
OG0000221	Prbk.g_00026	Prat.g_00091
OG0000222	Prbk.g_00025	Prat.g_00092
OG0000223	Prbk.g_00024	Prat.g_00093
OG0000224	Prbk.g_00022	Prat.g_00094
OG0000225	Prbk.g_00021	Prat.g_00095
OG0000226	Prbk.g_00020	Prat.g_00096
OG0000227	Prbk.g_00018	Prat.g_00098
OG0000228	Prbk.g_00017	Prat.g_00099
OG0000229	Prbk.g_00016	Prat.g_00100
OG0000230	Prbk.g_00015	Prat.g_00101
OG0000231	Prbk.g_00014	Prat.g_00102
OG0000232	Prbk.g_00012	Prat.g_00103
OG0000233	Prbk.g_00011	Prat.g_00104
OG0000234	Prbk.g_00010	Prat.g_00105
OG0000235	Prbk.g_00007	Prat.g_00106
OG0000236	Prbk.g_00003	Prat.g_00109
OG0000237	Prbk.g_00001	Prat.g_00110
OG0000238	Prbk.g_00190	Prat.g_00111
OG0000239	Prbk.g_00192	Prat.g_00113
OG0000240	Prbk.g_00194	Prat.g_00114
OG0000241	Prbk.g_00196	Prat.g_00115
OG0000242	Prbk.g_00197	Prat.g_00116
OG0000243	Prbk.g_00202	Prat.g_00118
OG0000244	Prbk.g_00207	Prat.g_00122
OG0000245	Prbk.g_00208	Prat.g_00123
OG0000246	Prbk.g_00209	Prat.g_00124
OG0000247	Prbk.g_00542	Prat.g_00126
OG0000248	Prbk.g_00544	Prat.g_00128
OG0000249	Prbk.g_00547	Prat.g_00130
OG0000250	Prbk.g_00549	Prat.g_00131
OG0000251	Prbk.g_00550	Prat.g_00132
OG0000252	Prbk.g_00551	Prat.g_00133
OG0000253	Prbk.g_00552	Prat.g_00134
OG0000254	Prbk.g_00554	Prat.g_00601
OG0000255	Prbk.g_00555	Prat.g_00136
OG0000256	Prbk.g_00560	Prat.g_00139
OG0000257	Prbk.g_00749	Prat.g_00141
OG0000258	Prbk.g_00751	Prat.g_00144
OG0000259	Prbk.g_00752	Prat.g_00145
OG0000260	Prbk.g_00753	Prat.g_00146
OG0000261	Prbk.g_00754	Prat.g_00147
OG0000262	Prbk.g_00755	Prat.g_00148
OG0000263	Prbk.g_00757	Prat.g_00150
OG0000264	Prbk.g_00758	Prat.g_00151
OG0000265	Prbk.g_00759	Prat.g_00152
OG0000266	Prbk.g_00760	Prat.g_00153
OG0000267	Prbk.g_00761	Prat.g_00154
OG0000268	Prbk.g_00763	Prat.g_00156
OG0000269	Prbk.g_00765	Prat.g_00158
OG0000270	Prbk.g_00766	Prat.g_00159
OG0000271	Prbk.g_00767	Prat.g_00160
OG0000272	Prbk.g_00768	Prat.g_00161
OG0000273	Prbk.g_00769	Prat.g_00162
OG0000274	Prbk.g_00770	Prat.g_00163
OG0000275	Prbk.g_00771	Prat.g_00164
OG0000276	Prbk.g_00772	Prat.g_00165
OG0000277	Prbk.g_00774	Prat.g_00167
OG0000278	Prbk.g_00775	Prat.g_00169
OG0000279	Prbk.g_00776	Prat.g_00170
OG0000280	Prbk.g_00778	Prat.g_00172
OG0000281	Prbk.g_00779	Prat.g_00174
OG0000282	Prbk.g_00780	Prat.g_00175
OG0000283	Prbk.g_00781	Prat.g_00176
OG0000284	Prbk.g_00782	Prat.g_00177
OG0000285	Prbk.g_00783	Prat.g_00178
OG0000286	Prbk.g_00784	Prat.g_00179
OG0000287	Prbk.g_00785	Prat.g_00180
OG0000288	Prbk.g_02425	Prat.g_00182
OG0000289	Prbk.g_01283	Prat.g_00183
OG0000290	Prbk.g_01281	Prat.g_00184
OG0000291	Prbk.g_01277	Prat.g_00186
OG0000292	Prbk.g_01275	Prat.g_00188
OG0000293	Prbk.g_01272	Prat.g_00189
OG0000294	Prbk.g_01270	Prat.g_00190
OG0000295	Prbk.g_01267	Prat.g_00191
OG0000296	Prbk.g_01266	Prat.g_00192
OG0000297	Prbk.g_01263	Prat.g_00193
OG0000298	Prbk.g_01260	Prat.g_00195
OG0000299	Prbk.g_01259	Prat.g_00196
OG0000300	Prbk.g_01258	Prat.g_00197
OG0000301	Prbk.g_01257	Prat.g_00198
OG0000302	Prbk.g_01256	Prat.g_00199
OG0000303	Prbk.g_01255	Prat.g_00200
OG0000304	Prbk.g_01253	Prat.g_00202
OG0000305	Prbk.g_01252	Prat.g_00203
OG0000306	Prbk.g_01245	Prat.g_00206
OG0000307	Prbk.g_01244	Prat.g_00207
