Orthogroup	Prbk	Prbb
OG0000000	Prbk.g_00165	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prbk.g_00167	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787, Prbb.g_00103, Prbb.g_01313
OG0000001	Prbk.g_02574	Prbb.g_00844
OG0000001	Prbk.g_01649	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Prbb.g_01611
OG0000003	Prbk.g_02118	Prbb.g_01629
OG0000003	Prbk.g_02671	Prbb.g_00047
OG0000003	Prbk.g_02690	Prbb.g_01563
OG0000004	Prbk.g_00166	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Prbk.g_01701, Prbk.g_00355	Prbb.g_00425, Prbb.g_00748
OG0000008	Prbk.g_00907	Prbb.g_01823
OG0000009	Prbk.g_00841	Prbb.g_00078
OG0000010	Prbk.g_01004	Prbb.g_00757, Prbb.g_00761
OG0000011	Prbk.g_00833	Prbb.g_01800
OG0000012	Prbk.g_00405	Prbb.g_00325
OG0000014	Prbk.g_00454	Prbb.g_00357
OG0000015	Prbk.g_02565	Prbb.g_00421
OG0000015	Prbk.g_01202	Prbb.g_00386
OG0000016	Prbk.g_02558	Prbb.g_01158
OG0000018	Prbk.g_01142	Prbb.g_00598
OG0000020	Prbk.g_01746, Prbk.g_01786	Prbb.g_01632
OG0000021	Prbk.g_01230	Prbb.g_01705
OG0000022	Prbk.g_02695	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Prbk.g_01137	Prbb.g_00099
OG0000024	Prbk.g_01737	Prbb.g_01207
OG0000025	Prbk.g_01780	Prbb.g_01175, Prbb.g_00680
OG0000027	Prbk.g_01820	Prbb.g_01885
OG0000028	Prbk.g_01819	Prbb.g_01884
OG0000031	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215	Prbb.g_02069
OG0000032	Prbk.g_01613	Prbb.g_01921
OG0000034	Prbk.g_00259	Prbb.g_01686
OG0000037	Prbk.g_01709	Prbb.g_01383, Prbb.g_01391
OG0000040	Prbk.g_01851	Prbb.g_01229, Prbb.g_01368
OG0000041	Prbk.g_02610	Prbb.g_01111
OG0000042	Prbk.g_02168	Prbb.g_02131
OG0000045	Prbk.g_01122	Prbb.g_01882
OG0000046	Prbk.g_01667, Prbk.g_00212	Prbb.g_01231
OG0000047	Prbk.g_01019	Prbb.g_01517
OG0000048	Prbk.g_00499	Prbb.g_00112
OG0000049	Prbk.g_00479	Prbb.g_00851
OG0000050	Prbk.g_01836, Prbk.g_00773	Prbb.g_00223
OG0000051	Prbk.g_02448	Prbb.g_01373, Prbb.g_01411
OG0000053	Prbk.g_01835, Prbk.g_00619	Prbb.g_00713
OG0000054	Prbk.g_00919	Prbb.g_01816
OG0000055	Prbk.g_00237	Prbb.g_02061
OG0000056	Prbk.g_01617	Prbb.g_00032
OG0000057	Prbk.g_00764	Prbb.g_00214
OG0000058	Prbk.g_00925	Prbb.g_01197, Prbb.g_01329
OG0000059	Prbk.g_01094	Prbb.g_00542
OG0000060	Prbk.g_00605	Prbb.g_00726
OG0000061	Prbk.g_01468	Prbb.g_00053
OG0000062	Prbk.g_02493	Prbb.g_00807, Prbb.g_01218
OG0000063	Prbk.g_00694	Prbb.g_00054
OG0000066	Prbk.g_02113	Prbb.g_00478
OG0000067	Prbk.g_01765	Prbb.g_01359, Prbb.g_00706
OG0000070	Prbk.g_00056	Prbb.g_01070
OG0000071	Prbk.g_01496	Prbb.g_01399
OG0000072	Prbk.g_01183	Prbb.g_01586
OG0000074	Prbk.g_00477	Prbb.g_00678
OG0000075	Prbk.g_00796, Prbk.g_00944	Prbb.g_02001
OG0000076	Prbk.g_01209	Prbb.g_01723
OG0000077	Prbk.g_02290	Prbb.g_00012
OG0000078	Prbk.g_00472	Prbb.g_00373
OG0000079	Prbk.g_02209	Prbb.g_01326
OG0000080	Prbk.g_00709	Prbb.g_00673
OG0000081	Prbk.g_01815	Prbb.g_00697, Prbb.g_00698
OG0000082	Prbk.g_02475	Prbb.g_00790
OG0000084	Prbk.g_02324	Prbb.g_00991
OG0000085	Prbk.g_02271	Prbb.g_01238
OG0000086	Prbk.g_02195	Prbb.g_01887
OG0000090	Prbk.g_00476	Prbb.g_00388
OG0000091	Prbk.g_00275	Prbb.g_01694
OG0000092	Prbk.g_02012	Prbb.g_01208
OG0000093	Prbk.g_00992	Prbb.g_01946
OG0000094	Prbk.g_00948	Prbb.g_01997
OG0000095	Prbk.g_00512	Prbb.g_02034
OG0000096	Prbk.g_01603	Prbb.g_02123
OG0000097	Prbk.g_02204	Prbb.g_02143
OG0000098	Prbk.g_02281	Prbb.g_00003
OG0000099	Prbk.g_01626	Prbb.g_00024
OG0000101	Prbk.g_02126	Prbb.g_00064
OG0000102	Prbk.g_00191	Prbb.g_00170
OG0000103	Prbk.g_00206	Prbb.g_00179
OG0000104	Prbk.g_00559	Prbb.g_00196
OG0000105	Prbk.g_00777	Prbb.g_00227
OG0000106	Prbk.g_01280	Prbb.g_00240
OG0000107	Prbk.g_01261	Prbb.g_00249
OG0000108	Prbk.g_01251	Prbb.g_00259
OG0000109	Prbk.g_01515	Prbb.g_00041, Prbb.g_00297
OG0000110	Prbk.g_01001	Prbb.g_00307
OG0000111	Prbk.g_00409	Prbb.g_00327
OG0000112	Prbk.g_00422	Prbb.g_00336
OG0000113	Prbk.g_00438	Prbb.g_00348
OG0000114	Prbk.g_00492	Prbb.g_00376
OG0000115	Prbk.g_02112	Prbb.g_00477
OG0000116	Prbk.g_02114	Prbb.g_00479
OG0000117	Prbk.g_02061	Prbb.g_00484, Prbb.g_00485
OG0000118	Prbk.g_01862	Prbb.g_00503
OG0000119	Prbk.g_01078	Prbb.g_00535
OG0000120	Prbk.g_01080	Prbb.g_00536
OG0000121	Prbk.g_02684	Prbb.g_00546
OG0000122	Prbk.g_01890	Prbb.g_00556
