Orthogroup	Prbn	Other
OG0000024	Prbn.g_00074	Praa.g_01409
OG0000034	Prbn.g_00190	Praa.g_01447
OG0000054	Prbn.g_00475	Prax.g_00457
OG0000056	Prbn.g_01133	Prav.g_01388
OG0000056	Prbn.g_01133	Prau.g_00749
OG0000069	Prbn.g_00251	Prau.g_01475
OG0000069	Prbn.g_00251	Prad.g_00572
OG0000073	Prbn.g_00845	Pras.g_00327
OG0000079	Prbn.g_00897	Prbi.g_01482
OG0000083	Prbn.g_00011	Prae.g_01306
OG0000091	Prbn.g_01244	Prae.g_01396
OG0000096	Prbn.g_00017	Prax.g_00488
OG0000101	Prbn.g_00694	Prax.g_01573
OG0000118	Prbn.g_01144	Prax.g_01759
OG0000138	Prbn.g_00944	Prba.g_01089
OG0001365	Prbn.g_00721	Prae.g_01425
OG0001365	Prbn.g_00721	Praa.g_01611
