Orthogroup	Prab	Other
OG0000054	Prab.g_00803	Prax.g_00457
OG0000056	Prab.g_01634	Prav.g_01388
OG0000056	Prab.g_01634	Prau.g_00749
OG0000063	Prab.g_00717	Pral.g_01881
OG0000079	Prab.g_01544	Prbi.g_01482
OG0000083	Prab.g_00003	Prae.g_01306
OG0000101	Prab.g_00344	Prax.g_01573
OG0000118	Prab.g_01144	Prax.g_01759
OG0001256	Prab.g_01624	Prax.g_00460
OG0001363	Prab.g_01392	Prau.g_01457
OG0001365	Prab.g_01729	Praa.g_01611
OG0001365	Prab.g_01729	Prae.g_01425
OG0001474	Prab.g_01099	Pras.g_00311
OG0001521	Prab.g_01730	Prau.g_01273
OG0001539	Prab.g_01312	Prao.g_00012
OG0001823	Prab.g_01388	Praf.g_00140
