Orthogroup	Pran	Other
OG0000054	Pran.g_01379	Prax.g_00457
OG0000056	Pran.g_00935	Prav.g_01388
OG0000056	Pran.g_00935	Prau.g_00749
OG0000063	Pran.g_01466	Pral.g_01881
OG0000079	Pran.g_00655	Prbi.g_01482
OG0000083	Pran.g_01260	Prae.g_01306
OG0000101	Pran.g_01838	Prax.g_01573
OG0000118	Pran.g_00135	Prax.g_01759
OG0001256	Pran.g_00925	Prax.g_00460
OG0001363	Pran.g_00808	Prau.g_01457
OG0001365	Pran.g_01030	Praa.g_01611
OG0001365	Pran.g_01030	Prae.g_01425
OG0001474	Pran.g_00180	Pras.g_00311
OG0001521	Pran.g_01031	Prau.g_01273
OG0001539	Pran.g_00890	Prao.g_00012
OG0001823	Pran.g_00813	Praf.g_00140
