Orthogroup	Prbi	Other
OG0000027	Prbi.g_01677	Prai.g_01549
OG0000063	Prbi.g_01330	Pral.g_01881
OG0000079	Prbi.g_01482	Prab.g_01544
OG0000079	Prbi.g_01482	Pran.g_00655
OG0000079	Prbi.g_01482	Prai.g_01540
OG0000079	Prbi.g_01482	Prbm.g_01792
OG0000079	Prbi.g_01482	Prbc.g_00790
OG0000079	Prbi.g_01482	Praj.g_01714
OG0000079	Prbi.g_01482	Prbb.g_01768
OG0000079	Prbi.g_01482	Prbj.g_00881
OG0000079	Prbi.g_01482	Prbk.g_00931
OG0000079	Prbi.g_01482	Prbl.g_00417
OG0000079	Prbi.g_01482	Praf.g_00501
OG0000079	Prbi.g_01482	Prah.g_01654
OG0000079	Prbi.g_01482	Pral.g_01073
OG0000079	Prbi.g_01482	Prat.g_01442
OG0000079	Prbi.g_01482	Prak.g_01476
OG0000079	Prbi.g_01482	Prap.g_00206
OG0000079	Prbi.g_01482	Prbe.g_00226
OG0000079	Prbi.g_01482	Prbf.g_00242
OG0000079	Prbi.g_01482	Prbg.g_00676
OG0000079	Prbi.g_01482	Prbn.g_00897
OG0000079	Prbi.g_01482	Pram.g_01293
OG0000079	Prbi.g_01482	Prbh.g_00184
OG0000079	Prbi.g_01482	Prav.g_01551
OG0000095	Prbi.g_00231	Pras.g_01058
OG0001256	Prbi.g_00426	Prax.g_00776
OG0001256	Prbi.g_00426	Prbd.g_00836
OG0001367	Prbi.g_00155, Prbi.g_00722	Prbm.g_00080
OG0001367	Prbi.g_00155, Prbi.g_00722	Praf.g_02090, Praf.g_02089, Praf.g_02643, Praf.g_01869
OG0001367	Prbi.g_00155, Prbi.g_00722	Prbj.g_00377, Prbj.g_00390
OG0001367	Prbi.g_00155, Prbi.g_00722	Prbk.g_00834, Prbk.g_00821
OG0001367	Prbi.g_00155, Prbi.g_00722	Prbl.g_01164, Prbl.g_01151
OG0001367	Prbi.g_00155, Prbi.g_00722	Prah.g_01971, Prah.g_00340
OG0001474	Prbi.g_00919	Pras.g_00311
OG0001521	Prbi.g_01279	Prau.g_01273
OG0001558	Prbi.g_01328	Prad.g_01073
