Orthogroup	Prbf	Other
OG0000024	Prbf.g_01647	Praa.g_01409
OG0000034	Prbf.g_00135	Praa.g_01447
OG0000054	Prbf.g_01922	Prax.g_00457
OG0000056	Prbf.g_00862	Prav.g_01388
OG0000056	Prbf.g_00862	Prau.g_00749
OG0000069	Prbf.g_00196	Prau.g_01475
OG0000069	Prbf.g_00196	Prad.g_00572
OG0000073	Prbf.g_01018	Pras.g_00327
OG0000079	Prbf.g_00242	Prbi.g_01482
OG0000083	Prbf.g_00390	Prae.g_01306
OG0000091	Prbf.g_01503	Prae.g_01396
OG0000096	Prbf.g_01590	Prax.g_00488
OG0000101	Prbf.g_01703	Prax.g_01573
OG0000118	Prbf.g_00873	Prax.g_01759
OG0000138	Prbf.g_00443	Prba.g_01089
OG0001365	Prbf.g_01383	Prae.g_01425
OG0001365	Prbf.g_01383	Praa.g_01611
