Orthogroup	Prbg	Other
OG0000024	Prbg.g_00086	Praa.g_01409
OG0000034	Prbg.g_00569	Praa.g_01447
OG0000054	Prbg.g_00359	Prax.g_00457
OG0000056	Prbg.g_01542	Prav.g_01388
OG0000056	Prbg.g_01542	Prau.g_00749
OG0000069	Prbg.g_00630	Prau.g_01475
OG0000069	Prbg.g_00630	Prad.g_00572
OG0000073	Prbg.g_01386	Pras.g_00327
OG0000079	Prbg.g_00676	Prbi.g_01482
OG0000083	Prbg.g_00770	Prae.g_01306
OG0000091	Prbg.g_00947	Prae.g_01396
OG0000096	Prbg.g_01034	Prax.g_00488
OG0000101	Prbg.g_00139	Prax.g_01573
OG0000118	Prbg.g_01531	Prax.g_01759
OG0000138	Prbg.g_01900	Prba.g_01089
OG0001365	Prbg.g_00813	Prae.g_01425
OG0001365	Prbg.g_00813	Praa.g_01611
