Orthogroup	Prah	Other
OG0000024	Prah.g_02171	Praa.g_01409
OG0000054	Prah.g_01812	Prax.g_00457
OG0000058	Prah.g_00105	Praa.g_01414
OG0000069	Prah.g_02196, Prah.g_00358	Prau.g_01475
OG0000069	Prah.g_00358	Prad.g_00572
OG0000073	Prah.g_00445	Pras.g_00327
OG0000079	Prah.g_01654	Prbi.g_01482
OG0000083	Prah.g_00004	Prae.g_01306
OG0000091	Prah.g_02307	Prae.g_01396
OG0000096	Prah.g_02089	Prax.g_00488
OG0000101	Prah.g_00208	Prax.g_01573
OG0000118	Prah.g_02597	Prax.g_01759
OG0000138	Prah.g_02498	Prba.g_01089
OG0001256	Prah.g_01084	Prax.g_00460, Prax.g_00776
OG0001256	Prah.g_01084	Prbd.g_00836
OG0001367	Prah.g_01971, Prah.g_00340	Prbi.g_00155, Prbi.g_00722
OG0001474	Prah.g_02553	Pras.g_00311
