Orthogroup	Prbe	Other
OG0000024	Prbe.g_01861	Praa.g_01409
OG0000034	Prbe.g_00333	Praa.g_01447
OG0000054	Prbe.g_00494	Prax.g_00457
OG0000056	Prbe.g_01605	Prav.g_01388
OG0000056	Prbe.g_01605	Prau.g_00749
OG0000069	Prbe.g_00272	Prau.g_01475
OG0000069	Prbe.g_00272	Prad.g_00572
OG0000073	Prbe.g_01449	Pras.g_00327
OG0000079	Prbe.g_00226	Prbi.g_01482
OG0000083	Prbe.g_01068	Prae.g_01306
OG0000091	Prbe.g_01717	Prae.g_01396
OG0000096	Prbe.g_01804	Prax.g_00488
OG0000101	Prbe.g_01917	Prax.g_01573
OG0000118	Prbe.g_01594	Prax.g_01759
OG0000138	Prbe.g_01158	Prba.g_01089
OG0001365	Prbe.g_00161	Prae.g_01425
OG0001365	Prbe.g_00161	Praa.g_01611
