Orthogroup	Prbb	Other
OG0000024	Prbb.g_00357	Praa.g_01409
OG0000027	Prbb.g_01127, Prbb.g_01114	Prai.g_01549
OG0000054	Prbb.g_00053	Prax.g_00457
OG0000058	Prbb.g_00873	Praa.g_01414
OG0000063	Prbb.g_01399	Pral.g_01881
OG0000069	Prbb.g_01723	Prau.g_01475
OG0000069	Prbb.g_01723	Prad.g_00572
OG0000073	Prbb.g_00673	Pras.g_00327
OG0000079	Prbb.g_01768	Prbi.g_01482
OG0000083	Prbb.g_00003	Prae.g_01306
OG0000086	Prbb.g_01195	Prai.g_00443
OG0000091	Prbb.g_00226	Prae.g_01396
OG0000096	Prbb.g_00307	Prax.g_00488
OG0000101	Prbb.g_00418	Prax.g_01573
OG0000118	Prbb.g_01238	Prax.g_01759
OG0000138	Prbb.g_02131	Prba.g_01089
OG0001256	Prbb.g_01229	Prax.g_00460, Prax.g_00776
OG0001256	Prbb.g_01229	Prbd.g_00836
OG0001363	Prbb.g_02083	Prau.g_01457
OG0001365	Prbb.g_00955	Prae.g_01425
OG0001365	Prbb.g_00955	Praa.g_01611
OG0001474	Prbb.g_01901	Pras.g_00311
OG0001491	Prbb.g_01105	Prau.g_01719
OG0001539	Prbb.g_01261	Prao.g_00012
OG0001792	Prbb.g_02086	Praf.g_00131
