Orthogroup	Praj	Other
OG0000024	Praj.g_00341, Praj.g_01609	Praa.g_01409
OG0000024	Praj.g_01609	Pras.g_00304
OG0000024	Praj.g_01609	Prae.g_01401
OG0000024	Praj.g_01609	Prau.g_01470
OG0000027	Praj.g_01084, Praj.g_01070	Prai.g_01549
OG0000054	Praj.g_00042	Prax.g_00457
OG0000063	Praj.g_01355	Pral.g_01881
OG0000069	Praj.g_01669	Prau.g_01475
OG0000069	Praj.g_01669	Prad.g_00572
OG0000073	Praj.g_00659	Pras.g_00327
OG0000079	Praj.g_01714	Prbi.g_01482
OG0000083	Praj.g_00003	Prae.g_01306
OG0000086	Praj.g_01154	Prai.g_00443
OG0000091	Praj.g_00209	Prae.g_01396
OG0000096	Praj.g_00290	Prax.g_00488
OG0000101	Praj.g_00405	Prax.g_01573
OG0000118	Praj.g_01196	Prax.g_01759
OG0000138	Praj.g_02091	Prba.g_01089
OG0001256	Praj.g_01187	Prax.g_00460, Prax.g_00776
OG0001256	Praj.g_01187	Prbd.g_00836
OG0001363	Praj.g_02035	Prau.g_01457
OG0001365	Praj.g_00910	Prae.g_01425
OG0001365	Praj.g_00910	Praa.g_01611
OG0001474	Praj.g_01846	Pras.g_00311
OG0001491	Praj.g_01061	Prau.g_01719
OG0001539	Praj.g_01219	Prao.g_00012
OG0001792	Praj.g_02038	Praf.g_00131
