Orthogroup	Prau	Other
OG0000024	Prau.g_01470	Praa.g_01409
OG0000024	Prau.g_01470	Praa.g_01409
OG0000024	Prau.g_01470	Prao.g_01213
OG0000024	Prau.g_01470	Prbc.g_00680
OG0000024	Prau.g_01470	Pras.g_00304
OG0000024	Prau.g_01470	Pras.g_00304
OG0000024	Prau.g_01470	Praj.g_01609
OG0000024	Prau.g_01470	Pral.g_01261
OG0000024	Prau.g_01470	Prbm.g_02126
OG0000024	Prau.g_01470	Prae.g_01401
OG0000024	Prau.g_01470	Prae.g_01401
OG0000024	Prau.g_01470	Prat.g_01267
OG0000024	Prau.g_01470	Praf.g_00112
OG0000027	Prau.g_01618	Prai.g_01549
OG0000056	Prau.g_00749	Prak.g_01228
OG0000056	Prau.g_00749	Prap.g_00512
OG0000056	Prau.g_00749	Prbe.g_01605
OG0000056	Prau.g_00749	Prbf.g_00862
OG0000056	Prau.g_00749	Prbg.g_01542
OG0000056	Prau.g_00749	Prbn.g_01133
OG0000056	Prau.g_00749	Pram.g_01191
OG0000056	Prau.g_00749	Prbh.g_01334
OG0000056	Prau.g_00749	Prat.g_01463, Prat.g_00666
OG0000056	Prau.g_00749	Prav.g_01388
OG0000056	Prau.g_00749	Prav.g_01388
OG0000056	Prau.g_00749	Prab.g_01634
OG0000056	Prau.g_00749	Pran.g_00935
OG0000056	Prau.g_00749	Prae.g_01322
OG0000063	Prau.g_01318	Pral.g_01881
OG0000069	Prau.g_01475	Prbd.g_01730
OG0000069	Prau.g_01475	Pras.g_00326
OG0000069	Prau.g_01475	Prah.g_02196, Prah.g_00358
OG0000069	Prau.g_01475	Praf.g_02346, Praf.g_01851
OG0000069	Prau.g_01475	Prbj.g_01468, Prbj.g_00659
OG0000069	Prau.g_01475	Prbk.g_00480, Prbk.g_01209
OG0000069	Prau.g_01475	Prbl.g_00889, Prbl.g_00712
OG0000069	Prau.g_01475	Prao.g_01362, Prao.g_01201
OG0000069	Prau.g_01475	Prag.g_01416
OG0000069	Prau.g_01475	Praw.g_01043
OG0000069	Prau.g_01475	Prav.g_01499
OG0000069	Prau.g_01475	Pral.g_01121
OG0000069	Prau.g_01475	Prat.g_01394
OG0000069	Prau.g_01475	Prak.g_01430
OG0000069	Prau.g_01475	Prap.g_00160
OG0000069	Prau.g_01475	Prbe.g_00272
OG0000069	Prau.g_01475	Prbf.g_00196
OG0000069	Prau.g_01475	Prbg.g_00630
OG0000069	Prau.g_01475	Prbn.g_00251
OG0000069	Prau.g_01475	Pram.g_01339
OG0000069	Prau.g_01475	Prbh.g_00138
OG0000069	Prau.g_01475	Prbm.g_01747
OG0000069	Prau.g_01475	Prbc.g_00746
OG0000069	Prau.g_01475	Prbb.g_01723
OG0000069	Prau.g_01475	Praj.g_01669
OG0000069	Prau.g_01475	Pray.g_01782
OG0000069	Prau.g_01475	Praz.g_01092
OG0000069	Prau.g_01475	Prba.g_00149
OG0000069	Prau.g_01475	Prad.g_00572
OG0000069	Prau.g_01475	Prad.g_00572
OG0000086	Prau.g_00429, Prau.g_00422	Prai.g_00443
OG0001256	Prau.g_00441	Prax.g_00460
OG0001363	Prau.g_01457	Prab.g_01392
OG0001363	Prau.g_01457	Pran.g_00808
OG0001363	Prau.g_01457	Prbm.g_02115
OG0001363	Prau.g_01457	Praj.g_02035
OG0001363	Prau.g_01457	Prbb.g_02083
OG0001363	Prau.g_01457	Prai.g_01321
OG0001363	Prau.g_01457	Pram.g_01438
OG0001363	Prau.g_01457	Prbh.g_00039
OG0001491	Prau.g_01719	Pral.g_01858
OG0001491	Prau.g_01719	Prat.g_00643
OG0001491	Prau.g_01719	Prbm.g_01100
OG0001491	Prau.g_01719	Praj.g_01061
OG0001491	Prau.g_01719	Prbc.g_02149, Prbc.g_01567
OG0001491	Prau.g_01719	Prbb.g_01105
OG0001521	Prau.g_01273	Prab.g_01730
OG0001521	Prau.g_01273	Pran.g_01031
OG0001521	Prau.g_01273	Prai.g_01700
OG0001521	Prau.g_01273	Prad.g_00375
OG0001521	Prau.g_01273	Prbi.g_01279
OG0001539	Prau.g_01356	Prao.g_00012
