Orthogroup	Prai	Other
OG0000027	Prai.g_01549	Prbc.g_02171, Prbc.g_02158, Prbc.g_00045
OG0000027	Prai.g_01549	Prbm.g_01124, Prbm.g_01110, Prbm.g_01445, Prbm.g_01461
OG0000027	Prai.g_01549	Praj.g_01084, Praj.g_01070
OG0000027	Prai.g_01549	Prbb.g_01127, Prbb.g_01114
OG0000027	Prai.g_01549	Prac.g_00325
OG0000027	Prai.g_01549	Praq.g_00381
OG0000027	Prai.g_01549	Prar.g_00761
OG0000027	Prai.g_01549	Pras.g_00440
OG0000027	Prai.g_01549	Prau.g_01618
OG0000027	Prai.g_01549	Prao.g_01483
OG0000027	Prai.g_01549	Prad.g_00427
OG0000027	Prai.g_01549	Prba.g_00301
OG0000027	Prai.g_01549	Pray.g_01635
OG0000027	Prai.g_01549	Praz.g_00954
OG0000027	Prai.g_01549	Praa.g_01564
OG0000027	Prai.g_01549	Prbi.g_01677
OG0000027	Prai.g_01549	Prax.g_01641
OG0000027	Prai.g_01549	Prae.g_01546
OG0000027	Prai.g_01549	Prbd.g_01601
OG0000054	Prai.g_00909	Prax.g_00457
OG0000058	Prai.g_00505	Praa.g_01414
OG0000079	Prai.g_01540	Prbi.g_01482
OG0000083	Prai.g_00003	Prae.g_01306
OG0000086	Prai.g_00443	Pral.g_01886
OG0000086	Prai.g_00443	Prat.g_00614
OG0000086	Prai.g_00443	Pram.g_01588
OG0000086	Prai.g_00443	Prbh.g_01826
OG0000086	Prai.g_00443	Praj.g_01154
OG0000086	Prai.g_00443	Prbc.g_00132
OG0000086	Prai.g_00443	Prbm.g_01170
OG0000086	Prai.g_00443	Prbb.g_01195
OG0000086	Prai.g_00443	Pras.g_01273
OG0000086	Prai.g_00443	Prag.g_00391
OG0000086	Prai.g_00443	Praw.g_00735
OG0000086	Prai.g_00443	Praa.g_00409
OG0000086	Prai.g_00443	Prad.g_00675
OG0000086	Prai.g_00443	Prau.g_00429, Prau.g_00422
OG0000086	Prai.g_00443	Pray.g_00907
OG0000086	Prai.g_00443	Praz.g_01911
OG0000086	Prai.g_00443	Prba.g_01044
OG0000101	Prai.g_00369	Prax.g_01573
OG0000118	Prai.g_01107	Prax.g_01759
OG0001256	Prai.g_01599	Prax.g_00776
OG0001256	Prai.g_01599	Prbd.g_00836
OG0001363	Prai.g_01321	Prau.g_01457
OG0001365	Prai.g_01699	Praa.g_01611
OG0001365	Prai.g_01699	Prae.g_01425
OG0001521	Prai.g_01700	Prau.g_01273
OG0001539	Prai.g_01317	Prao.g_00012
