Orthogroup	Prbd	Other
OG0000027	Prbd.g_01601	Prai.g_01549
OG0000063	Prbd.g_01895	Pral.g_01881
OG0000069	Prbd.g_01730	Prau.g_01475
OG0000069	Prbd.g_01730	Prad.g_00572
OG0000095	Prbd.g_01033	Pras.g_01058
OG0001256	Prbd.g_00836	Prbm.g_01202
OG0001256	Prbd.g_00836	Praj.g_01187
OG0001256	Prbd.g_00836	Prbb.g_01229
OG0001256	Prbd.g_00836	Prbc.g_00164
OG0001256	Prbd.g_00836	Prbj.g_00897
OG0001256	Prbd.g_00836	Prbk.g_01851
OG0001256	Prbd.g_00836	Prbl.g_01822
OG0001256	Prbd.g_00836	Prah.g_01084
OG0001256	Prbd.g_00836	Praf.g_01190, Praf.g_01188
OG0001256	Prbd.g_00836	Prax.g_00776
OG0001256	Prbd.g_00836	Prax.g_00776
OG0001256	Prbd.g_00836	Praa.g_00396
OG0001256	Prbd.g_00836	Prao.g_00529
OG0001256	Prbd.g_00836	Prbi.g_00426
OG0001256	Prbd.g_00836	Prai.g_01599
OG0001256	Prbd.g_00836	Prae.g_00398
OG0001539	Prbd.g_01829	Prao.g_00012
OG0001558	Prbd.g_01896	Prad.g_01073
