Orthogroup	Prba	Other
OG0000027	Prba.g_00301	Prai.g_01549
OG0000063	Prba.g_01135	Pral.g_01881
OG0000069	Prba.g_00149	Prau.g_01475
OG0000069	Prba.g_00149	Prad.g_00572
OG0000086	Prba.g_01044	Prai.g_00443
OG0000138	Prba.g_01089	Prbj.g_01963
OG0000138	Prba.g_01089	Prbk.g_02168
OG0000138	Prba.g_01089	Prbl.g_02231
OG0000138	Prba.g_01089	Praf.g_02664
OG0000138	Prba.g_01089	Prah.g_02498
OG0000138	Prba.g_01089	Prbm.g_02176
OG0000138	Prba.g_01089	Prbc.g_00997
OG0000138	Prba.g_01089	Praj.g_02091
OG0000138	Prba.g_01089	Prbb.g_02131
OG0000138	Prba.g_01089	Prak.g_01895
OG0000138	Prba.g_01089	Prap.g_01528
OG0000138	Prba.g_01089	Prbe.g_01158
OG0000138	Prba.g_01089	Prbf.g_00443
OG0000138	Prba.g_01089	Prbg.g_01900
OG0000138	Prba.g_01089	Prbn.g_00944
OG0000138	Prba.g_01089	Pram.g_01886
OG0000138	Prba.g_01089	Prbh.g_01528
OG0000138	Prba.g_01089	Pral.g_00358
OG0000138	Prba.g_01089	Prat.g_01841
