Orthogroup	Prbk	Other
OG0000024	Prbk.g_00454	Praa.g_01409
OG0000054	Prbk.g_01468	Prax.g_00457
OG0000069	Prbk.g_00480, Prbk.g_01209	Prau.g_01475
OG0000069	Prbk.g_01209	Prad.g_00572
OG0000073	Prbk.g_00709	Pras.g_00327
OG0000079	Prbk.g_00931	Prbi.g_01482
OG0000083	Prbk.g_02281	Prae.g_01306
OG0000091	Prbk.g_00776	Prae.g_01396
OG0000096	Prbk.g_01001	Prax.g_00488
OG0000101	Prbk.g_00361	Prax.g_01573
OG0000118	Prbk.g_02271	Prax.g_01759
OG0000138	Prbk.g_02168	Prba.g_01089
OG0001256	Prbk.g_01851	Prax.g_00460, Prax.g_00776
OG0001256	Prbk.g_01851	Prbd.g_00836
OG0001367	Prbk.g_00834, Prbk.g_00821	Prbi.g_00155, Prbi.g_00722
OG0001474	Prbk.g_02227	Pras.g_00311
