Orthogroup	Prbc	Other
OG0000024	Prbc.g_01198, Prbc.g_00680	Praa.g_01409
OG0000024	Prbc.g_00680	Pras.g_00304
OG0000024	Prbc.g_00680	Prae.g_01401
OG0000024	Prbc.g_00680	Prau.g_01470
OG0000027	Prbc.g_02171, Prbc.g_02158, Prbc.g_00045	Prai.g_01549
OG0000054	Prbc.g_01116	Prax.g_00457
OG0000063	Prbc.g_00102	Pral.g_01881
OG0000069	Prbc.g_00746	Prau.g_01475
OG0000069	Prbc.g_00746	Prad.g_00572
OG0000073	Prbc.g_01748	Pras.g_00327
OG0000079	Prbc.g_00790	Prbi.g_01482
OG0000083	Prbc.g_01073	Prae.g_01306
OG0000086	Prbc.g_00132	Prai.g_00443
OG0000091	Prbc.g_00402	Prae.g_01396
OG0000096	Prbc.g_01147	Prax.g_00488
OG0000101	Prbc.g_01270	Prax.g_01573
OG0000118	Prbc.g_00173	Prax.g_01759
OG0000138	Prbc.g_00997	Prba.g_01089
OG0001256	Prbc.g_00164	Prax.g_00460, Prax.g_00776
OG0001256	Prbc.g_00164	Prbd.g_00836
OG0001365	Prbc.g_02000	Prae.g_01425
OG0001365	Prbc.g_02000	Praa.g_01611
OG0001474	Prbc.g_00911	Pras.g_00311
OG0001491	Prbc.g_02149, Prbc.g_01567	Prau.g_01719
OG0001539	Prbc.g_01291	Prao.g_00012
