Orthogroup	Prad	Other
OG0000027	Prad.g_00427	Prai.g_01549
OG0000063	Prad.g_01214	Pral.g_01881
OG0000069	Prad.g_00572	Prau.g_01475
OG0000069	Prad.g_00572	Prau.g_01475
OG0000069	Prad.g_00572	Prbd.g_01730
OG0000069	Prad.g_00572	Pray.g_01782
OG0000069	Prad.g_00572	Praz.g_01092
OG0000069	Prad.g_00572	Prba.g_00149
OG0000069	Prad.g_00572	Pras.g_00326
OG0000069	Prad.g_00572	Prao.g_01201
OG0000069	Prad.g_00572	Prag.g_01416
OG0000069	Prad.g_00572	Praw.g_01043
OG0000069	Prad.g_00572	Prav.g_01499
OG0000069	Prad.g_00572	Pral.g_01121
OG0000069	Prad.g_00572	Prat.g_01394
OG0000069	Prad.g_00572	Prak.g_01430
OG0000069	Prad.g_00572	Prap.g_00160
OG0000069	Prad.g_00572	Prbe.g_00272
OG0000069	Prad.g_00572	Prbf.g_00196
OG0000069	Prad.g_00572	Prbg.g_00630
OG0000069	Prad.g_00572	Prbn.g_00251
OG0000069	Prad.g_00572	Pram.g_01339
OG0000069	Prad.g_00572	Prbh.g_00138
OG0000069	Prad.g_00572	Praf.g_01851
OG0000069	Prad.g_00572	Prah.g_00358
OG0000069	Prad.g_00572	Prbj.g_00659
OG0000069	Prad.g_00572	Prbk.g_01209
OG0000069	Prad.g_00572	Prbl.g_00712
OG0000069	Prad.g_00572	Prbm.g_01747
OG0000069	Prad.g_00572	Prbc.g_00746
OG0000069	Prad.g_00572	Prbb.g_01723
OG0000069	Prad.g_00572	Praj.g_01669
OG0000086	Prad.g_00675	Prai.g_00443
OG0001521	Prad.g_00375	Prau.g_01273
OG0001558	Prad.g_01073	Prax.g_01961
OG0001558	Prad.g_01073	Prbd.g_01896
OG0001558	Prad.g_01073	Prav.g_01381
OG0001558	Prad.g_01073	Prbi.g_01328
