Orthogroup	Prat	Other
OG0000024	Prat.g_00314, Prat.g_01267	Praa.g_01409
OG0000024	Prat.g_01267	Pras.g_00304
OG0000024	Prat.g_01267	Prae.g_01401
OG0000024	Prat.g_01267	Prau.g_01470
OG0000054	Prat.g_01503	Prax.g_00457
OG0000056	Prat.g_01463, Prat.g_00666	Prav.g_01388
OG0000056	Prat.g_01463, Prat.g_00666	Prau.g_00749
OG0000069	Prat.g_01394	Prau.g_01475
OG0000069	Prat.g_01394	Prad.g_00572
OG0000073	Prat.g_01054	Pras.g_00327
OG0000079	Prat.g_01442	Prbi.g_01482
OG0000083	Prat.g_00003	Prae.g_01306
OG0000086	Prat.g_00614	Prai.g_00443
OG0000091	Prat.g_00170	Prae.g_01396
OG0000096	Prat.g_00257	Prax.g_00488
OG0000101	Prat.g_00372	Prax.g_01573
OG0000118	Prat.g_01208	Prax.g_01759
OG0000138	Prat.g_01841	Prba.g_01089
OG0001365	Prat.g_01460	Prae.g_01425
OG0001365	Prat.g_01460	Praa.g_01611
OG0001491	Prat.g_00643	Prau.g_01719
