Orthogroup	Prap	Other
OG0000024	Prap.g_01403	Praa.g_01409
OG0000034	Prap.g_00099	Praa.g_01447
OG0000054	Prap.g_01128	Prax.g_00457
OG0000056	Prap.g_00512	Prav.g_01388
OG0000056	Prap.g_00512	Prau.g_00749
OG0000069	Prap.g_00160	Prau.g_01475
OG0000069	Prap.g_00160	Prad.g_00572
OG0000073	Prap.g_00356	Pras.g_00327
OG0000079	Prap.g_00206	Prbi.g_01482
OG0000083	Prap.g_00051	Prae.g_01306
OG0000091	Prap.g_01001	Prae.g_01396
OG0000096	Prap.g_01460	Prax.g_00488
OG0000101	Prap.g_01347	Prax.g_01573
OG0000118	Prap.g_00501	Prax.g_01759
OG0000138	Prap.g_01528	Prba.g_01089
OG0001365	Prap.g_00894	Prae.g_01425
OG0001365	Prap.g_00894	Praa.g_01611
