Orthogroup	Praf	Other
OG0000024	Praf.g_02319, Praf.g_00112	Praa.g_01409
OG0000024	Praf.g_00112	Pras.g_00304
OG0000024	Praf.g_00112	Prae.g_01401
OG0000024	Praf.g_00112	Prau.g_01470
OG0000054	Praf.g_00348	Prax.g_00457
OG0000069	Praf.g_02346, Praf.g_01851	Prau.g_01475
OG0000069	Praf.g_01851	Prad.g_00572
OG0000073	Praf.g_01012, Praf.g_01748	Pras.g_00327
OG0000079	Praf.g_00501	Prbi.g_01482
OG0000083	Praf.g_00003	Prae.g_01306
OG0000091	Praf.g_02457	Prae.g_01396
OG0000096	Praf.g_02217	Prax.g_00488
OG0000101	Praf.g_02012	Prax.g_01573
OG0000118	Praf.g_02776	Prax.g_01759
OG0000138	Praf.g_02664	Prba.g_01089
OG0001256	Praf.g_01190, Praf.g_01188	Prax.g_00460, Prax.g_00776
OG0001256	Praf.g_01190, Praf.g_01188	Prbd.g_00836
OG0001367	Praf.g_02090, Praf.g_02089, Praf.g_02643, Praf.g_01869	Prbi.g_00155, Prbi.g_00722
OG0001474	Praf.g_02731	Pras.g_00311
OG0001792	Praf.g_00131	Prbm.g_02117
OG0001792	Praf.g_00131	Praj.g_02038
OG0001792	Praf.g_00131	Prbb.g_02086
OG0001792	Praf.g_00131	Prav.g_00298
OG0001792	Praf.g_00131	Praa.g_01428
OG0001823	Praf.g_00140	Praa.g_01405
OG0001823	Praf.g_00140	Prbm.g_02130
OG0001823	Praf.g_00140	Pram.g_01431
OG0001823	Praf.g_00140	Prbh.g_00046
OG0001823	Praf.g_00140	Prab.g_01388
OG0001823	Praf.g_00140	Pran.g_00813
