Orthogroup	Pram	Other
OG0000024	Pram.g_00295	Praa.g_01409
OG0000054	Pram.g_01517	Prax.g_00457
OG0000056	Pram.g_01191	Prav.g_01388
OG0000056	Pram.g_01191	Prau.g_00749
OG0000069	Pram.g_01339	Prau.g_01475
OG0000069	Pram.g_01339	Prad.g_00572
OG0000073	Pram.g_01039	Pras.g_00327
OG0000079	Pram.g_01293	Prbi.g_01482
OG0000083	Pram.g_01941	Prae.g_01306
OG0000086	Pram.g_01588	Prai.g_00443
OG0000091	Pram.g_00154	Prae.g_01396
OG0000096	Pram.g_00239	Prax.g_00488
OG0000101	Pram.g_00354	Prax.g_01573
OG0000118	Pram.g_01185	Prax.g_01759
OG0000138	Pram.g_01886	Prba.g_01089
OG0001363	Pram.g_01438	Prau.g_01457
OG0001365	Pram.g_00041	Prae.g_01425
OG0001365	Pram.g_00041	Praa.g_01611
OG0001823	Pram.g_01431	Praf.g_00140
