Orthogroup	Pral	Other
OG0000024	Pral.g_00732, Pral.g_01261	Praa.g_01409
OG0000024	Pral.g_01261	Pras.g_00304
OG0000024	Pral.g_01261	Prae.g_01401
OG0000024	Pral.g_01261	Prau.g_01470
OG0000054	Pral.g_00043	Prax.g_00457
OG0000063	Pral.g_01881	Pray.g_01927
OG0000063	Pral.g_01881	Praz.g_01237
OG0000063	Pral.g_01881	Prba.g_01135
OG0000063	Pral.g_01881	Prad.g_01214
OG0000063	Pral.g_01881	Pras.g_00150
OG0000063	Pral.g_01881	Prau.g_01318
OG0000063	Pral.g_01881	Prbi.g_01330
OG0000063	Pral.g_01881	Prbd.g_01895
OG0000063	Pral.g_01881	Praa.g_01255
OG0000063	Pral.g_01881	Prae.g_01263
OG0000063	Pral.g_01881	Prax.g_01959
OG0000063	Pral.g_01881	Prao.g_01332
OG0000063	Pral.g_01881	Prag.g_01298
OG0000063	Pral.g_01881	Praw.g_00926
OG0000063	Pral.g_01881	Prav.g_01390
OG0000063	Pral.g_01881	Prab.g_00717
OG0000063	Pral.g_01881	Pran.g_01466
OG0000063	Pral.g_01881	Praj.g_01355
OG0000063	Pral.g_01881	Prbb.g_01399
OG0000063	Pral.g_01881	Prbc.g_00102
OG0000069	Pral.g_01121	Prau.g_01475
OG0000069	Pral.g_01121	Prad.g_00572
OG0000073	Pral.g_01471	Pras.g_00327
OG0000079	Pral.g_01073	Prbi.g_01482
OG0000083	Pral.g_00413	Prae.g_01306
OG0000086	Pral.g_01886	Prai.g_00443
OG0000091	Pral.g_00874	Prae.g_01396
OG0000096	Pral.g_00788	Prax.g_00488
OG0000101	Pral.g_00674	Prax.g_01573
OG0000118	Pral.g_01316	Prax.g_01759
OG0000138	Pral.g_00358	Prba.g_01089
OG0001365	Pral.g_01055	Prae.g_01425
OG0001365	Pral.g_01055	Praa.g_01611
OG0001491	Pral.g_01858	Prau.g_01719
